Radio Frequency,Azimuth,Angle Of Elevation
5401.092581,1.947472384,0.244936167
5406.923145,2,1.927352872
5401.383807,1.829924562,1.399632674
5400,0.246639019,0
5400,0,0
5410.346332,2.072085836,2.156649547
5400,1.866062951,2
5406.191651,1.814093247,1.881329929
5410,1.784197552,1.997483034
5410,1.773076374,1.876876395
5410,2,1.569659768
5404.143946,1.328409636,1.640908042
5400,1.815381094,1.520344031
5410,1.554906775,1.927926531
5403.353442,0.216519113,0
5406.52621,1.756712287,2
5404.317398,1.611627186,2
5410,0.353154749,0.050057133
5400,0.273770135,0.034592153
5401.160051,1.8366776,1.531303076
5410,2,1.835119495
5400,2,1.811898655
5400,1.598660469,1.813415602
5401.195778,2,1.927128791
5410,1.494265509,1.67040762
5401.433237,1.337607776,1.751532698
5410,0.629130028,0
5409.851084,1.995994629,1.298289136
5400.944348,0.401537759,0.075384616
5410,1.89762507,1.736847086
5400,1.696578726,1.913001292
5400,0,0
5408.07556,1.45319942,1.926089703
5400,1.942466363,1.803940977
5410,1.773707065,1.914765016
5400,1.470137928,1.871554662
5406.960437,1.732327354,1.751354414
5400,2,1.796241576
5400,2,1.634724892
5400,0.336883821,0.023065556
5407.115755,1.697785919,1.947530219
5400,1.951889161,1.69760754
5409.994597,0.277683597,0.123426472
5409.131561,0.761553925,1.097853808
5400,1.865281601,2
5401.589175,1.792839384,1.800231684
5400,1.456327398,1.779361666
5402.691022,0.541393767,0
5400.446045,1.131230543,0.978280923
5402.868977,1.832573496,1.669893393
5400,0.26193397,0
5401.287721,1.639685972,1.727844863
5406.820053,1.73360081,1.83797185
5401.205431,0.331592966,0.201582978
5400,1.699609136,1.628278255
5409.967644,0.968508892,1.588372399
5409.56687,0.849765495,0.121503799
5410,1.768994769,1.728840992
5405.852132,1.604644707,0.701582553
5400,0.332094499,0
5404.862902,1.775868586,1.913782013
5400,1.714392819,1.710895411
5410,1.880150304,2
5410,0.432978255,0
5400,1.752074715,1.994766405
5400,1.372634187,1.566060102
5398.998266,0.042726577,0.083611578
5400,1.987032492,1.818840674
5400,1.572758215,1.817602135
5410,1.479936648,1.9534737
5400,1.580016368,1.678978833
5400,2,1.774655696
5403.412585,1.806569474,0.217088902
5400,1.571167681,1.847237874
5410,1.540886677,1.593419234
5405.779351,1.543621026,2
5410,1.831536162,1.622253652
5410,1.537225964,1.814783285
5407.351005,1.800953266,1.640825463
5401.013858,1.646560563,1.536259414
5401.577021,0,0
5400,0.35824449,0
5401.45185,0.269925181,0
5404.94851,1.806280254,1.949403045
5400,1.734115467,1.516330547
5404.842134,1.412265911,1.860813777
5401.500565,1.408343762,1.212225635
5402.244526,0.189167856,0.188701544
5400,1.710689588,1.598068933
5400.520472,1.553283722,1.797062532
5400,1.504139867,2
5407.960688,0.800424239,0.462913328
5407.226773,0.299964878,0.040386787
5400,1.611554864,1.921530714
5406.053571,0.522512205,0
5405.036031,1.762030846,1.782384142
5405.104036,0.269810026,0.083524825
5400,1.868297818,1.838806629
5410,1.939483614,1.713560717
5400,1.487508611,1.463096271
5408.676122,0.241940734,0
5410,1.615208186,1.576012841
5400,0.212360947,0
5400,0.414642715,0.008054576
5400.603239,2,1.758694422
5405.300112,1.19197096,0.055949204
5403.156296,0.547604153,1.438664312
5400,1.660864808,1.271273156
5400,1.9647728,1.813276036
5410,1.971774819,1.852490486
5400,1.85145776,1.655234783
5403.848201,1.488525785,1.645592164
5408.095768,1.768492367,1.926105694
5400,1.646185169,1.727659381
5400,2,1.519080411
5408.736864,1.514660085,1.754227875
5409.593157,1.118695771,0.606935863
5400,1.9418782,1.530631633
5402.250218,1.852377097,1.477852506
5400,1.729836403,1.852053291
5407.476454,1.854264219,1.511883533
5400.14954,1.782816595,1.889529136
5410,0,0
5410,1.761719424,1.635841452
5403.083488,1.817906724,1.059137585
5400,1.953922486,1.811485916
5400,1.879751027,1.963790576
5400,1.735202523,2
5406.269585,1.844263707,1.823856175
5409.60799,1.077026686,1.879048727
5400,0.302744219,0
5401.478277,1.873506048,0.279586363
5401.867711,1.664505821,1.935026904
5400,1.776082827,1.672292711
5410,2,1.65649681
5400,2,2
5410,0.405381863,0.318018928
5408.348405,1.631355218,1.754800003
5400,0.346868091,0
5400,1.930405795,2
5404.685124,0.579462459,1.818260717
5400.222932,0.118842828,0.032310213
5400.444055,1.30386864,1.514752981
5400.316705,1.955566576,1.626646648
5401.316481,1.718439247,1.700310548
5400,1.740942467,1.913069964
5410,2,1.693941383
5400,1.829111276,1.996157682
5400,0.22349022,0.084220995
5400,1.998731818,1.92731161
5408.482229,0.182508544,0.544877095
5410,1.84498912,1.819545913
5410,1.674455351,1.923924709
5410,0.549485944,0.049954591
5410,1.870432824,1.779382572
5400,1.844636882,2
5400,2,1.982318314
5410,0.544511573,0.025405765
5404.951208,1.705798934,1.436510739
5400,2,1.866261142
5400.502036,1.533292414,1.807343419
5400,1.858113047,1.847103272
5404.634551,1.467114295,1.804857077
5410,1.879048865,1.834926364
5404.9659,0.153591925,0.327002348
5400,2,1.557987134
5409.834906,1.95407625,1.66113467
5400,2,1.692208352
5401.049139,0.072034599,1.168633633
5400,1.661424732,1.948281555
5401.667671,1.690351892,1.787056205
5400,0.134389831,0.099586181
5410,1.81925074,1.810952028
5400,0.441091831,0
5402.635735,2,2
5402.019379,1.297904112,0.830835557
5400,1.582490363,1.759913929
5404.993089,1.32950688,1.887298033
5410,1.82846744,1.602597395
5400,2,1.626100702
5406.769798,0.290815236,0.000687616
5402.645755,0.524390868,0.016328072
5399.243564,0.312520608,0.062153156
5410,1.973752691,1.9863275
5402.397795,1.591772606,1.663454406
5400,1.098280113,1.295667661
5401.430471,1.68228192,1.819039921
5407.928233,2,1.612751118
5410,1.982143176,1.354049569
5400,1.760958851,1.713677053
5409.631299,1.946564988,1.562527665
5400,1.746062972,1.91568507
5400,2,2
5404.520894,1.526116281,0.828285018
5400,0.683968574,0.01964386
5410,0.278830105,0.47780356
5400,0.375115577,0
5410,1.784527532,1.873854187
5409.125921,0.25344281,0.020287899
5400,2,1.765232999
5400,0.335860352,0
5410,1.511666922,1.759730057
5410,1.854203687,1.970092081
5406.376005,2,2
5406.405748,1.54847363,1.760796506
5410,0.450267687,0.019290631
5401.798848,1.822352518,1.889924872
5400,2,2
5400,1.677859036,1.746046567
5401.757772,1.652568093,1.946241998
5400.666593,0.181943115,0.213963402
5400,1.976522712,1.887688879
5404.996713,0.709888958,1.630637931
5410,1.725050586,1.734634946
5400,2,1.791639013
5400,0.35116861,0.227789814
5400,0,0.06789448
5406.998979,0.22054447,0.060123334
5400,1.938581307,1.670270249
5408.866348,1.725222829,1.96532047
5401.311767,0.989623195,1.660570853
5400,1.790066779,1.904649685
5407.424964,1.806987996,1.85510047
5406.47394,1.951408854,1.740118823
5400,0.895199486,0.036660662
5410,2,1.647362241
5402.148223,0.418611122,0
5400,1.825179726,1.861744374
5403.70041,0.262850196,0.140686177
5400,1.687198503,2
5410,1.937402364,1.727345018
5404.344977,1.447219406,2
5400,0.124644598,0
5400,1.591690978,1.889766484
5400,1.597774024,1.706755059
5400,1.789434811,1.935935511
5401.650708,1.699373915,2
5409.83747,0.509364986,0
5400.309154,1.708946176,1.676232557
5400,1.465385652,1.81093458
5400,1.348533096,1.254159648
5407.777123,0.25516887,0.08431318
5406.94762,1.719384025,1.346228325
5400,1.698279212,1.681775458
5409.565761,0.944413595,1.527316504
5402.926778,1.571589874,1.884395265
5400,1.577174009,2
5402.748231,0.199946102,0.137503358
5403.138928,1.946353333,1.789446626
5400,1.867751422,2
5410,1.50076916,2
5400,1.956262668,1.9502257
5400,2,1.523319132
5407.156587,1.234483102,1.940053026
5400,1.696112264,1.813033158
5407.396662,2,2
5400,0.447325537,0
5400,1.8689336,1.61858514
5400,1.686995135,1.852797196
5410,1.633763899,1.906628181
5410,1.549318674,2
5400,1.786593641,1.943045106
5400,1.772725802,1.91527569
5400,0.337174775,0.143219872
5400,0.003395512,0.085241083
5400,1.719538692,1.917905516
5405.789364,1.990791462,1.872330182
5400,1.764636127,1.931010602
5400,1.950064408,2
5400,1.948082862,1.968916413
5400,0.52921267,0
5410,2,1.615144133
5401.719473,1.494329986,0.745322076
5400,0.283872494,0.194737135
5400,0.40521841,0.019835248
5402.346631,1.947883714,1.879148139
5408.953392,1.957343427,1.830331254
5410,2,2
5400,1.796007439,1.750166032
5402.895366,1.903438877,1.738858523
5410,1.98519228,1.644082872
5400,1.181680499,1.870052583
5410,0.222083238,0.34523644
5403.502325,1.925519165,1.395477606
5400,1.746745439,1.584273235
5400,1.6472853,1.832414357
5405.157763,1.427627641,0.876560672
5401.732114,0.784311801,0.471349391
5404.776335,2,1.825107008
5408.859799,1.490153497,1.71615855
5409.868147,1.459884043,0.090888089
5401.212244,1.659573143,1.559535933
5404.526694,2,1.717518967
5400,0.324498119,0.025686631
5408.689812,1.961704637,2
5400,1.915786471,2
5400,0.770879208,0
5410,0,0.041468792
5400,1.851225207,1.95149891
5410,1.750135432,1.854764391
5400,0.729958177,0
5409.494104,1.859663439,1.378121618
5400,2,2
5408.519225,1.730313536,1.796073672
5400,0.289326946,0
5400,1.964136474,1.386179622
5402.136391,1.285023408,1.038761632
5410,1.832642496,1.850036034
5404.376849,1.614859784,1.74294608
5410,1.70910501,1.848819647
5400,1.695949618,1.693920464
5400,2,2
5400,1.712575304,2
5400,1.924778074,2
5410,1.885928137,1.987886185
5410.485693,1.835696745,1.773772236
5400,1.79123951,1.822160565
5404.063057,1.677192718,1.618966687
5407.069441,0.457458996,1.544207263
5404.530592,0.171723289,0.323470776
5400,0.246968197,0.0264465
5406.366135,2,1.933065709
5408.620755,0.607222952,1.085511291
5400,1.69597824,1.864777361
5400,1.618039925,1.797489628
5403.283118,1.931158998,1.887623362
5405.622733,0.207918562,0.124636052
5400,0.412336941,0
5400,1.754616904,1.807459188
5400,2,1.75674782
5400,0.323236643,0.296942382
5400.941083,1.877411384,1.472232703
5400,1.902851895,1.987858882
5400,2,1.816016055
5400,0.308662332,0.049024199
5400,1.956194924,1.639727768
5409.160289,1.631571357,2
5398.680434,1.789126541,1.425891752
5400,1.682734089,2
5400.364335,1.905756764,1.896915279
5410,2,1.723873639
5403.267759,0.221827426,0.63055211
5400,1.624927774,1.714378361
5405.656281,1.949079161,1.650161919
5400,0.42995039,0.138335689
5410,1.830265337,1.8306625
5400,0.334206939,0
5400,1.635423669,1.930818636
5400.171931,1.057816219,1.109824141
5400,2,1.774196617
5409.094832,2,1.303803955
5401.440995,1.795368859,2
5402.56203,0.836584548,0.418065674
5400.38705,0.401139264,0.229787752
5400,1.564043867,1.466170838
5410,0.194918909,0.134204365
5404.04699,2,1.742924878
5404.055219,1.540645901,1.891978643
5400.243324,1.997776699,1.630062772
5400,0.18338043,0
5400,1.598706446,2
5400,1.466057947,1.879519974
5400,1.820851796,1.978699194
5400,1.520806458,1.691598757
5400,2,1.414039707
5405.575573,1.612472224,1.5384868
5402.476326,1.883832835,1.880805843
5400,0.193952614,0.105693245
5406.852308,1.848434011,1.816071569
5400,1.692063011,1.762867485
5400,0.270953143,0
5408.736452,0.393642568,0.661226425
5400.629509,1.67559214,2
5400,1.555846557,1.878968043
5400.614719,1.838145231,1.63528691
5410,1.791748327,1.753167851
5400.423974,1.958581975,1.882713488
5400,1.602813666,1.983634849
5400,0.382066375,0
5400,0.296721838,0.000624948
5400,0.592770214,0.174043531
5408.380077,2,1.744463365
5401.76899,1.696363261,1.774047594
5409.334929,1.687550801,1.69561406
5400,2,1.606664016
5402.442388,1.619243273,0.30936054
5400,2,1.814653242
5400,1.743750874,1.953057372
5410,1.88646097,1.468255255
5408.355066,1.584101613,1.622787732
5405.769227,0.169102419,1.106791126
5408.441229,1.90432995,0.706371961
5406.248864,0.759726145,1.160525737
5410,0.091889754,0.012967994
5407.827793,1.409930063,2
5400,0.164760772,0.346022002
5400.134497,0.179883919,0
5409.095512,2,1.597336444
5400,1.571755723,1.538301676
5404.145332,2,1.852293804
5410,2,1.906106917
5400.781683,1.839094172,2.018304155
5400,1.763969885,1.76958874
5409.078024,0.305480451,0
5400,1.775372051,1.678620399
5400.952001,1.502131701,1.858510166
5400,1.947443497,2
5402.292354,1.952879318,1.00619919
5405.714818,1.730802081,1.668281294
5400,1.985908575,1.935441025
5405.713581,1.841222403,1.767723971
5400,1.689507321,1.954585422
5408.979498,1.88192329,1.452642852
5400,0,0.414168657
5400,1.672407958,1.855180695
5400,2,1.711139697
5400,1.864133481,1.866527315
5400,0.556029895,0.022647506
5410,1.691051001,1.585058318
5401.510503,1.016632372,1.751053356
5409.292561,1.921960227,1.766029839
5400,1.252504247,1.588168532
5407.020736,1.68799785,1.824905839
5400,1.348044656,1.68776645
5409.223123,1.868619249,1.827534602
5410,0.344481984,0.09689862
5407.372039,1.825453821,1.890215792
5402.347936,1.628294144,1.796071111
5400,1.846177061,1.881371683
5410,1.806493152,1.898644605
5405.919407,1.630788817,1.852111057
5400,0,0.0717138
5410,1.64555282,1.885557512
5401.686588,1.19358599,1.202725197
5404.156904,1.643272149,1.734489959
5400,1.703539623,1.866315061
5408.359784,0.599823578,0.960891452
5400,0.19911441,0.347866714
5400,0.451368136,0
5400,1.724959799,1.869173826
5400,0,0.253857206
5408.573364,1.988467699,0.570914969
5407.163702,1.820236632,1.989304576
5399.590892,1.997664065,1.55323685
5405.922225,1.838018947,0.904840095
5410,0.432241149,0
5400,2,1.897455566
5400,2,1.908010063
5405.624517,0.671456906,1.102877986
5402.381734,0.262926634,1.621621623
5404.01781,1.623357086,1.855201419
5400,2,1.648436763
5402.834775,1.674560142,1.891258657
5400,0.388559346,0.018179434
5410,1.740644282,1.771037476
5400.152305,2,1.801011566
5405.347638,0.204357233,0
5401.043487,1.807616126,1.709081306
5400.033152,0.867195374,1.266071991
5410,1.916119715,2
5401.201088,1.445377837,1.793268892
5409.751586,0.446167813,0.080666399
5401.432609,0.277532419,0
5400,1.669482248,1.647353433
5406.667137,1.549048322,0.597912236
5400,1.897711906,1.777093988
5407.007063,0.322121209,1.724999841
5410,1.588452214,2
5410,0.563403975,0.101332464
5400,1.898675717,1.383885661
5407.696159,1.66394196,1.747129957
5410,0.293210175,0
5400,1.70490388,2
5400,1.734054882,1.630353943
5401.854143,1.53654379,1.670718128
5410,1.765253298,1.621237838
5400.035097,1.480521362,1.904457987
5400,1.859115171,1.792808045
5408.567114,0.265091232,0
5410,2,1.700558609
5402.75462,1.66581889,1.447179904
5408.730911,1.986556378,1.578190657
5410,1.483340136,1.99699868
5407.479723,1.991379625,1.694983815
5410,0.293278231,0.075390222
5400,2,2
5400,1.798305019,2
5400,1.721487386,2
5410,1.779956652,1.767287192
5400,0.42270275,0.04689059
5408.29975,1.809207251,1.7381759
5408.839865,1.814248696,1.537999703
5400,1.857821957,1.441842404
5410,1.92011837,1.830249208
5400,1.636967198,1.863690995
5400,2,1.498867227
5400,0.197848143,0
5405.759872,1.583672679,1.537858603
5401.208986,1.742366062,1.423616369
5403.5902,0.221640755,0.01439787
5410,1.580200472,2
5403.637651,1.835542615,1.588876404
5400,0.263296286,0
5400.486667,1.828034259,1.860319896
5400,0.373863634,0
5409.081639,1.559373399,1.512158613
5405.793866,0.305445014,0.301122108
5404.997297,1.757139821,1.67403469
5410,1.761302083,2
5401.79779,1.807678884,1.574534713
5400,0.229461418,0.242976294
5400,1.666933905,1.663798141
5409.501828,1.923289174,1.685966679
5407.94739,2,2
5400,1.930623786,1.917466626
5400,1.647983612,1.754362202
5410,0.296375082,0.132475662
5402.850451,1.796555767,1.92862995
5410,1.686967028,2
5404.687041,0.374979887,0
5400,1.759864262,1.4053872
5408.587999,1.501102696,1.418205566
5410,2,2
5400,1.509007023,1.75859945
5405.585807,1.469378653,1.129549292
5407.170842,0.917761549,0.871300298
5410,1.665154471,1.987044737
5400,1.916802786,1.555405634
5400,0.515354206,0.101901265
5399.847614,0.41959217,-0.066547552
5400,1.985821974,1.655430354
5400,1.748751705,1.839997642
5400,0.240663474,0.362964359
5402.987435,0.369124294,0
5404.733414,1.70525608,1.495827353
5403.79866,1.986581492,0.423243406
5407.915354,0.381762187,0.245391376
5408.255404,0.598677567,1.658534638
5409.835868,0.457865645,0.299379545
5400.64959,0.25925732,1.397246428
5400,0.759001663,0
5401.473226,1.761787655,1.541471517
5407.085043,1.79511312,1.925956145
5400,0.406872877,0.036839269
5400,2,2
5400,2,1.392900748
5400,1.874043556,2
5400,1.697381724,1.945147088
5400,1.746019634,2
5410,1.965343997,2
5400,1.688423258,1.640885067
5410,1.819065841,2
5410,1.532731332,1.837205806
5410,1.762778194,1.771476688
5400,2,1.761245836
5408.064318,1.80116188,1.85379259
5405.952071,0.104413911,0.062786418
5401.368346,0.466912036,0.974126077
5410,1.923044164,1.609384454
5410,1.807664501,1.915408598
5400,0.202312455,0.375409435
5400,1.777081311,1.838293458
5400,2,1.770207219
5409.05486,0.170568329,0.997463013
5405.452239,1.986336943,1.866547059
5402.89625,1.370925785,1.768420104
5402.208043,1.544270595,2.028561863
5410,1.965320613,2
5408.039815,0.268734435,0
5400,2,1.628472644
5403.308232,1.93432842,2
5400,1.895027881,1.747332421
5410,1.973536481,1.681043654
5405.27663,1.527237094,1.765868149
5410,1.986237095,1.990855711
5410,1.894644188,1.928472444
5400,1.854024103,1.766907854
5404.597115,2,1.668052652
5405.166399,0.625719245,1.725907339
5407.689132,1.962511538,1.984701386
5400,1.766912308,1.780128537
5400.261943,1.288066813,1.786099714
5410,1.488618199,1.687837819
5400,1.548832746,1.477875535
5400,1.970570419,1.806924462
5410,2,1.538936037
5403.326755,1.917725977,1.963963077
5402.774409,1.943559151,1.697545017
5400,2,1.665335201
5400,1.909058837,1.622137746
5400,1.542004194,1.823065247
5400,1.955948958,1.877351151
5402.959268,2,1.476491131
5400,1.719922163,1.939526438
5400,1.42848406,1.575070062
5410,2,1.922627447
5409.633841,1.794683545,2
5400,1.337558949,1.835518759
5410,0.297239242,0
5400,1.441838351,1.702319278
5404.721036,1.223346726,0.136214702
5400,1.56408098,1.509671718
5400,1.983395843,1.798098415
5401.629901,0.079995523,-0.208253893
5410,1.864737786,1.850223668
5400,0.335477668,0.208475323
5400,0.141871803,0.038360836
5400,1.487031208,1.996901255
5400.156226,0.970310487,0.668547253
5410,0.572435189,0
5406.414792,1.676690854,1.904400136
5410,1.43566408,1.878554961
5400,1.711875487,1.811945053
5409.124811,1.153668894,0.299189619
5409.07245,0.43745498,0.090953073
5400.296935,1.84453797,1.883125699
5400.986575,0.40147794,0
5400,0.486598599,0
5409.652417,1.222590657,0.823993107
5404.78335,0.324654462,0
5400,2,1.909118365
5401.447714,1.84620153,1.706151008
5400,1.78457022,1.695534742
5400,1.42941556,1.514658116
5410,1.498106236,2
5406.957947,1.58828846,1.841995143
5400,1.727218184,1.948863157
5400,1.926038126,1.989647415
5402.432632,0.388932806,0.348236214
5407.585746,0.120636221,0.158104319
5403.539778,0.828994159,1.49257672
5400,1.61984483,1.504650355
5403.251686,1.950737453,1.618048435
5410,0.272474565,0
5407.483507,1.533260981,1.808788111
5400,0.383885116,0.032924997
5400,2,1.965968347
5407.456375,1.516989857,1.670093022
5410,0.152863487,0
5400,1.724849567,1.677359238
5400,0.547087133,0
5410,1.941273805,1.76227263
5400,1.897670708,1.50004228
5400,0.389561692,0
5410,2,2
5406.962396,1.722365663,1.800595446
5400,1.718165939,1.917300136
5403.65877,1.673936898,1.639879976
5400,1.834663146,1.742405234
5400.269597,0.907535964,0.036800253
5410,1.989723119,1.768963374
5400,2,1.834133039
5410,0.176365981,0
5400,2,1.712619822
5400,0.220802107,0
5400,0.292430859,0.230030657
5400,0,0.37012055
5410,0.425448519,0
5400,1.864206862,1.442071816
5410,2,1.543957179
5406.059274,1.783050039,2
5410,1.746642517,1.960852422
5400,1.937569018,1.715997607
5410,0.051752281,0
5400,1.566363242,1.734797279
5402.912214,0.203386008,0.130636291
5400,1.657159435,1.714212655
5409.650735,1.93534992,2
5411.527893,2.005418438,1.920715156
5410,1.882727217,1.496061516
5410,0.46110042,0
5400,1.617546061,1.871203215
5400,2,2
5400,1.615401476,2
5400,0.108208647,0.324632561
5400,1.785296758,1.70833445
5400,1.690480111,1.781615123
5400,1.874243842,1.505936062
5400,1.604344978,1.566620032
5400,2,1.57254224
5400,1.741919286,1.943614941
5410,1.628729406,1.952960515
5407.11611,2,1.802972699
5400,1.756115151,1.429964151
5402.170166,1.393899925,1.53229386
5410,2,1.637799135
5400,1.771635373,1.577843906
5400,1.925753603,1.656188974
5410,1.547498052,1.881451101
5402.676118,1.478277287,2
5400,2,1.648715773
5400.0176,0.142355472,0
5410,1.695317035,1.375160229
5400.047385,1.111723588,0.041918385
5402.33974,1.317586639,0.273421078
5400.060261,0.798657803,0.785942632
5400,1.92936107,1.872179498
5402.415458,1.583717588,1.584892944
5400,1.800921086,1.298388715
5403.146525,0,0.341161459
5401.71661,2,1.852391241
5405.754699,1.266390035,0.78300722
5408.997619,2,1.788420314
5400,2,2
5402.881744,0.627978038,0.054772987
5410,2,1.380598879
5402.967365,0.085159724,0
5410,1.847085458,1.689631284
5400,1.794253098,1.859084007
5400,1.921277994,2
5405.175178,0.695742484,0.986396922
5400,1.333164935,2
5407.500352,1.725319662,1.383935765
5410,1.920797024,1.670996454
5408.149981,1.390329364,1.80095987
5401.817265,0.389531485,0
5407.830521,2,1.746935912
5404.580966,0.387439098,0.017660547
5407.320099,1.80230647,1.804694749
5409.66823,1.923031872,0.321693606
5400,1.950734544,1.696706932
5405.233425,0.412557654,0.082421091
5398.301509,1.524009049,1.884615561
5401.743287,0.647498697,0
5409.097322,0.242380688,0.98730674
5400,1.960703784,1.976441218
5410,0.060106836,0.280805818
5402.298,0,0
5399.308754,0.181188002,0.034812246
5400,1.771585382,1.931519895
5410,1.815829259,1.903386696
5408.798029,1.919693552,0.947189452
5400,0.092730663,0.161917185
5400,0.082831686,0.5734838
5410,0.399740284,0.161198488
5403.883771,1.683923043,1.516975864
5406.167555,1.884023134,0.19470136
5410,1.733928715,1.946569202
5406.679549,1.816240373,1.856893228
5400,1.798152611,1.897930145
5400,1.703816329,2
5405.581654,1.871038691,1.907430752
5400,1.637597104,1.894842077
5400,2,1.808396429
5409.609756,1.781105988,1.834318246
5405.451403,1.574049493,1.853144257
5400,1.728792202,2
5402.880481,1.46969662,1.861392132
5408.06798,0.473457299,1.336556858
5400,2,1.960687853
5400,1.707215088,1.541035405
5404.119963,2,1.701387229
5403.719994,0.292861717,0.315308533
5410,1.910017857,1.622350427
5410,1.974273261,2
5410,1.76238127,1.798665794
5404.825723,1.759721888,1.626763137
5403.890075,0.437197256,0
5400,2,1.763398491
5400,1.903391284,1.8689154
5400,1.989141183,1.861013679
5410,0.329795127,0
5406.173451,0.761257046,0.002399682
5406.351224,0.18055995,0.282536082
5406.05657,0.288188318,0
5401.522319,0.736403816,0.520638204
5410,1.76078304,1.483154509
5408.14932,0.624773432,0.03168759
5400,1.671021464,2
5400,1.519494259,1.943808348
5402.073649,0.106391832,0.027965087
5406.569585,1.72320783,1.734598496
5400,1.772743454,1.618793959
5400,1.713283407,1.90607366
5400,0.381036967,0.409945725
5400,1.426167389,1.76792904
5410,1.797848499,1.831017682
5400,1.328814136,1.80673585
5400,1.709341361,1.678279445
5400,0.196138865,0
5400,0.194325655,0.148439057
5410,0.183134672,0.134468179
5400,1.428877909,1.551541853
5407.72224,0.335935887,0
5400,1.672273806,1.93444725
5400,1.726708254,2
5400.173864,0.076425887,0.269860951
5405.624729,0.498404731,0
5410,1.631309385,1.698252043
5400,1.719291686,1.667391707
5405.794156,1.700645602,1.776998343
5409.099064,0.054042429,0
5400.900743,1.314627042,1.410458108
5400,0.215140295,0
5402.295783,0.242232476,1.456162162
5403.904223,2,1.919314203
5400.199281,1.96399884,2
5410,0.196794509,0
5400,1.954211817,1.794229861
5400,1.431725941,1.573152272
5400,1.821577103,1.8245937
5403.69072,1.607312065,1.427430978
5400,1.723688851,1.62017075
5400,1.506185132,1.903541707
5402.485708,1.69531642,1.236956206
5401.94918,1.600462025,1.998568797
5407.429907,1.78613285,1.784346209
5400,1.299195709,1.859491087
5407.436768,2,1.850879688
5410,1.790686823,2
5410,2,1.675774952
5400,1.754737706,1.796596074
5410,0.259464148,0
5410,1.880520135,1.81335605
5408.990921,1.758391503,1.88942793
5410,1.853805511,1.797474249
5410,1.866990573,2
