Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth
5400.937976,1.917473649,1.617291181,Emitter_2
5405.182482,1.828931516,1.958834219,Emitter_2
5407.354162,1.909709832,2,Emitter_2
5400,0.563888065,0,Emitter_1
5408.703319,1.717357767,1.691473539,Emitter_2
5400,1.510792654,1.493029121,Emitter_2
5400.139872,1.829532001,1.939280872,Emitter_2
5400.861587,0.459896114,1.906788675,Noise
5400,0.49652178,0.034428461,Emitter_1
5410,2,1.857410077,Emitter_2
5400,1.592924581,1.844053148,Emitter_2
5410,1.606011901,1.7793818,Emitter_2
5400,1.653840847,1.753315182,Emitter_2
5400,1.7767048,1.83652098,Emitter_2
5410,0.195275443,0,Emitter_1
5400,1.895210352,1.926305243,Emitter_2
5410,1.601816508,1.632082535,Emitter_2
5403.64262,1.820825847,0.80804476,Noise
5400,1.538484496,1.565988553,Emitter_2
5410,0.28993114,0,Emitter_1
5400,1.814442805,1.613897405,Emitter_2
5410,1.70028057,1.74336693,Emitter_2
5405.531613,1.369218251,1.479840396,Emitter_2
5400,0.21200632,0,Emitter_1
5400,1.710256466,1.751496399,Emitter_2
5400,0,0.259067748,Emitter_1
5403.899034,0.473247067,0.261202216,Noise
5399.407698,0.513105532,-0.157696496,Emitter_1
5400,1.948561278,1.986313014,Emitter_2
5401.092581,1.947472384,0.244936167,Noise
5406.923145,2,1.927352872,Emitter_2
5401.383807,1.829924562,1.399632674,Emitter_2
5400,0.246639019,0,Emitter_1
5400,0,0,Emitter_1
5410.346332,2.072085836,2.156649547,Emitter_2
5400,1.866062951,2,Emitter_2
5406.191651,1.814093247,1.881329929,Emitter_2
5410,1.784197552,1.997483034,Emitter_2
5410,1.773076374,1.876876395,Emitter_2
5410,2,1.569659768,Emitter_2
5404.143946,1.328409636,1.640908042,Noise
5400,1.815381094,1.520344031,Emitter_2
5410,1.554906775,1.927926531,Emitter_2
5403.353442,0.216519113,0,Emitter_1
5406.52621,1.756712287,2,Emitter_2
5404.317398,1.611627186,2,Emitter_2
5410,0.353154749,0.050057133,Emitter_1
5400,0.273770135,0.034592153,Emitter_1
5401.160051,1.8366776,1.531303076,Emitter_2
5410,2,1.835119495,Emitter_2
5400,2,1.811898655,Emitter_2
5400,1.598660469,1.813415602,Emitter_2
5401.195778,2,1.927128791,Emitter_2
5410,1.494265509,1.67040762,Emitter_2
5401.433237,1.337607776,1.751532698,Noise
5410,0.629130028,0,Emitter_1
5409.851084,1.995994629,1.298289136,Emitter_2
5400.944348,0.401537759,0.075384616,Emitter_1
5410,1.89762507,1.736847086,Emitter_2
5400,1.696578726,1.913001292,Emitter_2
5400,0,0,Emitter_1
5408.07556,1.45319942,1.926089703,Emitter_2
5400,1.942466363,1.803940977,Emitter_2
5410,1.773707065,1.914765016,Emitter_2
5400,1.470137928,1.871554662,Emitter_2
5406.960437,1.732327354,1.751354414,Emitter_2
5400,2,1.796241576,Emitter_2
5400,2,1.634724892,Emitter_2
5400,0.336883821,0.023065556,Emitter_1
5407.115755,1.697785919,1.947530219,Emitter_2
5400,1.951889161,1.69760754,Emitter_2
5409.994597,0.277683597,0.123426472,Emitter_1
5409.131561,0.761553925,1.097853808,Noise
5400,1.865281601,2,Emitter_2
5401.589175,1.792839384,1.800231684,Emitter_2
5400,1.456327398,1.779361666,Emitter_2
5402.691022,0.541393767,0,Emitter_1
5400.446045,1.131230543,0.978280923,Noise
5402.868977,1.832573496,1.669893393,Emitter_2
5400,0.26193397,0,Emitter_1
5401.287721,1.639685972,1.727844863,Emitter_2
5406.820053,1.73360081,1.83797185,Emitter_2
5401.205431,0.331592966,0.201582978,Emitter_1
5400,1.699609136,1.628278255,Emitter_2
5409.967644,0.968508892,1.588372399,Noise
5409.56687,0.849765495,0.121503799,Noise
5410,1.768994769,1.728840992,Emitter_2
5405.852132,1.604644707,0.701582553,Noise
5400,0.332094499,0,Emitter_1
5404.862902,1.775868586,1.913782013,Emitter_2
5400,1.714392819,1.710895411,Emitter_2
5410,1.880150304,2,Emitter_2
5410,0.432978255,0,Emitter_1
5400,1.752074715,1.994766405,Emitter_2
5400,1.372634187,1.566060102,Emitter_2
5398.998266,0.042726577,0.083611578,Emitter_1
5400,1.987032492,1.818840674,Emitter_2
5400,1.572758215,1.817602135,Emitter_2
5410,1.479936648,1.9534737,Emitter_2
5400,1.580016368,1.678978833,Emitter_2
5400,2,1.774655696,Emitter_2
5403.412585,1.806569474,0.217088902,Noise
5400,1.571167681,1.847237874,Emitter_2
5410,1.540886677,1.593419234,Emitter_2
5405.779351,1.543621026,2,Emitter_2
5410,1.831536162,1.622253652,Emitter_2
5410,1.537225964,1.814783285,Emitter_2
5407.351005,1.800953266,1.640825463,Emitter_2
5401.013858,1.646560563,1.536259414,Emitter_2
5401.577021,0,0,Emitter_1
5400,0.35824449,0,Emitter_1
5401.45185,0.269925181,0,Emitter_1
5404.94851,1.806280254,1.949403045,Noise
5400,1.734115467,1.516330547,Emitter_2
5404.842134,1.412265911,1.860813777,Emitter_2
5401.500565,1.408343762,1.212225635,Noise
5402.244526,0.189167856,0.188701544,Emitter_1
5400,1.710689588,1.598068933,Emitter_2
5400.520472,1.553283722,1.797062532,Emitter_2
5400,1.504139867,2,Emitter_2
5407.960688,0.800424239,0.462913328,Noise
5407.226773,0.299964878,0.040386787,Emitter_1
5400,1.611554864,1.921530714,Emitter_2
5406.053571,0.522512205,0,Emitter_1
5405.036031,1.762030846,1.782384142,Emitter_2
5405.104036,0.269810026,0.083524825,Emitter_1
5400,1.868297818,1.838806629,Emitter_2
5410,1.939483614,1.713560717,Emitter_2
5400,1.487508611,1.463096271,Emitter_2
5408.676122,0.241940734,0,Emitter_1
5410,1.615208186,1.576012841,Emitter_2
5400,0.212360947,0,Emitter_1
5400,0.414642715,0.008054576,Emitter_1
5400.603239,2,1.758694422,Emitter_2
5405.300112,1.19197096,0.055949204,Noise
5403.156296,0.547604153,1.438664312,Noise
5400,1.660864808,1.271273156,Emitter_2
5400,1.9647728,1.813276036,Emitter_2
5410,1.971774819,1.852490486,Emitter_2
5400,1.85145776,1.655234783,Emitter_2
5403.848201,1.488525785,1.645592164,Noise
5408.095768,1.768492367,1.926105694,Emitter_2
5400,1.646185169,1.727659381,Emitter_2
5400,2,1.519080411,Emitter_2
5408.736864,1.514660085,1.754227875,Emitter_2
5409.593157,1.118695771,0.606935863,Noise
5400,1.9418782,1.530631633,Emitter_2
5402.250218,1.852377097,1.477852506,Noise
5400,1.729836403,1.852053291,Emitter_2
5407.476454,1.854264219,1.511883533,Emitter_2
5400.14954,1.782816595,1.889529136,Emitter_2
5410,0,0,Emitter_1
5410,1.761719424,1.635841452,Emitter_2
5403.083488,1.817906724,1.059137585,Noise
5400,1.953922486,1.811485916,Emitter_2
5400,1.879751027,1.963790576,Emitter_2
5400,1.735202523,2,Emitter_2
5406.269585,1.844263707,1.823856175,Emitter_2
5409.60799,1.077026686,1.879048727,Noise
5400,0.302744219,0,Emitter_1
5401.478277,1.873506048,0.279586363,Noise
5401.867711,1.664505821,1.935026904,Emitter_2
5400,1.776082827,1.672292711,Emitter_2
5410,2,1.65649681,Emitter_2
5400,2,2,Emitter_2
5410,0.405381863,0.318018928,Emitter_1
5408.348405,1.631355218,1.754800003,Emitter_2
5400,0.346868091,0,Emitter_1
5400,1.930405795,2,Emitter_2
5404.685124,0.579462459,1.818260717,Noise
5400.222932,0.118842828,0.032310213,Emitter_1
5400.444055,1.30386864,1.514752981,Noise
5400.316705,1.955566576,1.626646648,Emitter_2
5401.316481,1.718439247,1.700310548,Emitter_2
5400,1.740942467,1.913069964,Emitter_2
5410,2,1.693941383,Emitter_2
5400,1.829111276,1.996157682,Emitter_2
5400,0.22349022,0.084220995,Emitter_1
5400,1.998731818,1.92731161,Emitter_2
5408.482229,0.182508544,0.544877095,Noise
5410,1.84498912,1.819545913,Emitter_2
5410,1.674455351,1.923924709,Emitter_2
5410,0.549485944,0.049954591,Emitter_1
5410,1.870432824,1.779382572,Emitter_2
5400,1.844636882,2,Emitter_2
5400,2,1.982318314,Emitter_2
5410,0.544511573,0.025405765,Emitter_1
5404.951208,1.705798934,1.436510739,Emitter_2
5400,2,1.866261142,Emitter_2
5400.502036,1.533292414,1.807343419,Emitter_2
5400,1.858113047,1.847103272,Emitter_2
5404.634551,1.467114295,1.804857077,Emitter_2
5410,1.879048865,1.834926364,Emitter_2
5404.9659,0.153591925,0.327002348,Noise
5400,2,1.557987134,Emitter_2
5409.834906,1.95407625,1.66113467,Emitter_2
5400,2,1.692208352,Emitter_2
5401.049139,0.072034599,1.168633633,Noise
5400,1.661424732,1.948281555,Emitter_2
5401.667671,1.690351892,1.787056205,Emitter_2
5400,0.134389831,0.099586181,Emitter_1
5410,1.81925074,1.810952028,Emitter_2
5400,0.441091831,0,Emitter_1
5402.635735,2,2,Emitter_2
5402.019379,1.297904112,0.830835557,Noise
5400,1.582490363,1.759913929,Emitter_2
5404.993089,1.32950688,1.887298033,Noise
5410,1.82846744,1.602597395,Emitter_2
5400,2,1.626100702,Emitter_2
5406.769798,0.290815236,0.000687616,Emitter_1
5402.645755,0.524390868,0.016328072,Emitter_1
5399.243564,0.312520608,0.062153156,Emitter_1
5410,1.973752691,1.9863275,Emitter_2
5402.397795,1.591772606,1.663454406,Emitter_2
5400,1.098280113,1.295667661,Emitter_2
5401.430471,1.68228192,1.819039921,Emitter_2
5407.928233,2,1.612751118,Emitter_2
5410,1.982143176,1.354049569,Emitter_2
5400,1.760958851,1.713677053,Emitter_2
5409.631299,1.946564988,1.562527665,Emitter_2
5400,1.746062972,1.91568507,Emitter_2
5400,2,2,Emitter_2
5404.520894,1.526116281,0.828285018,Noise
5400,0.683968574,0.01964386,Emitter_1
5410,0.278830105,0.47780356,Emitter_1
5400,0.375115577,0,Emitter_1
5410,1.784527532,1.873854187,Emitter_2
5409.125921,0.25344281,0.020287899,Emitter_1
5400,2,1.765232999,Emitter_2
5400,0.335860352,0,Emitter_1
5410,1.511666922,1.759730057,Emitter_2
5410,1.854203687,1.970092081,Emitter_2
5406.376005,2,2,Emitter_2
5406.405748,1.54847363,1.760796506,Emitter_2
5410,0.450267687,0.019290631,Emitter_1
5401.798848,1.822352518,1.889924872,Emitter_2
5400,2,2,Emitter_2
5400,1.677859036,1.746046567,Emitter_2
5401.757772,1.652568093,1.946241998,Emitter_2
5400.666593,0.181943115,0.213963402,Emitter_1
5400,1.976522712,1.887688879,Emitter_2
5404.996713,0.709888958,1.630637931,Noise
5410,1.725050586,1.734634946,Emitter_2
5400,2,1.791639013,Emitter_2
5400,0.35116861,0.227789814,Emitter_1
5400,0,0.06789448,Emitter_1
5406.998979,0.22054447,0.060123334,Emitter_1
5400,1.938581307,1.670270249,Emitter_2
5408.866348,1.725222829,1.96532047,Emitter_2
5401.311767,0.989623195,1.660570853,Noise
5400,1.790066779,1.904649685,Emitter_2
5407.424964,1.806987996,1.85510047,Emitter_2
5406.47394,1.951408854,1.740118823,Emitter_2
5400,0.895199486,0.036660662,Emitter_1
5410,2,1.647362241,Emitter_2
5402.148223,0.418611122,0,Emitter_1
5400,1.825179726,1.861744374,Emitter_2
5403.70041,0.262850196,0.140686177,Emitter_1
5400,1.687198503,2,Emitter_2
5410,1.937402364,1.727345018,Emitter_2
5404.344977,1.447219406,2,Emitter_2
5400,0.124644598,0,Emitter_1
5400,1.591690978,1.889766484,Emitter_2
5400,1.597774024,1.706755059,Emitter_2
5400,1.789434811,1.935935511,Emitter_2
5401.650708,1.699373915,2,Emitter_2
5409.83747,0.509364986,0,Emitter_1
5400.309154,1.708946176,1.676232557,Emitter_2
5400,1.465385652,1.81093458,Emitter_2
5400,1.348533096,1.254159648,Emitter_2
5407.777123,0.25516887,0.08431318,Noise
5406.94762,1.719384025,1.346228325,Noise
5400,1.698279212,1.681775458,Emitter_2
5409.565761,0.944413595,1.527316504,Noise
5402.926778,1.571589874,1.884395265,Emitter_2
5400,1.577174009,2,Emitter_2
5402.748231,0.199946102,0.137503358,Emitter_1
5403.138928,1.946353333,1.789446626,Emitter_2
5400,1.867751422,2,Emitter_2
5410,1.50076916,2,Emitter_2
5400,1.956262668,1.9502257,Emitter_2
5400,2,1.523319132,Emitter_2
5407.156587,1.234483102,1.940053026,Emitter_2
5400,1.696112264,1.813033158,Emitter_2
5407.396662,2,2,Emitter_2
5400,0.447325537,0,Emitter_1
5400,1.8689336,1.61858514,Emitter_2
5400,1.686995135,1.852797196,Emitter_2
5410,1.633763899,1.906628181,Emitter_2
5410,1.549318674,2,Emitter_2
5400,1.786593641,1.943045106,Emitter_2
5400,1.772725802,1.91527569,Emitter_2
5400,0.337174775,0.143219872,Emitter_1
5400,0.003395512,0.085241083,Emitter_1
5400,1.719538692,1.917905516,Emitter_2
5405.789364,1.990791462,1.872330182,Noise
5400,1.764636127,1.931010602,Emitter_2
5400,1.950064408,2,Emitter_2
5400,1.948082862,1.968916413,Emitter_2
5400,0.52921267,0,Emitter_1
5410,2,1.615144133,Emitter_2
5401.719473,1.494329986,0.745322076,Noise
5400,0.283872494,0.194737135,Emitter_1
5400,0.40521841,0.019835248,Emitter_1
5402.346631,1.947883714,1.879148139,Emitter_2
5408.953392,1.957343427,1.830331254,Emitter_2
5410,2,2,Emitter_2
5400,1.796007439,1.750166032,Emitter_2
5402.895366,1.903438877,1.738858523,Emitter_2
5410,1.98519228,1.644082872,Emitter_2
5400,1.181680499,1.870052583,Emitter_2
5410,0.222083238,0.34523644,Emitter_1
5403.502325,1.925519165,1.395477606,Emitter_2
5400,1.746745439,1.584273235,Emitter_2
5400,1.6472853,1.832414357,Emitter_2
5405.157763,1.427627641,0.876560672,Noise
5401.732114,0.784311801,0.471349391,Noise
5404.776335,2,1.825107008,Emitter_2
5408.859799,1.490153497,1.71615855,Noise
5409.868147,1.459884043,0.090888089,Noise
5401.212244,1.659573143,1.559535933,Emitter_2
5404.526694,2,1.717518967,Emitter_2
5400,0.324498119,0.025686631,Emitter_1
5408.689812,1.961704637,2,Emitter_2
5400,1.915786471,2,Emitter_2
5400,0.770879208,0,Emitter_1
5410,0,0.041468792,Emitter_1
5400,1.851225207,1.95149891,Emitter_2
5410,1.750135432,1.854764391,Emitter_2
5400,0.729958177,0,Emitter_1
5409.494104,1.859663439,1.378121618,Emitter_2
5400,2,2,Emitter_2
5408.519225,1.730313536,1.796073672,Emitter_2
5400,0.289326946,0,Emitter_1
5400,1.964136474,1.386179622,Emitter_2
5402.136391,1.285023408,1.038761632,Noise
5410,1.832642496,1.850036034,Emitter_2
5404.376849,1.614859784,1.74294608,Emitter_2
5410,1.70910501,1.848819647,Emitter_2
5400,1.695949618,1.693920464,Emitter_2
5400,2,2,Emitter_2
5400,1.712575304,2,Emitter_2
5400,1.924778074,2,Emitter_2
5410,1.885928137,1.987886185,Emitter_2
5410.485693,1.835696745,1.773772236,Emitter_2
5400,1.79123951,1.822160565,Emitter_2
5404.063057,1.677192718,1.618966687,Emitter_2
5407.069441,0.457458996,1.544207263,Noise
5404.530592,0.171723289,0.323470776,Emitter_1
5400,0.246968197,0.0264465,Emitter_1
5406.366135,2,1.933065709,Emitter_2
5408.620755,0.607222952,1.085511291,Noise
5400,1.69597824,1.864777361,Emitter_2
5400,1.618039925,1.797489628,Emitter_2
5403.283118,1.931158998,1.887623362,Emitter_2
5405.622733,0.207918562,0.124636052,Emitter_1
5400,0.412336941,0,Emitter_1
5400,1.754616904,1.807459188,Emitter_2
5400,2,1.75674782,Emitter_2
5400,0.323236643,0.296942382,Emitter_1
5400.941083,1.877411384,1.472232703,Emitter_2
5400,1.902851895,1.987858882,Emitter_2
5400,2,1.816016055,Emitter_2
5400,0.308662332,0.049024199,Emitter_1
5400,1.956194924,1.639727768,Emitter_2
5409.160289,1.631571357,2,Emitter_2
5398.680434,1.789126541,1.425891752,Emitter_2
5400,1.682734089,2,Emitter_2
5400.364335,1.905756764,1.896915279,Emitter_2
5410,2,1.723873639,Emitter_2
5403.267759,0.221827426,0.63055211,Noise
5400,1.624927774,1.714378361,Emitter_2
5405.656281,1.949079161,1.650161919,Emitter_2
5400,0.42995039,0.138335689,Emitter_1
5410,1.830265337,1.8306625,Emitter_2
5400,0.334206939,0,Emitter_1
5400,1.635423669,1.930818636,Emitter_2
5400.171931,1.057816219,1.109824141,Noise
5400,2,1.774196617,Emitter_2
5409.094832,2,1.303803955,Emitter_2
5401.440995,1.795368859,2,Emitter_2
5402.56203,0.836584548,0.418065674,Noise
5400.38705,0.401139264,0.229787752,Emitter_1
5400,1.564043867,1.466170838,Emitter_2
5410,0.194918909,0.134204365,Emitter_1
5404.04699,2,1.742924878,Emitter_2
5404.055219,1.540645901,1.891978643,Emitter_2
5400.243324,1.997776699,1.630062772,Emitter_2
5400,0.18338043,0,Emitter_1
5400,1.598706446,2,Emitter_2
5400,1.466057947,1.879519974,Emitter_2
5400,1.820851796,1.978699194,Emitter_2
5400,1.520806458,1.691598757,Emitter_2
5400,2,1.414039707,Emitter_2
5405.575573,1.612472224,1.5384868,Emitter_2
5402.476326,1.883832835,1.880805843,Emitter_2
5400,0.193952614,0.105693245,Emitter_1
5406.852308,1.848434011,1.816071569,Emitter_2
5400,1.692063011,1.762867485,Emitter_2
5400,0.270953143,0,Emitter_1
5408.736452,0.393642568,0.661226425,Noise
5400.629509,1.67559214,2,Emitter_2
5400,1.555846557,1.878968043,Emitter_2
5400.614719,1.838145231,1.63528691,Emitter_2
5410,1.791748327,1.753167851,Emitter_2
5400.423974,1.958581975,1.882713488,Emitter_2
5400,1.602813666,1.983634849,Emitter_2
5400,0.382066375,0,Emitter_1
5400,0.296721838,0.000624948,Emitter_1
5400,0.592770214,0.174043531,Emitter_1
5408.380077,2,1.744463365,Emitter_2
5401.76899,1.696363261,1.774047594,Emitter_2
5409.334929,1.687550801,1.69561406,Emitter_2
5400,2,1.606664016,Emitter_2
5402.442388,1.619243273,0.30936054,Noise
5400,2,1.814653242,Emitter_2
5400,1.743750874,1.953057372,Emitter_2
5410,1.88646097,1.468255255,Emitter_2
5408.355066,1.584101613,1.622787732,Emitter_2
5405.769227,0.169102419,1.106791126,Noise
5408.441229,1.90432995,0.706371961,Noise
5406.248864,0.759726145,1.160525737,Noise
5410,0.091889754,0.012967994,Emitter_1
5407.827793,1.409930063,2,Emitter_2
5400,0.164760772,0.346022002,Emitter_1
5400.134497,0.179883919,0,Emitter_1
5409.095512,2,1.597336444,Emitter_2
5400,1.571755723,1.538301676,Emitter_2
5404.145332,2,1.852293804,Emitter_2
5410,2,1.906106917,Emitter_2
5400.781683,1.839094172,2.018304155,Emitter_2
5400,1.763969885,1.76958874,Emitter_2
5409.078024,0.305480451,0,Emitter_1
5400,1.775372051,1.678620399,Emitter_2
5400.952001,1.502131701,1.858510166,Emitter_2
5400,1.947443497,2,Emitter_2
5402.292354,1.952879318,1.00619919,Noise
5405.714818,1.730802081,1.668281294,Emitter_2
5400,1.985908575,1.935441025,Emitter_2
5405.713581,1.841222403,1.767723971,Emitter_2
5400,1.689507321,1.954585422,Emitter_2
5408.979498,1.88192329,1.452642852,Emitter_2
5400,0,0.414168657,Emitter_1
5400,1.672407958,1.855180695,Emitter_2
5400,2,1.711139697,Emitter_2
5400,1.864133481,1.866527315,Emitter_2
5400,0.556029895,0.022647506,Emitter_1
5410,1.691051001,1.585058318,Emitter_2
5401.510503,1.016632372,1.751053356,Noise
5409.292561,1.921960227,1.766029839,Emitter_2
5400,1.252504247,1.588168532,Emitter_2
5407.020736,1.68799785,1.824905839,Emitter_2
5400,1.348044656,1.68776645,Emitter_2
5409.223123,1.868619249,1.827534602,Emitter_2
5410,0.344481984,0.09689862,Emitter_1
5407.372039,1.825453821,1.890215792,Emitter_2
5402.347936,1.628294144,1.796071111,Emitter_2
5400,1.846177061,1.881371683,Emitter_2
5410,1.806493152,1.898644605,Emitter_2
5405.919407,1.630788817,1.852111057,Emitter_2
5400,0,0.0717138,Emitter_1
5410,1.64555282,1.885557512,Emitter_2
5401.686588,1.19358599,1.202725197,Noise
5404.156904,1.643272149,1.734489959,Emitter_2
5400,1.703539623,1.866315061,Emitter_2
5408.359784,0.599823578,0.960891452,Noise
5400,0.19911441,0.347866714,Emitter_1
5400,0.451368136,0,Emitter_1
5400,1.724959799,1.869173826,Emitter_2
5400,0,0.253857206,Emitter_1
5408.573364,1.988467699,0.570914969,Noise
5407.163702,1.820236632,1.989304576,Noise
5399.590892,1.997664065,1.55323685,Emitter_2
5405.922225,1.838018947,0.904840095,Noise
5410,0.432241149,0,Emitter_1
5400,2,1.897455566,Emitter_2
5400,2,1.908010063,Emitter_2
5405.624517,0.671456906,1.102877986,Noise
5402.381734,0.262926634,1.621621623,Noise
5404.01781,1.623357086,1.855201419,Emitter_2
5400,2,1.648436763,Emitter_2
5402.834775,1.674560142,1.891258657,Emitter_2
5400,0.388559346,0.018179434,Emitter_1
5410,1.740644282,1.771037476,Emitter_2
5400.152305,2,1.801011566,Emitter_2
5405.347638,0.204357233,0,Emitter_1
5401.043487,1.807616126,1.709081306,Emitter_2
5400.033152,0.867195374,1.266071991,Noise
5410,1.916119715,2,Emitter_2
5401.201088,1.445377837,1.793268892,Emitter_2
5409.751586,0.446167813,0.080666399,Emitter_1
5401.432609,0.277532419,0,Emitter_1
5400,1.669482248,1.647353433,Emitter_2
5406.667137,1.549048322,0.597912236,Noise
5400,1.897711906,1.777093988,Emitter_2
5407.007063,0.322121209,1.724999841,Noise
5410,1.588452214,2,Emitter_2
5410,0.563403975,0.101332464,Emitter_1
5400,1.898675717,1.383885661,Emitter_2
5407.696159,1.66394196,1.747129957,Emitter_2
5410,0.293210175,0,Emitter_1
5400,1.70490388,2,Emitter_2
5400,1.734054882,1.630353943,Emitter_2
5401.854143,1.53654379,1.670718128,Emitter_2
5410,1.765253298,1.621237838,Emitter_2
5400.035097,1.480521362,1.904457987,Emitter_2
5400,1.859115171,1.792808045,Emitter_2
5408.567114,0.265091232,0,Emitter_1
5410,2,1.700558609,Emitter_2
5402.75462,1.66581889,1.447179904,Emitter_2
5408.730911,1.986556378,1.578190657,Emitter_2
5410,1.483340136,1.99699868,Emitter_2
5407.479723,1.991379625,1.694983815,Emitter_2
5410,0.293278231,0.075390222,Emitter_1
5400,2,2,Emitter_2
5400,1.798305019,2,Emitter_2
5400,1.721487386,2,Emitter_2
5410,1.779956652,1.767287192,Emitter_2
5400,0.42270275,0.04689059,Emitter_1
5408.29975,1.809207251,1.7381759,Emitter_2
5408.839865,1.814248696,1.537999703,Emitter_2
5400,1.857821957,1.441842404,Emitter_2
5410,1.92011837,1.830249208,Emitter_2
5400,1.636967198,1.863690995,Emitter_2
5400,2,1.498867227,Emitter_2
5400,0.197848143,0,Emitter_1
5405.759872,1.583672679,1.537858603,Emitter_2
5401.208986,1.742366062,1.423616369,Emitter_2
5403.5902,0.221640755,0.01439787,Emitter_1
5410,1.580200472,2,Emitter_2
5403.637651,1.835542615,1.588876404,Emitter_2
5400,0.263296286,0,Emitter_1
5400.486667,1.828034259,1.860319896,Emitter_2
5400,0.373863634,0,Emitter_1
5409.081639,1.559373399,1.512158613,Emitter_2
5405.793866,0.305445014,0.301122108,Emitter_1
5404.997297,1.757139821,1.67403469,Emitter_2
5410,1.761302083,2,Emitter_2
5401.79779,1.807678884,1.574534713,Emitter_2
5400,0.229461418,0.242976294,Emitter_1
5400,1.666933905,1.663798141,Emitter_2
5409.501828,1.923289174,1.685966679,Emitter_2
5407.94739,2,2,Emitter_2
5400,1.930623786,1.917466626,Emitter_2
5400,1.647983612,1.754362202,Emitter_2
5410,0.296375082,0.132475662,Emitter_1
5402.850451,1.796555767,1.92862995,Emitter_2
5410,1.686967028,2,Emitter_2
5404.687041,0.374979887,0,Emitter_1
5400,1.759864262,1.4053872,Emitter_2
5408.587999,1.501102696,1.418205566,Noise
5410,2,2,Emitter_2
5400,1.509007023,1.75859945,Emitter_2
5405.585807,1.469378653,1.129549292,Noise
5407.170842,0.917761549,0.871300298,Noise
5410,1.665154471,1.987044737,Emitter_2
5400,1.916802786,1.555405634,Emitter_2
5400,0.515354206,0.101901265,Emitter_1
5399.847614,0.41959217,-0.066547552,Emitter_1
5400,1.985821974,1.655430354,Emitter_2
