Radio Frequency,Pulse Width,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5401.012448,119.9764955,1.735704724,1.947563213,Emitter_2,Emitter_2
5405.420339,784.8946433,1.04783634,1.597486769,Noise,Noise
5400.270836,141.707323,1.657675545,1.158534229,Emitter_2,Emitter_2
5400,143.6614558,2,1.689359733,Emitter_2,Emitter_2
5403.404905,147.9485393,1.759479659,1.082351568,Emitter_2,Emitter_2
5400,1049.962072,0.318220844,0.149066366,Emitter_1,Emitter_1
5405.735062,150.9419979,1.78121845,1.75668217,Emitter_2,Emitter_2
5400,135.6203818,1.312556315,1.103037449,Emitter_2,Emitter_2
5410,1025.966905,0.138645165,0,Emitter_1,Emitter_1
5407.222729,154.1567374,2,1.733944541,Emitter_2,Emitter_2
5400,134.5232408,1.776418657,2,Emitter_2,Emitter_2
5410,181.1563717,1.442252304,0.858558616,Emitter_2,Emitter_2
5400,123.657216,1.334187374,1.442495721,Emitter_2,Emitter_2
5403.283223,141.8887154,1.675248639,1.91348143,Emitter_2,Emitter_2
5400,153.4286016,1.53271675,0.887410026,Emitter_2,Emitter_2
5400.7416,1060.443085,0.011856922,0,Emitter_1,Emitter_1
5411.77458,149.9203218,1.569918201,0.833913203,Emitter_2,Emitter_2
5406.516061,155.1544579,1.107796386,1.023144779,Emitter_2,Emitter_2
5406.925687,126.2251771,1.843245008,1.518676454,Emitter_2,Emitter_2
5410,154.7421165,1.355537285,1.072667002,Emitter_2,Emitter_2
5403.051937,119.559579,2,1.713426673,Emitter_2,Emitter_2
5402.111465,346.2044384,0.812305345,0.842265743,Noise,Emitter_2
5400,176.0022944,2,1.62237931,Emitter_2,Emitter_2
5400,1026.412549,0.109499818,0.308741173,Emitter_1,Emitter_1
5407.210449,456.2320653,1.376498233,0.476460865,Noise,Noise
5406.411598,1039.000005,0.1991697,0,Emitter_1,Emitter_1
5400.946129,157.2384861,1.490759518,1.745141486,Emitter_2,Emitter_2
5400,108.9570267,1.75217993,1.198685034,Emitter_2,Emitter_2
5400,132.8297478,1.419922946,0.840665478,Emitter_2,Emitter_2
5408.034126,151.128365,1.966406844,1.926246999,Emitter_2,Emitter_2
5406.384808,538.0098664,1.704380118,1.522260028,Noise,Noise
5400,140.056759,1.367453484,0.923139534,Emitter_2,Emitter_2
5410,995.7732666,0.138256182,0.149700067,Emitter_1,Emitter_1
5400,1036.955906,0.535750466,0.172573412,Emitter_1,Emitter_1
5410,1049.915985,0.099109364,0,Emitter_1,Emitter_1
5400,156.3754144,1.884187182,1.849537332,Emitter_2,Emitter_2
5406.680362,131.7637521,1.624724541,1.31697654,Emitter_2,Emitter_2
5400,158.050543,1.655381497,0.839966446,Emitter_2,Emitter_2
5400,168.2761685,2,1.561363366,Emitter_2,Emitter_2
5409.004088,107.7468215,2,1.903257496,Emitter_2,Emitter_2
5400,152.1973523,1.605504376,1.066245798,Emitter_2,Emitter_2
5408.030717,1037.969502,0.295880689,0,Emitter_1,Emitter_1
5407.816932,123.7688503,1.69265565,2,Emitter_2,Emitter_2
5410,127.105852,1.406485002,1.430275452,Emitter_2,Emitter_2
5400.600287,1056.415136,0.557032378,1.514191686,Noise,Emitter_1
5400,136.5931655,1.610695724,1.065123107,Emitter_2,Emitter_2
5405.973495,1086.149303,0.031030167,0,Emitter_1,Emitter_1
5400,152.6559119,1.804306708,1.05477089,Emitter_2,Emitter_2
5410.781666,148.901932,1.752255067,1.798359714,Emitter_2,Emitter_2
5400,168.6780797,1.882430468,1.643341224,Emitter_2,Emitter_2
5408.508339,123.4321971,1.238019435,0.749001892,Emitter_2,Emitter_2
5410,100,1.833132924,1.58090757,Emitter_2,Emitter_2
5407.0296,147.6734854,1.650820555,0.851001427,Emitter_2,Emitter_2
5400,134.4228366,1.43889579,1.259360763,Emitter_2,Emitter_2
5402.528712,607.4125122,1.177729875,0.76176043,Noise,Noise
5400.333437,1068.318697,0.136421665,0.179505944,Emitter_1,Emitter_1
5410,138.2160087,1.747557133,1.564617203,Emitter_2,Emitter_2
5401.015652,538.826416,1.080813464,0.43740515,Noise,Emitter_2
5400,1059.642613,0.561747007,0,Emitter_1,Emitter_1
5400,149.9436678,1.637115849,1.719573221,Emitter_2,Emitter_2
5404.518043,140.7875561,1.851479358,1.485569227,Emitter_2,Emitter_2
5400.344701,175.0323389,1.111068935,0.870126003,Emitter_2,Emitter_2
5410,150.1256427,1.721457799,2,Emitter_2,Emitter_2
5401.416785,131.6463221,1.647274662,0.767410579,Emitter_2,Emitter_2
5402.764473,872.591454,0.330766879,1.592727106,Noise,Emitter_1
5410,154.0856795,1.36880721,1.192405965,Emitter_2,Emitter_2
5400,113.7617541,1.915796317,2,Emitter_2,Emitter_2
5400,159.6104013,2,1.771324934,Emitter_2,Emitter_2
5400,1048.540854,0.008879242,0,Emitter_1,Emitter_1
5406.223958,789.7862516,1.662415883,0.790266954,Noise,Emitter_1
5400,1018.544707,0.410693854,0,Emitter_1,Emitter_1
5408.250503,154.2687197,1.395611328,1.270236518,Emitter_2,Emitter_2
5400,137.0874453,1.580692045,1.815260004,Emitter_2,Emitter_2
5408.151032,240.8164766,0.287431837,1.822149981,Noise,Noise
5410,138.9352612,2,1.93939407,Emitter_2,Emitter_2
5403.140901,817.4391434,0.914534463,1.1358075,Noise,Noise
5400,153.7498844,1.515144312,1.988468578,Emitter_2,Emitter_2
5400,158.3313079,1.416734277,0.957225691,Emitter_2,Emitter_2
5400,118.8121545,1.735388487,1.813190677,Emitter_2,Emitter_2
5401.705552,168.5849431,1.464110591,1.7922424,Emitter_2,Emitter_2
5400,135.5668791,2,1.759268488,Emitter_2,Emitter_2
5400,1049.796647,0.75466724,0,Emitter_1,Emitter_1
5406.724822,166.3719449,1.465333109,1.257343329,Emitter_2,Emitter_2
5410,130.9204735,1.809068472,1.425326519,Emitter_2,Emitter_2
5410,1030.490417,0.120020383,0,Emitter_1,Emitter_1
5405.034122,158.1283983,1.799550474,1.659568511,Emitter_2,Emitter_2
5400,1039.234113,0.264091736,0,Emitter_1,Emitter_1
5400,147.3824186,1.468827193,0.754330186,Emitter_2,Emitter_2
5407.852241,112.3237313,1.996887053,1.727024045,Emitter_2,Emitter_2
5400,1033.879355,0.111514028,0.09116014,Emitter_1,Emitter_1
5400,151.0609876,1.315360777,1.235985023,Emitter_2,Emitter_2
5400,130.8395193,1.831863965,1.033782394,Emitter_2,Emitter_2
5400,132.5671664,1.885538142,1.898245516,Emitter_2,Emitter_2
5400,1029.305655,0.563890994,0,Emitter_1,Emitter_1
5400,133.969993,1.912035244,1.666751151,Emitter_2,Emitter_2
5400,165.8964957,1.761239326,1.741355815,Emitter_2,Emitter_2
5407.603556,151.1013436,1.290937804,0.635523824,Emitter_2,Emitter_2
5410,121.6335055,2,1.62801167,Emitter_2,Emitter_2
5400,139.2521572,1.240174497,0.93813755,Emitter_2,Emitter_2
5400,148.4178761,1.577856788,0.971117754,Emitter_2,Emitter_2
5401.359532,102.7515087,1.642000303,1.780435221,Emitter_2,Emitter_2
5404.942604,133.6046857,1.700538865,0.896813706,Emitter_2,Emitter_2
5408.984361,164.833022,1.518066032,2,Emitter_2,Emitter_2
5400,142.7933367,1.628130085,1.435244835,Emitter_2,Emitter_2
5400,163.1951296,1.701460191,1.47872171,Emitter_2,Emitter_2
5400,1053.522126,0.295430115,0,Emitter_1,Emitter_1
5400,121.2217077,1.952869012,1.75724822,Emitter_2,Emitter_2
5405.497946,136.2328822,1.484692647,0.88759821,Emitter_2,Emitter_2
5400,123.3926826,2,1.560075167,Emitter_2,Emitter_2
5410,1044.231095,0.651382258,0,Emitter_1,Emitter_1
5401.045804,647.069461,1.641107816,0.638477915,Noise,Emitter_2
5408.215917,115.2196229,1.922417546,1.423733059,Emitter_2,Emitter_2
5410,129.787346,2,1.458561902,Emitter_2,Emitter_2
5409.712456,120.0863993,1.79234846,0.888586309,Emitter_2,Emitter_2
5400,119.2384434,2,2,Emitter_2,Emitter_2
5400,161.4158033,1.660506585,1.73827302,Emitter_2,Emitter_2
5407.600505,172.9473302,1.691164757,0.634816742,Emitter_2,Emitter_2
5400,145.1744446,1.938000894,1.950086088,Emitter_2,Emitter_2
5400,106.7533183,2,2,Emitter_2,Emitter_2
5400,132.3061945,2,1.985641628,Emitter_2,Emitter_2
5400,115.2744898,1.288669422,0.913242742,Emitter_2,Emitter_2
5410,133.350827,1.631119442,1.087335371,Emitter_2,Emitter_2
5400,180.3705762,1.425167843,0.883684869,Emitter_2,Emitter_2
5400,1034.203204,0.085844488,0,Emitter_1,Emitter_1
5410,150.9927181,1.547290005,0.792983369,Emitter_2,Emitter_2
5400,144.129849,1.925141666,1.878544515,Emitter_2,Emitter_2
5402.09167,593.205212,0.64834441,1.163819578,Noise,Noise
5412.249895,166.778834,1.72511222,1.415001424,Emitter_2,Noise
5400,129.250957,1.801632855,1.843786203,Emitter_2,Emitter_2
5401.938566,137.7557047,2,1.690049692,Emitter_2,Emitter_2
5410,1008.192442,0.044778754,0.097120159,Emitter_1,Emitter_1
5407.497377,160.7218053,1.93735132,1.801128017,Emitter_2,Emitter_2
5408.140956,146.4545858,2,1.716376687,Emitter_2,Emitter_2
5400,171.0972035,1.235967348,1.263789252,Emitter_2,Emitter_2
5402.187966,143.6726095,1.620576579,1.959149348,Emitter_2,Emitter_2
5410,130.7785459,1.444137692,0.992190888,Emitter_2,Emitter_2
5406.461977,761.5712946,0.380716326,1.198679772,Noise,Emitter_1
5405.016454,122.6453504,1.473704116,0.976040926,Emitter_2,Emitter_2
5400,125.8623915,1.985270828,1.670485963,Emitter_2,Emitter_2
5403.218827,126.995047,1.365023425,0.919531601,Emitter_2,Emitter_2
5400,123.0082183,1.979465602,1.860837208,Emitter_2,Emitter_2
5400,141.9023077,1.601243335,1.22410774,Emitter_2,Emitter_2
5400,173.3888225,1.832740167,1.601702946,Emitter_2,Emitter_2
5400,134.26672,2,1.62902516,Emitter_2,Emitter_2
5400,136.3754494,1.840336396,1.937455518,Emitter_2,Emitter_2
5400,144.0670697,1.653920992,1.003357529,Emitter_2,Emitter_2
5410,140.7484414,1.978873506,1.585200233,Emitter_2,Emitter_2
5410,149.2625574,1.300527868,1.235006052,Emitter_2,Emitter_2
5409.405735,773.7091082,0.735543381,0.871696385,Noise,Noise
5410,120.899113,1.489655983,1.222960049,Emitter_2,Emitter_2
5410,154.3485952,1.611117066,1.413971447,Emitter_2,Emitter_2
5402.993758,142.176374,1.879155689,1.954976906,Emitter_2,Emitter_2
5400,150.7481263,1.555114829,1.843293443,Emitter_2,Emitter_2
5410,1016.237041,0.355617317,0,Emitter_1,Emitter_1
5400.906926,165.0798876,2,1.441700684,Emitter_2,Emitter_2
5404.407661,171.1188072,1.803445458,1.073810206,Emitter_2,Emitter_2
5400.237143,844.0311185,1.362411362,1.206356631,Noise,Noise
5400,136.0577165,1.806574866,1.704618675,Emitter_2,Emitter_2
5400.05616,126.1038583,2,2,Emitter_2,Emitter_2
5410,152.3480688,1.255214305,0.742486798,Emitter_2,Emitter_2
5410,141.7239025,1.720948043,2,Emitter_2,Emitter_2
5400,170.2411122,1.620908623,1.330605361,Emitter_2,Emitter_2
5410,1042.055507,0.456708702,0.144534867,Emitter_1,Emitter_1
5400,1024.964604,0.364339114,0.074772841,Emitter_1,Emitter_1
5400.659346,174.0759813,1.986977496,1.909682684,Emitter_2,Emitter_2
5405.722892,153.5431712,1.880462174,1.817467309,Emitter_2,Emitter_2
5400,156.9351239,1.424767241,0.840442517,Emitter_2,Emitter_2
5400,148.3754144,1.817155569,1.664361925,Emitter_2,Emitter_2
5406.61302,131.8989591,1.397629453,0.783031468,Emitter_2,Emitter_2
5401.533423,115.3595213,1.870993856,1.134192535,Emitter_2,Emitter_2
5410,119.1286873,1.397029131,0.871902541,Emitter_2,Emitter_2
5410,123.7498254,1.761530795,1.981996725,Emitter_2,Emitter_2
5400,120.8227815,1.660314113,1.696065139,Emitter_2,Emitter_2
5400,1030.407702,0.20046781,0.117859784,Emitter_1,Emitter_1
5400.903404,477.5240813,1.923035241,1.5812395,Noise,Noise
5410,1073.050878,0.495331133,0,Emitter_1,Emitter_1
5410,145.0179109,1.558532814,1.056868003,Emitter_2,Emitter_2
5400,1058.568608,0.465357826,0.058315654,Emitter_1,Emitter_1
5410,1039.32904,0.025210256,0.229656853,Emitter_1,Emitter_1
5400,159.9809088,1.935020848,1.385180468,Emitter_2,Emitter_2
5400,125.2885387,1.71824163,1.819770455,Emitter_2,Emitter_2
5400,1080.266308,0.3002813,0,Emitter_1,Emitter_1
5402.586934,624.59552,0.277080719,1.260496262,Noise,Noise
5402.559243,1025.681313,0.625673517,0.28603614,Emitter_1,Emitter_1
5400,133.4191908,1.3950775,1.156470355,Emitter_2,Emitter_2
5401.430914,1031.428147,0.334100971,0,Emitter_1,Emitter_1
5400,108.7686193,1.14113437,1.057477528,Emitter_2,Emitter_2
5400,1073.550691,0,0.125862188,Emitter_1,Emitter_1
5400,177.0833776,1.902292213,1.523657713,Emitter_2,Emitter_2
5400,1077.041303,0.221139367,0,Emitter_1,Emitter_1
5405.419006,239.3058843,0.93689405,0.762903409,Noise,Emitter_2
5400,153.4813521,1.747936867,1.310037714,Emitter_2,Emitter_2
5407.81932,470.540638,0.067607178,1.056620349,Noise,Noise
5401.540829,150.8829735,1.352569974,1.342625391,Emitter_2,Emitter_2
5400,131.447836,1.704982189,0.828895712,Emitter_2,Emitter_2
5400,147.6121265,1.694124901,1.537592781,Emitter_2,Emitter_2
5400,150.8164966,1.50372787,0.970979091,Emitter_2,Emitter_2
5405.674917,154.066924,2,1.646202826,Emitter_2,Emitter_2
5409.39845,190.1053698,1.981028497,2,Emitter_2,Emitter_2
5400,1042.635038,0,0,Emitter_1,Emitter_1
5400,160.743691,1.802424562,1.664804282,Emitter_2,Emitter_2
5405.082006,417.7458044,0.145198578,0.520955288,Noise,Emitter_1
5402.017579,112.0316573,1.54066903,1.204066614,Emitter_2,Emitter_2
5400,126.9877833,1.315150287,1.051222285,Emitter_2,Emitter_2
5401.798675,879.9650802,1.158137295,1.000012959,Noise,Emitter_1
5410,136.2080488,1.729128933,1.531626426,Emitter_2,Emitter_2
5403.726315,143.5416251,1.453625436,0.851654343,Emitter_2,Emitter_2
5405.342645,117.721136,1.587042045,1.989250399,Emitter_2,Emitter_2
5400,1018.616512,0.005926584,0.054889135,Emitter_1,Emitter_1
5407.926823,115.8923613,1.624315501,1.987394029,Emitter_2,Emitter_2
5400,143.5978965,1.540669256,1.081781616,Emitter_2,Emitter_2
5410,115.7299713,1.278237311,0.840395621,Emitter_2,Emitter_2
5406.418503,138.9062016,1.444454554,2,Emitter_2,Emitter_2
5400,131.0389868,1.74349435,1.196162008,Emitter_2,Emitter_2
5400.194319,138.4899514,1.64252141,1.844016133,Emitter_2,Emitter_2
5410,144.1788324,1.576711956,1.721892867,Emitter_2,Emitter_2
5408.353695,160.1044745,1.570822712,1.161655507,Emitter_2,Emitter_2
5400,126.6042466,1.154666166,1.119843838,Emitter_2,Emitter_2
5403.781942,114.8883683,1.581915764,1.034657458,Emitter_2,Emitter_2
5405.528447,1030.557926,0.612640934,0.085220195,Emitter_1,Emitter_1
5410,142.2144737,1.519215691,1.154876437,Emitter_2,Emitter_2
5410,133.7801537,1.510396661,0.958139265,Emitter_2,Emitter_2
5410,140.604248,1.874619415,2,Emitter_2,Emitter_2
5410,145.4107414,1.312111321,1.291587935,Emitter_2,Emitter_2
5401.661893,144.4661526,2,1.539886332,Emitter_2,Emitter_2
5401.132145,903.3380395,1.199028773,0.79753092,Noise,Noise
5410,138.2756346,1.39215695,1.012944152,Emitter_2,Emitter_2
5403.233666,689.3167262,1.27981795,1.811485625,Noise,Emitter_2
5405.614475,1044.171095,0.378963274,0.038566437,Emitter_1,Emitter_1
5400.928757,1050.100951,0.29641002,0,Emitter_1,Emitter_1
5404.345048,135.8770514,1.758248556,0.781397286,Emitter_2,Emitter_2
5401.290508,1067.391534,0.153670708,0.170340691,Emitter_1,Emitter_1
5404.998181,738.9853504,1.716304597,1.102781917,Noise,Emitter_2
5407.107773,121.5598087,1.793711974,0.737317465,Emitter_2,Emitter_2
5407.497998,528.5959673,1.220514689,1.438923227,Noise,Noise
5405.966751,121.3952522,1.399165135,1.151866751,Emitter_2,Emitter_2
5400,177.6455209,1.404379475,1.203246171,Emitter_2,Emitter_2
5400,150.46157,1.887931687,1.088528732,Emitter_2,Emitter_2
5404.70905,936.2752722,0.563000205,1.76558098,Noise,Noise
5400,1020.636111,0.223742965,0.172310145,Emitter_1,Emitter_1
5409.460437,116.9813754,1.497493628,1.153746947,Emitter_2,Emitter_2
5400,133.8842421,1.854373371,1.78881145,Emitter_2,Emitter_2
5407.029002,910.2856394,0.614268405,0.082250413,Noise,Noise
5400,156.2903854,1.956819648,1.104144621,Emitter_2,Emitter_2
5400.828962,144.7237415,1.668196876,0.90361087,Emitter_2,Emitter_2
5408.576971,114.0604806,1.932438635,1.937591402,Emitter_2,Emitter_2
5409.038274,139.5207242,1.664554247,0.959080873,Emitter_2,Emitter_2
5400,1042.862432,0.068656761,0,Emitter_1,Emitter_1
5400.160849,157.1681732,1.732866762,2,Emitter_2,Emitter_2
5403.91066,109.8587157,1.668579155,1.774667079,Emitter_2,Emitter_2
5400,1028.060997,0.132358386,0,Emitter_1,Emitter_1
5410,117.7280157,1.314871149,1.100860707,Emitter_2,Emitter_2
5400,167.9624598,1.698089196,1.091737247,Emitter_2,Emitter_2
5400,1028.407215,0.231246417,0.121672441,Emitter_1,Emitter_1
5402.681089,204.2321474,1.835732198,1.856802333,Emitter_2,Emitter_2
5410,1020.381438,0.39033355,0.01771364,Emitter_1,Emitter_1
5407.63597,148.47898,1.802766715,1.974814834,Emitter_2,Emitter_2
5400,175.276929,1.498241667,1.032187765,Emitter_2,Emitter_2
5410,1063.904616,0.313945505,0,Emitter_1,Emitter_1
5400,1056.603049,0.226747447,0,Emitter_1,Emitter_1
5400,1028.334194,0.324951796,0,Emitter_1,Emitter_1
5400,148.2085228,1.79014421,2,Emitter_2,Emitter_2
5400,1046.880036,0.236834365,0,Emitter_1,Emitter_1
5410,120.173651,1.75462938,2,Emitter_2,Emitter_2
5406.352683,1025.652132,0.497261279,0.253876812,Emitter_1,Emitter_1
5406.405624,976.9231585,0.124920343,1.206057148,Noise,Noise
5401.330406,154.1155606,1.548781683,1.042904957,Emitter_2,Emitter_2
5400,120.8333223,1.44431803,0.652735251,Emitter_2,Emitter_2
5403.208903,144.8997067,1.48287976,1.166038763,Emitter_2,Emitter_2
5410,1100,0,0,Emitter_1,Emitter_1
5400,115.0497678,1.663838565,1.063525213,Emitter_2,Emitter_2
5405.434608,434.4541939,0.56055952,0.150615546,Noise,Noise
5400,141.6745135,1.742993939,1.894106353,Emitter_2,Emitter_2
5400,100,1.670014402,1.058315009,Emitter_2,Emitter_2
5400,133.7859462,1.489678966,1.425862234,Emitter_2,Emitter_2
5400,157.8722836,1.827744959,1.848440394,Emitter_2,Emitter_2
5400,143.7355998,1.194325164,0.643142209,Emitter_2,Emitter_2
5400,146.4301394,1.765762646,2,Emitter_2,Emitter_2
5407.553855,142.6337616,1.24822611,1.004943949,Emitter_2,Emitter_2
5409.351815,128.2698715,1.69512761,0.769649803,Emitter_2,Emitter_2
5410,145.9733714,1.537908934,0.750099375,Emitter_2,Emitter_2
5400,139.3379791,1.628715393,1.612518946,Emitter_2,Emitter_2
5400,138.1869278,1.753727746,1.701839338,Emitter_2,Emitter_2
5410,122.4416861,1.565936781,1.51614192,Emitter_2,Emitter_2
5403.691884,1026.612797,0.347004056,0.167410825,Emitter_1,Emitter_1
5403.081562,432.2948599,0.769444708,0.060422245,Noise,Noise
5410,152.2409731,1.924107508,1.448440692,Emitter_2,Emitter_2
5402.042842,136.8244287,1.627621256,1.074563711,Emitter_2,Emitter_2
5405.070349,124.8161433,1.384604933,0.919446767,Emitter_2,Emitter_2
5410,138.3219213,1.756229058,1.509450339,Emitter_2,Emitter_2
5406.793588,134.6106472,1.778560552,1.781244753,Emitter_2,Emitter_2
5404.139808,115.8324485,1.608164164,1.038881562,Emitter_2,Emitter_2
5406.641938,155.7950129,1.815352554,1.775864971,Emitter_2,Emitter_2
5404.043455,154.2158832,1.41871355,2,Emitter_2,Emitter_2
5400.835525,1044.054697,0.273060242,0.084163262,Emitter_1,Emitter_1
5408.325292,149.8699614,2,1.541252227,Emitter_2,Emitter_2
5400,163.0916833,1.232891965,1.228147494,Emitter_2,Emitter_2
5400,139.7039404,1.633268759,1.082082563,Emitter_2,Emitter_2
5409.452885,133.8215662,1.508960221,1.064137871,Emitter_2,Emitter_2
5400,1054.297604,0.192415106,0,Emitter_1,Emitter_1
5409.855796,1037.484203,0.439167152,0,Emitter_1,Emitter_1
5410,1023.335327,0.199907145,0,Emitter_1,Emitter_1
5410,1022.867735,0.757347425,0.215524975,Emitter_1,Emitter_1
5400,1046.429581,0.567383762,0,Emitter_1,Emitter_1
5400,1027.984997,0.210085751,0.164784607,Emitter_1,Emitter_1
5410,129.6599726,1.57669176,1.092922546,Emitter_2,Emitter_2
5400,1031.103827,0.482106422,0.200487482,Emitter_1,Emitter_1
5400,129.3439304,1.401043258,0.795044981,Emitter_2,Emitter_2
5400,1053.303483,0.073890579,0,Emitter_1,Emitter_1
5408.693177,1069.0837,0.333388588,0.10850005,Emitter_1,Emitter_1
5410,116.0625493,1.654831308,1.127286615,Emitter_2,Emitter_2
5406.573412,1035.24941,0.110083567,0,Emitter_1,Emitter_1
5410,122.3122219,1.417309808,0.996011428,Emitter_2,Emitter_2
5410,142.7647211,1.736909382,0.364598019,Emitter_2,Emitter_2
5408.643736,1040.134386,0,0.029151715,Emitter_1,Emitter_1
5407.404137,1038.391412,0.483285158,0.08006894,Emitter_1,Emitter_1
5407.312233,112.744283,1.457084634,0.76629741,Emitter_2,Emitter_2
5400,121.3912779,1.186428054,1.082511663,Emitter_2,Emitter_2
5400,185.1770952,1.671564629,1.467989034,Emitter_2,Emitter_2
5400,152.482907,1.883941701,1.628829305,Emitter_2,Emitter_2
5410,133.6032141,1.55674473,0.78298103,Emitter_2,Emitter_2
5400,182.4896906,1.212849975,0.906328139,Emitter_2,Emitter_2
5400,151.808021,1.297411417,0.803188723,Emitter_2,Emitter_2
5400,161.0578176,1.893984739,1.644040971,Emitter_2,Emitter_2
5400,154.1782446,1.774498172,0.956226299,Emitter_2,Emitter_2
5400.547298,137.4561477,1.59488973,1.096724202,Emitter_2,Emitter_2
