TOA_ns,Freq_MHz,PW_ns,Az_deg,El_deg,Ground_Truth,Predicted_Cluster
1805000,6100,4000,-24.9178,14.8566,Emitter_2,Emitter_2
1820000,5900,4000,19.9544,7.748,Emitter_1,Emitter_1
1920000,5900,4000,19.6702,8.1952,Emitter_1,Emitter_1
1930000,6100,4000,-24.4767,14.852,Emitter_2,Emitter_2
2020000,5900,4000,20.2973,8.1629,Emitter_1,Emitter_1
2055000,6100,4000,-24.7362,14.8809,Emitter_2,Emitter_2
2120000,5900,4000,19.7338,8.0696,Emitter_1,Emitter_1
2180000,6100,4000,-24.9545,15.2211,Emitter_2,Emitter_2
2220000,5900,4000,20.0467,8.0656,Emitter_1,Emitter_1
2305000,6100,4000,-25.185,15.299,Emitter_2,Emitter_2
2320000,5900,4000,20.3486,8.0671,Emitter_1,Emitter_1
2420000,5900,4000,20.2716,8.0203,Emitter_1,Emitter_1
2430000,6100,4000,-25.3975,15.0884,Emitter_2,Emitter_2
2476053,5853.0105,4594.4197,38.4534,9.6486,Noise,Emitter_1
2520000,5900,4000,20.1156,8.1894,Emitter_1,Emitter_1
2555000,6100,4000,-24.6309,15.198,Emitter_2,Emitter_2
2620000,5900,4000,19.4171,7.9041,Emitter_1,Emitter_1
2680000,6100,4000,-24.2334,14.771,Emitter_2,Emitter_2
2720000,5900,4000,19.8119,7.8083,Emitter_1,Emitter_1
2805000,6100,4000,-25.5517,14.7017,Emitter_2,Emitter_2
2820000,5900,4000,19.8899,8.4485,Emitter_1,Emitter_1
2920000,5900,4000,19.6537,8.2905,Emitter_1,Emitter_1
2930000,6100,4000,-24.7358,15.1494,Emitter_2,Emitter_2
3020000,5900,4000,19.3269,7.8995,Emitter_1,Emitter_1
3055000,6100,4000,-24.9591,14.6631,Emitter_2,Emitter_2
3120000,5900,4000,20.0651,8.1759,Emitter_1,Emitter_1
3180000,6100,4000,-24.6933,14.6326,Emitter_2,Emitter_2
3220000,5900,4000,20.2845,8.238,Emitter_1,Emitter_1
3305000,6100,4000,-24.5364,15.8572,Emitter_2,Emitter_2
3320000,5900,4000,19.8605,7.8613,Emitter_1,Emitter_1
3420000,5900,4000,20.3432,7.9426,Emitter_1,Emitter_1
3430000,6100,4000,-24.8534,15.1749,Emitter_2,Emitter_2
3520000,5900,4000,19.4897,7.66,Emitter_1,Emitter_1
3555000,6100,4000,-25.1971,14.4569,Emitter_2,Emitter_2
3620000,5900,4000,19.6322,8.1491,Emitter_1,Emitter_1
3680000,6100,4000,-25.2411,14.6721,Emitter_2,Emitter_2
3720000,5900,4000,20.057,8.2071,Emitter_1,Emitter_1
3805000,6100,4000,-25.5788,15.5167,Emitter_2,Emitter_2
3820000,5900,4000,19.8291,8.0476,Emitter_1,Emitter_1
3855329,6102.1573,3540.1287,46.3445,12.4303,Noise,Emitter_1
3888358,5795.0685,4000,28.2125,2.0068,Noise,Emitter_1
3920000,5900,4000,20.2502,7.9072,Emitter_1,Emitter_1
3930000,6100,4000,-24.8909,15.1139,Emitter_2,Emitter_2
4020000,5900,4000,20.1827,7.8014,Emitter_1,Emitter_1
4055000,6100,4000,-25.1236,14.9481,Emitter_2,Emitter_2
4120000,5900,4000,19.8548,7.8855,Emitter_1,Emitter_1
4180000,6100,4000,-24.6142,14.9903,Emitter_2,Emitter_2
4220000,5900,4000,19.5217,8.1461,Emitter_1,Emitter_1
4305000,6100,4000,-24.7877,14.9412,Emitter_2,Emitter_2
4320000,5900,4000,19.8122,8.0037,Emitter_1,Emitter_1
4420000,5900,4000,20.1923,8.134,Emitter_1,Emitter_1
4430000,6100,4000,-25.1369,14.5779,Emitter_2,Emitter_2
4520000,5900,4000,20.2662,7.9705,Emitter_1,Emitter_1
4555000,6100,4000,-25.7911,14.9215,Emitter_2,Emitter_2
4620000,5900,4000,19.8307,7.9761,Emitter_1,Emitter_1
4680000,6100,4000,-24.9774,14.6142,Emitter_2,Emitter_2
4720000,5900,4000,19.3251,7.5659,Emitter_1,Emitter_1
4735106,6225.8369,3681.0579,-38.9648,-4.6057,Noise,Emitter_2
4805000,6100,4000,-25.0138,15.0161,Emitter_2,Emitter_2
4820000,5900,4000,19.4709,7.7008,Emitter_1,Emitter_1
4920000,5900,4000,20.1599,7.7284,Emitter_1,Emitter_1
4930000,6100,4000,-25.8624,14.7255,Emitter_2,Emitter_2
5020000,5900,4000,19.8487,8.3898,Emitter_1,Emitter_1
5055000,6100,4000,-24.8371,15.1161,Emitter_2,Emitter_2
5120000,5900,4000,19.8575,8.2213,Emitter_1,Emitter_1
5180000,6100,4000,-25.4615,15.0475,Emitter_2,Emitter_2
5220000,5900,4000,19.6266,7.9384,Emitter_1,Emitter_1
5305000,6100,4000,-24.591,15.2331,Emitter_2,Emitter_2
5320000,5900,4000,19.62,7.8983,Emitter_1,Emitter_1
5420000,5900,4000,20.3361,7.4818,Emitter_1,Emitter_1
5430000,6100,4000,-25.0381,14.8596,Emitter_2,Emitter_2
5520000,5900,4000,20.1738,8.0713,Emitter_1,Emitter_1
5555000,6100,4000,-25.2517,15.1403,Emitter_2,Emitter_2
5620000,5900,4000,19.7623,7.5662,Emitter_1,Emitter_1
5680000,6100,4000,-24.922,15.1888,Emitter_2,Emitter_2
5720000,5900,4000,20.0289,7.8412,Emitter_1,Emitter_1
5805000,6100,4000,-24.9473,15.2456,Emitter_2,Emitter_2
5820000,5900,4000,20.0931,8.0066,Emitter_1,Emitter_1
5920000,5900,4000,20.6407,7.9282,Emitter_1,Emitter_1
5930000,6100,4000,-24.9622,15.2354,Emitter_2,Emitter_2
6020000,5900,4000,19.5906,8.0538,Emitter_1,Emitter_1
6055000,6100,4000,-24.6517,14.7586,Emitter_2,Emitter_2
6078728,6095.2541,4552.3619,-4.6017,5.7526,Noise,Emitter_2
6120000,5900,4000,20.088,8.4078,Emitter_1,Emitter_1
6180000,6100,4000,-25.7233,15.463,Emitter_2,Emitter_2
6220000,5900,4000,20.334,8.1071,Emitter_1,Emitter_1
6305000,6100,4000,-24.8973,14.4857,Emitter_2,Emitter_2
6320000,5900,4000,20.5853,7.6434,Emitter_1,Emitter_1
6420000,5900,4000,19.7441,7.722,Emitter_1,Emitter_1
6430000,6100,4000,-25.2855,15.2316,Emitter_2,Emitter_2
6520000,5900,4000,19.8441,7.587,Emitter_1,Emitter_1
6555000,6100,4000,-25.1119,14.8464,Emitter_2,Emitter_2
6620000,5900,4000,20.2541,7.9333,Emitter_1,Emitter_1
6680000,6100,4000,-24.4396,14.6858,Emitter_2,Emitter_2
6720000,5900,4000,19.4117,7.6953,Emitter_1,Emitter_1
6805000,6100,4000,-25.3193,15.0634,Emitter_2,Emitter_2
6820000,5900,4000,20.1254,8.2514,Emitter_1,Emitter_1
6920000,5900,4000,20.7987,8.8742,Emitter_1,Emitter_1
6930000,6100,4000,-24.8438,15.1489,Emitter_2,Emitter_2
7020000,5900,4000,20.1658,7.7031,Emitter_1,Emitter_1
7055000,6100,4000,-24.6355,15.0596,Emitter_2,Emitter_2
7120000,5900,4000,19.1472,8.0803,Emitter_1,Emitter_1
7180000,6100,4000,-24.8042,14.9222,Emitter_2,Emitter_2
7220000,5900,4000,19.6748,7.8754,Emitter_1,Emitter_1
7305000,6100,4000,-24.9749,15.0323,Emitter_2,Emitter_2
7320000,5900,4000,19.7552,7.9578,Emitter_1,Emitter_1
7420000,5900,4000,20.4264,8.0471,Emitter_1,Emitter_1
7430000,6100,4000,-24.914,15.2318,Emitter_2,Emitter_2
7520000,5900,4000,19.9365,7.6893,Emitter_1,Emitter_1
7555000,6100,4000,-24.7779,15.0133,Emitter_2,Emitter_2
7620000,5900,4000,19.3301,7.8541,Emitter_1,Emitter_1
7680000,6100,4000,-25.3237,15.0203,Emitter_2,Emitter_2
7720000,5900,4000,19.9785,8.5304,Emitter_1,Emitter_1
7805000,6100,4000,-25.0112,15.058,Emitter_2,Emitter_2
7820000,5900,4000,20.0521,8.2948,Emitter_1,Emitter_1
7920000,5900,4000,19.8003,7.6445,Emitter_1,Emitter_1
7930000,6100,4000,-24.1174,14.8429,Emitter_2,Emitter_2
8020000,5900,4000,19.614,7.7824,Emitter_1,Emitter_1
8055000,6100,4000,-24.8311,15.3205,Emitter_2,Emitter_2
8075806,5880.8275,4000,-28.8409,29.1139,Noise,Emitter_2
8120000,5900,4000,20.8514,7.7536,Emitter_1,Emitter_1
8180000,6100,4000,-24.9608,15.7014,Emitter_2,Emitter_2
8220000,5900,4000,20.3354,7.7291,Emitter_1,Emitter_1
8305000,6100,4000,-25.1512,15.0972,Emitter_2,Emitter_2
8320000,5900,4000,20.3726,8.1155,Emitter_1,Emitter_1
8420000,5900,4000,19.9373,7.9878,Emitter_1,Emitter_1
8430000,6100,4000,-25.3195,14.8945,Emitter_2,Emitter_2
8520000,5900,4000,19.7381,8.1338,Emitter_1,Emitter_1
8555000,6100,4000,-24.9004,15.2539,Emitter_2,Emitter_2
8620000,5900,4000,19.818,7.6323,Emitter_1,Emitter_1
8680000,6100,4000,-24.8724,15.3777,Emitter_2,Emitter_2
8720000,5900,4000,19.4888,8.0518,Emitter_1,Emitter_1
8757391,5799.0472,5173.9881,-22.5005,-4.4644,Noise,Emitter_1
8805000,6100,4000,-25.038,14.9003,Emitter_2,Emitter_2
8820000,5900,4000,20.6316,8.048,Emitter_1,Emitter_1
8920000,5900,4000,19.9525,8.0857,Emitter_1,Emitter_1
8930000,6100,4000,-23.9184,15.1183,Emitter_2,Emitter_2
9020000,5900,4000,20.5224,8.0658,Emitter_1,Emitter_1
9055000,6100,4000,-25.2878,14.7917,Emitter_2,Emitter_2
9120000,5900,4000,19.8356,8.3319,Emitter_1,Emitter_1
9180000,6100,4000,-25.3771,15.281,Emitter_2,Emitter_2
9219306,6096.8584,3305.1459,37.7039,12.5021,Noise,Emitter_1
9220000,5900,4000,20.1715,8.4607,Emitter_1,Emitter_1
9305000,6100,4000,-25.1458,15.0382,Emitter_2,Emitter_2
9320000,5900,4000,20.0733,7.6327,Emitter_1,Emitter_1
9420000,5900,4000,19.4527,8.4953,Emitter_1,Emitter_1
9430000,6100,4000,-25.0254,15.2194,Emitter_2,Emitter_2
9448916,5918.4933,4000,21.0664,17.2259,Noise,Emitter_1
9520000,5900,4000,20.6895,7.9461,Emitter_1,Emitter_1
9555000,6100,4000,-25.3387,14.6773,Emitter_2,Emitter_2
9620000,5900,4000,19.8467,8.4384,Emitter_1,Emitter_1
9680000,6100,4000,-24.9103,15.1803,Emitter_2,Emitter_2
9720000,5900,4000,19.5572,7.7316,Emitter_1,Emitter_1
9805000,6100,4000,-24.867,14.7572,Emitter_2,Emitter_2
9820000,5900,4000,20.2573,7.8816,Emitter_1,Emitter_1
9920000,5900,4000,19.998,7.951,Emitter_1,Emitter_1
9930000,6100,4000,-24.729,14.7768,Emitter_2,Emitter_2
10020000,5900,4000,20.135,8.4222,Emitter_1,Emitter_1
10055000,6100,4000,-25.2086,14.7168,Emitter_2,Emitter_2
10063188,6263.9233,5114.7731,23.4889,24.7126,Noise,Emitter_2
10120000,5900,4000,20.0362,8.1932,Emitter_1,Emitter_1
10180000,6100,4000,-24.4795,15.19,Emitter_2,Emitter_2
10220000,5900,4000,19.1799,7.9854,Emitter_1,Emitter_1
10305000,6100,4000,-24.758,15.3742,Emitter_2,Emitter_2
10320000,5900,4000,19.6627,7.6344,Emitter_1,Emitter_1
10420000,5900,4000,19.6487,7.8998,Emitter_1,Emitter_1
10430000,6100,4000,-23.8749,14.4872,Emitter_2,Emitter_2
10520000,5900,4000,20.3664,7.6021,Emitter_1,Emitter_1
10555000,6100,4000,-25.2954,14.8151,Emitter_2,Emitter_2
10620000,5900,4000,20.0123,7.8547,Emitter_1,Emitter_1
10680000,6100,4000,-25.3403,14.6767,Emitter_2,Emitter_2
10720000,5900,4000,19.8689,8.3008,Emitter_1,Emitter_1
10805000,6100,4000,-25.1199,14.635,Emitter_2,Emitter_2
10820000,5900,4000,20.2152,8.4012,Emitter_1,Emitter_1
10920000,5900,4000,19.9382,7.7912,Emitter_1,Emitter_1
10930000,6100,4000,-24.866,15.0155,Emitter_2,Emitter_2
11020000,5900,4000,19.9105,8.0727,Emitter_1,Emitter_1
11055000,6100,4000,-24.8076,15.1523,Emitter_2,Emitter_2
11120000,5900,4000,20.0706,7.6747,Emitter_1,Emitter_1
11180000,6100,4000,-24.7588,14.888,Emitter_2,Emitter_2
11220000,5900,4000,20.0362,8.0685,Emitter_1,Emitter_1
11305000,6100,4000,-24.1515,15.0703,Emitter_2,Emitter_2
11320000,5900,4000,21.007,8.5631,Emitter_1,Emitter_1
11420000,5900,4000,19.6587,7.9138,Emitter_1,Emitter_1
11430000,6100,4000,-25.745,14.6993,Emitter_2,Emitter_2
11520000,5900,4000,19.4146,7.8228,Emitter_1,Emitter_1
11555000,6100,4000,-25.6962,15.0052,Emitter_2,Emitter_2
11620000,5900,4000,20.1262,8.3618,Emitter_1,Emitter_1
11680000,6100,4000,-25.0487,14.8595,Emitter_2,Emitter_2
11720000,5900,4000,19.7084,7.8038,Emitter_1,Emitter_1
11805000,6100,4000,-24.1956,15.1647,Emitter_2,Emitter_2
11820000,5900,4000,19.1411,7.9512,Emitter_1,Emitter_1
11920000,5900,4000,19.575,7.8412,Emitter_1,Emitter_1
11930000,6100,4000,-24.7096,14.7207,Emitter_2,Emitter_2
12020000,5900,4000,19.6493,7.9717,Emitter_1,Emitter_1
12055000,6100,4000,-25.3997,15.011,Emitter_2,Emitter_2
12120000,5900,4000,19.2969,7.5599,Emitter_1,Emitter_1
12180000,6100,4000,-24.9308,14.4431,Emitter_2,Emitter_2
12220000,5900,4000,20.8517,7.6138,Emitter_1,Emitter_1
12305000,6100,4000,-25.0721,15.0042,Emitter_2,Emitter_2
12320000,5900,4000,19.5613,8.5511,Emitter_1,Emitter_1
12420000,5900,4000,21.162,7.6485,Emitter_1,Emitter_1
12430000,6100,4000,-25.0861,14.756,Emitter_2,Emitter_2
12520000,5900,4000,19.8527,8.1025,Emitter_1,Emitter_1
12555000,6100,4000,-25.2158,14.9469,Emitter_2,Emitter_2
12620000,5900,4000,20.6915,7.7039,Emitter_1,Emitter_1
12680000,6100,4000,-24.9637,15.1814,Emitter_2,Emitter_2
12720000,5900,4000,19.9019,8.2332,Emitter_1,Emitter_1
12805000,6100,4000,-24.5677,14.9117,Emitter_2,Emitter_2
12820000,5900,4000,20.1739,7.8872,Emitter_1,Emitter_1
12920000,5900,4000,19.9465,7.5875,Emitter_1,Emitter_1
12930000,6100,4000,-25.1825,15.1313,Emitter_2,Emitter_2
13020000,5900,4000,19.9047,7.9201,Emitter_1,Emitter_1
13055000,6100,4000,-24.7557,14.8697,Emitter_2,Emitter_2
13120000,5900,4000,20.0929,7.8334,Emitter_1,Emitter_1
13180000,6100,4000,-24.6838,15.2939,Emitter_2,Emitter_2
13220000,5900,4000,20.1886,8.3038,Emitter_1,Emitter_1
13305000,6100,4000,-24.4833,15.5335,Emitter_2,Emitter_2
13320000,5900,4000,20.0622,8.1055,Emitter_1,Emitter_1
13420000,5900,4000,20.0213,8,Emitter_1,Emitter_1
13430000,6100,4000,-25.3466,15.0042,Emitter_2,Emitter_2
13520000,5900,4000,19.7114,8.0949,Emitter_1,Emitter_1
13555000,6100,4000,-24.9955,14.9706,Emitter_2,Emitter_2
13620000,5900,4000,19.9611,8.628,Emitter_1,Emitter_1
13680000,6100,4000,-25.2597,14.5543,Emitter_2,Emitter_2
13720000,5900,4000,20.6293,8.1158,Emitter_1,Emitter_1
13805000,6100,4000,-24.9629,14.7695,Emitter_2,Emitter_2
13820000,5900,4000,19.6948,7.6663,Emitter_1,Emitter_1
13920000,5900,4000,20.4765,8.0788,Emitter_1,Emitter_1
13930000,6100,4000,-24.9656,14.7618,Emitter_2,Emitter_2
14020000,5900,4000,20.1921,7.4766,Emitter_1,Emitter_1
14055000,6100,4000,-25.4399,15.0703,Emitter_2,Emitter_2
14120000,5900,4000,20.371,8.1363,Emitter_1,Emitter_1
14180000,6100,4000,-24.9396,15.1738,Emitter_2,Emitter_2
14220000,5900,4000,19.5558,7.8585,Emitter_1,Emitter_1
14305000,6100,4000,-24.1257,15.0832,Emitter_2,Emitter_2
14320000,5900,4000,20.1055,8.0157,Emitter_1,Emitter_1
14420000,5900,4000,19.8831,7.969,Emitter_1,Emitter_1
14430000,6100,4000,-24.806,14.6767,Emitter_2,Emitter_2
14520000,5900,4000,19.8992,8.0458,Emitter_1,Emitter_1
14555000,6100,4000,-25.5148,15.4748,Emitter_2,Emitter_2
14620000,5900,4000,20.5886,7.23,Emitter_1,Emitter_1
14680000,6100,4000,-25.3694,14.6868,Emitter_2,Emitter_2
14720000,5900,4000,19.9053,8.053,Emitter_1,Emitter_1
14805000,6100,4000,-25.0156,14.9729,Emitter_2,Emitter_2
14820000,5900,4000,20.1184,7.8884,Emitter_1,Emitter_1
14856797,5907.8795,4468.0249,-54.8263,22.3208,Noise,Emitter_2
14920000,5900,4000,19.2973,8.0984,Emitter_1,Emitter_1
14930000,6100,4000,-25.361,14.9085,Emitter_2,Emitter_2
15020000,5900,4000,20.6909,7.5398,Emitter_1,Emitter_1
15055000,6100,4000,-24.5082,14.7582,Emitter_2,Emitter_2
15120000,5900,4000,20.3455,7.9014,Emitter_1,Emitter_1
15180000,6100,4000,-25.5575,15.2828,Emitter_2,Emitter_2
15220000,5900,4000,19.9755,7.6841,Emitter_1,Emitter_1
15299320,6230.9165,4000,-53.9533,25.4446,Noise,Emitter_2
15305000,6100,4000,-24.8031,14.8138,Emitter_2,Emitter_2
15320000,5900,4000,19.8662,8.39,Emitter_1,Emitter_1
15420000,5900,4000,20.2331,8.5197,Emitter_1,Emitter_1
15430000,6100,4000,-25.6329,14.7766,Emitter_2,Emitter_2
15520000,5900,4000,20.471,8.1317,Emitter_1,Emitter_1
15555000,6100,4000,-25.0219,15.3497,Emitter_2,Emitter_2
15620000,5900,4000,20.6976,8.1317,Emitter_1,Emitter_1
15680000,6100,4000,-25.4146,14.9746,Emitter_2,Emitter_2
15720000,5900,4000,20.3312,7.911,Emitter_1,Emitter_1
15805000,6100,4000,-24.7299,14.2856,Emitter_2,Emitter_2
15820000,5900,4000,20.0266,7.7908,Emitter_1,Emitter_1
15920000,5900,4000,20.3958,7.6465,Emitter_1,Emitter_1
15930000,6100,4000,-24.5865,14.6453,Emitter_2,Emitter_2
16020000,5900,4000,20.3129,7.9428,Emitter_1,Emitter_1
16055000,6100,4000,-24.8672,15.074,Emitter_2,Emitter_2
16120000,5900,4000,20.4685,8.2253,Emitter_1,Emitter_1
16180000,6100,4000,-24.5662,15.1653,Emitter_2,Emitter_2
16220000,5900,4000,20.7283,8.2192,Emitter_1,Emitter_1
16305000,6100,4000,-25.9509,14.7646,Emitter_2,Emitter_2
16320000,5900,4000,19.3712,7.9799,Emitter_1,Emitter_1
16420000,5900,4000,19.5312,7.8445,Emitter_1,Emitter_1
16430000,6100,4000,-24.9447,14.9415,Emitter_2,Emitter_2
16520000,5900,4000,20.6045,8.1913,Emitter_1,Emitter_1
16542882,6259.788,3497.6156,3.2255,29.1143,Noise,Emitter_2
16555000,6100,4000,-24.809,15.2368,Emitter_2,Emitter_2
16620000,5900,4000,19.7204,7.6959,Emitter_1,Emitter_1
16680000,6100,4000,-24.7566,14.9357,Emitter_2,Emitter_2
16717412,6096.3197,3430.1883,-19.6295,19.9258,Noise,Emitter_2
16720000,5900,4000,20.0131,7.635,Emitter_1,Emitter_1
16805000,6100,4000,-25.7385,14.8634,Emitter_2,Emitter_2
16820000,5900,4000,19.7315,8.0936,Emitter_1,Emitter_1
16920000,5900,4000,20.4621,8.1826,Emitter_1,Emitter_1
16930000,6100,4000,-24.8335,14.6729,Emitter_2,Emitter_2
17020000,5900,4000,19.0835,8.0913,Emitter_1,Emitter_1
17055000,6100,4000,-24.7475,15.2725,Emitter_2,Emitter_2
17120000,5900,4000,20.0288,8.1242,Emitter_1,Emitter_1
17180000,6100,4000,-24.9493,14.0809,Emitter_2,Emitter_2
17220000,5900,4000,20.6465,7.381,Emitter_1,Emitter_1
17305000,6100,4000,-25.5112,15.5659,Emitter_2,Emitter_2
17320000,5900,4000,19.7636,8.1773,Emitter_1,Emitter_1
17420000,5900,4000,19.3674,8.4428,Emitter_1,Emitter_1
17430000,6100,4000,-25.2186,14.4048,Emitter_2,Emitter_2
17520000,5900,4000,20.1473,8.254,Emitter_1,Emitter_1
17555000,6100,4000,-24.5059,15.004,Emitter_2,Emitter_2
17620000,5900,4000,19.7716,8.2441,Emitter_1,Emitter_1
17680000,6100,4000,-24.558,15.0831,Emitter_2,Emitter_2
17720000,5900,4000,20.4274,8.0699,Emitter_1,Emitter_1
17805000,6100,4000,-24.8166,15.1089,Emitter_2,Emitter_2
17820000,5900,4000,20.0938,8.0811,Emitter_1,Emitter_1
17920000,5900,4000,19.6547,7.9557,Emitter_1,Emitter_1
17930000,6100,4000,-24.721,15.6832,Emitter_2,Emitter_2
18020000,5900,4000,19.939,8.115,Emitter_1,Emitter_1
18055000,6100,4000,-24.6116,14.5259,Emitter_2,Emitter_2
18120000,5900,4000,20.3999,7.6824,Emitter_1,Emitter_1
18180000,6100,4000,-24.8213,15.3424,Emitter_2,Emitter_2
18220000,5900,4000,19.95,8.4444,Emitter_1,Emitter_1
18305000,6100,4000,-24.5189,14.872,Emitter_2,Emitter_2
18320000,5900,4000,19.7026,7.7533,Emitter_1,Emitter_1
18367949,5860.7792,4000,-22.7798,-7.0684,Noise,Emitter_1
18420000,5900,4000,20.0809,8.2533,Emitter_1,Emitter_1
18430000,6100,4000,-24.534,15.2783,Emitter_2,Emitter_2
18520000,5900,4000,20.0046,8.3987,Emitter_1,Emitter_1
18555000,6100,4000,-23.971,14.775,Emitter_2,Emitter_2
18620000,5900,4000,20.3427,8.2525,Emitter_1,Emitter_1
18680000,6100,4000,-25.203,14.9082,Emitter_2,Emitter_2
18720000,5900,4000,20.2216,8.6983,Emitter_1,Emitter_1
18805000,6100,4000,-25.1961,14.733,Emitter_2,Emitter_2
18820000,5900,4000,19.9179,7.3989,Emitter_1,Emitter_1
18920000,5900,4000,20.6417,7.8627,Emitter_1,Emitter_1
18930000,6100,4000,-26.1051,14.8696,Emitter_2,Emitter_2
19020000,5900,4000,20.0432,8.3929,Emitter_1,Emitter_1
19055000,6100,4000,-24.8523,14.852,Emitter_2,Emitter_2
19120000,5900,4000,19.3591,7.6245,Emitter_1,Emitter_1
19180000,6100,4000,-24.2258,15.004,Emitter_2,Emitter_2
19220000,5900,4000,19.3595,7.7618,Emitter_1,Emitter_1
19305000,6100,4000,-24.4836,15.0784,Emitter_2,Emitter_2
19320000,5900,4000,20.1759,8.1573,Emitter_1,Emitter_1
19420000,5900,4000,20.1105,7.5762,Emitter_1,Emitter_1
19430000,6100,4000,-24.6694,15.0838,Emitter_2,Emitter_2
19520000,5900,4000,19.076,8.0163,Emitter_1,Emitter_1
19555000,6100,4000,-24.4525,15.0168,Emitter_2,Emitter_2
19620000,5900,4000,19.8113,8.1378,Emitter_1,Emitter_1
19680000,6100,4000,-24.8016,15.1099,Emitter_2,Emitter_2
19720000,5900,4000,20.2808,8.0415,Emitter_1,Emitter_1
19805000,6100,4000,-25.1153,15.1215,Emitter_2,Emitter_2
19820000,5900,4000,20.3041,8.0688,Emitter_1,Emitter_1
19920000,5900,4000,20.212,7.7886,Emitter_1,Emitter_1
19930000,6100,4000,-24.1062,14.9189,Emitter_2,Emitter_2
20020000,5900,4000,19.9282,8.059,Emitter_1,Emitter_1
20055000,6100,4000,-24.8322,15.3773,Emitter_2,Emitter_2
20120000,5900,4000,20.3282,7.8819,Emitter_1,Emitter_1
20180000,6100,4000,-24.5439,15.0035,Emitter_2,Emitter_2
20220000,5900,4000,20.2085,7.9202,Emitter_1,Emitter_1
20305000,6100,4000,-25.9534,15.155,Emitter_2,Emitter_2
20320000,5900,4000,19.953,8.2489,Emitter_1,Emitter_1
20420000,5900,4000,19.2028,7.6111,Emitter_1,Emitter_1
20430000,6100,4000,-25.8878,15.441,Emitter_2,Emitter_2
20520000,5900,4000,19.4071,7.2999,Emitter_1,Emitter_1
20555000,6100,4000,-24.9322,15.2999,Emitter_2,Emitter_2
20620000,5900,4000,19.7287,8.2248,Emitter_1,Emitter_1
20680000,6100,4000,-25.3608,14.5342,Emitter_2,Emitter_2
20720000,5900,4000,19.886,8.0593,Emitter_1,Emitter_1
20805000,6100,4000,-24.8957,14.9899,Emitter_2,Emitter_2
20820000,5900,4000,20.4357,8.3983,Emitter_1,Emitter_1
20920000,5900,4000,19.9723,8.4061,Emitter_1,Emitter_1
20930000,6100,4000,-25.1966,15.0254,Emitter_2,Emitter_2
21020000,5900,4000,20.0369,7.7488,Emitter_1,Emitter_1
21055000,6100,4000,-23.893,15.2504,Emitter_2,Emitter_2
21120000,5900,4000,19.7622,7.5558,Emitter_1,Emitter_1
21167764,5792.113,4237.1249,19.9017,17.9565,Noise,Emitter_1
21180000,6100,4000,-24.5802,15.2532,Emitter_2,Emitter_2
21220000,5900,4000,19.6447,7.8926,Emitter_1,Emitter_1
21305000,6100,4000,-24.4082,14.943,Emitter_2,Emitter_2
21320000,5900,4000,20.3214,8.5162,Emitter_1,Emitter_1
21420000,5900,4000,19.4471,8.1178,Emitter_1,Emitter_1
21430000,6100,4000,-25.8219,14.9434,Emitter_2,Emitter_2
21520000,5900,4000,19.5838,8.1424,Emitter_1,Emitter_1
21555000,6100,4000,-24.6753,14.7091,Emitter_2,Emitter_2
