Radio Frequency,Pulse Width,Azimuth,Angle Of Elevation
5400,148.6878185,2,1.866261142
5400.502036,101.9911934,1.533292414,1.807343419
5400,100,1.858113047,1.847103272
5404.634551,113.7202855,1.467114295,1.804857077
5410,163.5343664,1.879048865,1.834926364
5404.9659,897.7628242,0.153591925,0.327002348
5400,161.0044542,2,1.557987134
5409.834906,116.966152,1.95407625,1.66113467
5400,137.7300563,2,1.692208352
5401.049139,914.1043691,0.072034599,1.168633633
5400,133.6601252,1.661424732,1.948281555
5401.667671,135.4794168,1.690351892,1.787056205
5400,140.1940289,0.134389831,0.099586181
5410,105.8413164,1.81925074,1.810952028
5400,145.6453182,0.441091831,0
5402.635735,141.4355494,2,2
5402.019379,947.5822301,1.297904112,0.830835557
5400,134.0935041,1.582490363,1.759913929
5404.993089,483.4065325,1.32950688,1.887298033
5410,137.5296974,1.82846744,1.602597395
5400,153.3359006,2,1.626100702
5406.769798,130.584033,0.290815236,0.000687616
5402.645755,182.4052569,0.524390868,0.016328072
5399.243564,156.6457544,0.312520608,0.062153156
5410,175.1286325,1.973752691,1.9863275
5402.397795,143.2766162,1.591772606,1.663454406
5400,152.0878322,1.098280113,1.295667661
5401.430471,100,1.68228192,1.819039921
5407.928233,172.1596068,2,1.612751118
5410,151.555521,1.982143176,1.354049569
5400,152.930828,1.760958851,1.713677053
5409.631299,147.7549314,1.946564988,1.562527665
5400,119.8796639,1.746062972,1.91568507
5400,177.3842428,2,2
5404.520894,716.5017167,1.526116281,0.828285018
5400,159.7074434,0.683968574,0.01964386
5410,186.7742493,0.278830105,0.47780356
5400,169.7701164,0.375115577,0
5410,100,1.784527532,1.873854187
5409.125921,170.5932068,0.25344281,0.020287899
5400,132.7256507,2,1.765232999
5400,158.3086438,0.335860352,0
5410,103.7462401,1.511666922,1.759730057
5410,129.8077429,1.854203687,1.970092081
5406.376005,110.8314253,2,2
5406.405748,111.9316972,1.54847363,1.760796506
5410,158.0861692,0.450267687,0.019290631
5401.798848,155.3699712,1.822352518,1.889924872
5400,157.0465266,2,2
5400,121.1791732,1.677859036,1.746046567
5401.757772,109.8810797,1.652568093,1.946241998
5400.666593,171.0770206,0.181943115,0.213963402
5400,136.0815694,1.976522712,1.887688879
5404.996713,255.3818851,0.709888958,1.630637931
5410,137.5229529,1.725050586,1.734634946
5400,121.0478424,2,1.791639013
5400,152.4450352,0.35116861,0.227789814
5400,138.2848441,0,0.06789448
5406.998979,166.8080992,0.22054447,0.060123334
5400,100,1.938581307,1.670270249
5408.866348,130.4281635,1.725222829,1.96532047
5401.311767,714.7522114,0.989623195,1.660570853
5400,100,1.790066779,1.904649685
5407.424964,125.8595802,1.806987996,1.85510047
5406.47394,133.6391145,1.951408854,1.740118823
5400,138.4857172,0.895199486,0.036660662
5410,136.0978381,2,1.647362241
5402.148223,157.1499006,0.418611122,0
5400,110.6091527,1.825179726,1.861744374
5403.70041,172.9266455,0.262850196,0.140686177
5400,141.0615254,1.687198503,2
5410,142.8846271,1.937402364,1.727345018
5404.344977,132.3142171,1.447219406,2
5400,167.6909894,0.124644598,0
5400,127.7299857,1.591690978,1.889766484
5400,117.5413345,1.597774024,1.706755059
5400,140.6689874,1.789434811,1.935935511
5401.650708,146.533184,1.699373915,2
5409.83747,176.0206134,0.509364986,0
5400.309154,133.3219316,1.708946176,1.676232557
5400,155.3926533,1.465385652,1.81093458
5400,149.0399123,1.348533096,1.254159648
5407.777123,571.4620127,0.25516887,0.08431318
5406.94762,707.8353301,1.719384025,1.346228325
5400,182.1245164,1.698279212,1.681775458
5409.565761,193.2065148,0.944413595,1.527316504
5402.926778,158.7808178,1.571589874,1.884395265
5400,124.876611,1.577174009,2
5402.748231,158.5976734,0.199946102,0.137503358
5403.138928,100,1.946353333,1.789446626
5400,121.9330015,1.867751422,2
5410,156.7266294,1.50076916,2
5400,138.2837454,1.956262668,1.9502257
5400,100,2,1.523319132
5407.156587,130.5118752,1.234483102,1.940053026
5400,163.2909789,1.696112264,1.813033158
5407.396662,113.8353485,2,2
5400,122.2934861,0.447325537,0
5400,129.7740992,1.8689336,1.61858514
5400,145.4055554,1.686995135,1.852797196
5410,133.1873753,1.633763899,1.906628181
5410,138.2910854,1.549318674,2
5400,106.4299644,1.786593641,1.943045106
5400,113.8711307,1.772725802,1.91527569
5400,194.2889116,0.337174775,0.143219872
5400,157.9089785,0.003395512,0.085241083
5400,148.5926099,1.719538692,1.917905516
5405.789364,1040.476962,1.990791462,1.872330182
5400,109.3861975,1.764636127,1.931010602
5400,149.0873066,1.950064408,2
5400,132.4169045,1.948082862,1.968916413
5400,164.2504964,0.52921267,0
5410,148.4698357,2,1.615144133
5401.719473,247.1741136,1.494329986,0.745322076
5400,175.4984041,0.283872494,0.194737135
5400,147.3830743,0.40521841,0.019835248
5402.346631,128.1662666,1.947883714,1.879148139
5408.953392,140.1370582,1.957343427,1.830331254
5410,158.3483262,2,2
5400,108.4049863,1.796007439,1.750166032
5402.895366,133.2409094,1.903438877,1.738858523
5410,105.2995369,1.98519228,1.644082872
5400,142.8756869,1.181680499,1.870052583
5410,150.1360057,0.222083238,0.34523644
5403.502325,117.5799402,1.925519165,1.395477606
5400,106.51642,1.746745439,1.584273235
5400,124.0568112,1.6472853,1.832414357
5405.157763,932.4162948,1.427627641,0.876560672
5401.732114,1099.653487,0.784311801,0.471349391
5404.776335,134.1717149,2,1.825107008
5408.859799,984.257192,1.490153497,1.71615855
5409.868147,742.2966522,1.459884043,0.090888089
5401.212244,141.0006538,1.659573143,1.559535933
5404.526694,100,2,1.717518967
5400,159.1129299,0.324498119,0.025686631
5408.689812,123.5852621,1.961704637,2
5400,137.131246,1.915786471,2
5400,167.3011704,0.770879208,0
5410,141.4393755,0,0.041468792
5400,153.4958041,1.851225207,1.95149891
5410,129.0245045,1.750135432,1.854764391
5400,157.4707986,0.729958177,0
5409.494104,142.3750203,1.859663439,1.378121618
5400,124.81987,2,2
5408.519225,140.7702313,1.730313536,1.796073672
5400,137.9603013,0.289326946,0
5400,129.4557908,1.964136474,1.386179622
5402.136391,802.1819849,1.285023408,1.038761632
5410,157.7775236,1.832642496,1.850036034
5404.376849,136.5107801,1.614859784,1.74294608
5410,135.2501091,1.70910501,1.848819647
5400,151.3014429,1.695949618,1.693920464
5400,149.1260507,2,2
5400,116.903803,1.712575304,2
5400,100,1.924778074,2
5410,117.3080742,1.885928137,1.987886185
5410.485693,156.8430201,1.835696745,1.773772236
5400,119.4611642,1.79123951,1.822160565
5404.063057,100,1.677192718,1.618966687
5407.069441,625.3244857,0.457458996,1.544207263
5404.530592,173.80601,0.171723289,0.323470776
5400,158.3402195,0.246968197,0.0264465
5406.366135,119.6615778,2,1.933065709
5408.620755,452.9483199,0.607222952,1.085511291
5400,114.3480456,1.69597824,1.864777361
5400,110.8123491,1.618039925,1.797489628
5403.283118,125.2266642,1.931158998,1.887623362
5405.622733,147.4850434,0.207918562,0.124636052
5400,176.9771321,0.412336941,0
5400,115.1165572,1.754616904,1.807459188
5400,158.6415491,2,1.75674782
5400,199.8566733,0.323236643,0.296942382
5400.941083,132.7211186,1.877411384,1.472232703
5400,107.3336147,1.902851895,1.987858882
5400,115.1362711,2,1.816016055
5400,135.8321149,0.308662332,0.049024199
5400,123.5565785,1.956194924,1.639727768
5409.160289,134.677383,1.631571357,2
5398.680434,143.3071151,1.789126541,1.425891752
5400,124.0645826,1.682734089,2
5400.364335,112.1785654,1.905756764,1.896915279
5410,114.201095,2,1.723873639
5403.267759,329.2866067,0.221827426,0.63055211
5400,144.57472,1.624927774,1.714378361
5405.656281,126.6108198,1.949079161,1.650161919
5400,154.7564167,0.42995039,0.138335689
5410,129.2642894,1.830265337,1.8306625
5400,163.4381776,0.334206939,0
5400,127.8722788,1.635423669,1.930818636
5400.171931,990.4445069,1.057816219,1.109824141
5400,119.3845486,2,1.774196617
5409.094832,143.0660274,2,1.303803955
5401.440995,177.8118612,1.795368859,2
5402.56203,847.5973884,0.836584548,0.418065674
5400.38705,150.534465,0.401139264,0.229787752
5400,100,1.564043867,1.466170838
5410,187.0985093,0.194918909,0.134204365
5404.04699,141.1283113,2,1.742924878
5404.055219,110.0628347,1.540645901,1.891978643
5400.243324,130.6999288,1.997776699,1.630062772
5400,190.7252707,0.18338043,0
5400,106.8939387,1.598706446,2
5400,100,1.466057947,1.879519974
5400,100,1.820851796,1.978699194
5400,136.7985747,1.520806458,1.691598757
5400,103.642129,2,1.414039707
5405.575573,145.2153029,1.612472224,1.5384868
5402.476326,116.5050781,1.883832835,1.880805843
5400,165.33215,0.193952614,0.105693245
5406.852308,103.1284825,1.848434011,1.816071569
5400,101.4232732,1.692063011,1.762867485
5400,155.6246255,0.270953143,0
5408.736452,813.1759221,0.393642568,0.661226425
5400.629509,155.3792236,1.67559214,2
5400,109.3401242,1.555846557,1.878968043
5400.614719,123.1473346,1.838145231,1.63528691
5410,118.0336403,1.791748327,1.753167851
5400.423974,114.5378527,1.958581975,1.882713488
5400,117.1054586,1.602813666,1.983634849
5400,157.6763116,0.382066375,0
5400,169.7646096,0.296721838,0.000624948
5400,144.7097249,0.592770214,0.174043531
5408.380077,113.480903,2,1.744463365
5401.76899,116.4924157,1.696363261,1.774047594
5409.334929,127.9766373,1.687550801,1.69561406
5400,129.0055188,2,1.606664016
5402.442388,407.9915585,1.619243273,0.30936054
5400,150.8013826,2,1.814653242
5400,138.5901514,1.743750874,1.953057372
5410,128.1511002,1.88646097,1.468255255
5408.355066,149.9109278,1.584101613,1.622787732
5405.769227,529.0545601,0.169102419,1.106791126
5408.441229,882.0586633,1.90432995,0.706371961
5406.248864,654.094994,0.759726145,1.160525737
5410,172.4321508,0.091889754,0.012967994
5407.827793,154.2898026,1.409930063,2
5400,183.9414734,0.164760772,0.346022002
5400.134497,142.6480487,0.179883919,0
5409.095512,130.1838203,2,1.597336444
5400,100,1.571755723,1.538301676
5404.145332,151.5423156,2,1.852293804
5410,151.4457708,2,1.906106917
5400.781683,117.0914663,1.839094172,2.018304155
5400,167.9923177,1.763969885,1.76958874
5409.078024,143.65188,0.305480451,0
5400,138.9249913,1.775372051,1.678620399
5400.952001,125.7923557,1.502131701,1.858510166
5400,126.76535,1.947443497,2
5402.292354,514.1521291,1.952879318,1.00619919
5405.714818,168.6447971,1.730802081,1.668281294
5400,146.6529423,1.985908575,1.935441025
5405.713581,143.9597254,1.841222403,1.767723971
5400,102.5809621,1.689507321,1.954585422
5408.979498,145.4936579,1.88192329,1.452642852
5400,112.6907231,0,0.414168657
5400,135.9952224,1.672407958,1.855180695
5400,129.1231887,2,1.711139697
5400,126.439485,1.864133481,1.866527315
5400,140.5857277,0.556029895,0.022647506
5410,113.5343454,1.691051001,1.585058318
5401.510503,410.159568,1.016632372,1.751053356
5409.292561,118.6460286,1.921960227,1.766029839
5400,113.2424563,1.252504247,1.588168532
5407.020736,112.2978278,1.68799785,1.824905839
5400,196.6889485,1.348044656,1.68776645
5409.223123,104.0644881,1.868619249,1.827534602
5410,149.7701451,0.344481984,0.09689862
5407.372039,117.8619713,1.825453821,1.890215792
5402.347936,115.9509532,1.628294144,1.796071111
5400,159.4195177,1.846177061,1.881371683
5410,116.8819498,1.806493152,1.898644605
5405.919407,141.5714264,1.630788817,1.852111057
5400,168.2018335,0,0.0717138
5410,127.913502,1.64555282,1.885557512
5401.686588,961.7878768,1.19358599,1.202725197
5404.156904,108.2287964,1.643272149,1.734489959
5400,187.4081078,1.703539623,1.866315061
5408.359784,694.0283224,0.599823578,0.960891452
5400,136.4700057,0.19911441,0.347866714
5400,180.9781272,0.451368136,0
5400,100,1.724959799,1.869173826
5400,136.0948966,0,0.253857206
5408.573364,265.9418716,1.988467699,0.570914969
5407.163702,1041.497805,1.820236632,1.989304576
5399.590892,113.1894678,1.997664065,1.55323685
5405.922225,484.2831579,1.838018947,0.904840095
5410,146.6061631,0.432241149,0
5400,165.9452732,2,1.897455566
5400,100,2,1.908010063
5405.624517,464.9911534,0.671456906,1.102877986
5402.381734,451.1026295,0.262926634,1.621621623
5404.01781,127.8934323,1.623357086,1.855201419
5400,144.4693696,2,1.648436763
5402.834775,127.6095822,1.674560142,1.891258657
5400,171.9911712,0.388559346,0.018179434
5410,100,1.740644282,1.771037476
5400.152305,104.1222368,2,1.801011566
5405.347638,126.206625,0.204357233,0
5401.043487,142.5410964,1.807616126,1.709081306
5400.033152,816.9587932,0.867195374,1.266071991
5410,130.6604231,1.916119715,2
5401.201088,155.0750838,1.445377837,1.793268892
5409.751586,157.7425029,0.446167813,0.080666399
5401.432609,185.1636247,0.277532419,0
5400,100,1.669482248,1.647353433
5406.667137,535.7814052,1.549048322,0.597912236
5400,140.6859354,1.897711906,1.777093988
5407.007063,572.0571817,0.322121209,1.724999841
5410,131.424433,1.588452214,2
5410,138.6953933,0.563403975,0.101332464
5400,123.1453163,1.898675717,1.383885661
5407.696159,139.2833902,1.66394196,1.747129957
5410,164.6318797,0.293210175,0
5400,120.0108495,1.70490388,2
5400,139.4042806,1.734054882,1.630353943
5401.854143,155.4204066,1.53654379,1.670718128
5410,100,1.765253298,1.621237838
5400.035097,180.3707833,1.480521362,1.904457987
5400,173.2156253,1.859115171,1.792808045
5408.567114,148.7608909,0.265091232,0
5410,119.2066135,2,1.700558609
5402.75462,125.5857333,1.66581889,1.447179904
5408.730911,100.1799454,1.986556378,1.578190657
5410,100,1.483340136,1.99699868
5407.479723,124.1892907,1.991379625,1.694983815
5410,142.1531398,0.293278231,0.075390222
5400,102.0254326,2,2
5400,142.0834713,1.798305019,2
5400,126.2392953,1.721487386,2
5410,137.8450947,1.779956652,1.767287192
5400,147.5634335,0.42270275,0.04689059
5408.29975,135.2897019,1.809207251,1.7381759
5408.839865,138.9953097,1.814248696,1.537999703
5400,180.508468,1.857821957,1.441842404
5410,120.7146587,1.92011837,1.830249208
5400,112.8496483,1.636967198,1.863690995
5400,136.5330318,2,1.498867227
5400,179.1384715,0.197848143,0
5405.759872,115.2269504,1.583672679,1.537858603
5401.208986,115.2423623,1.742366062,1.423616369
5403.5902,143.619132,0.221640755,0.01439787
5410,140.2155538,1.580200472,2
5403.637651,100,1.835542615,1.588876404
5400,145.3922966,0.263296286,0
5400.486667,109.4207102,1.828034259,1.860319896
5400,143.97878,0.373863634,0
5409.081639,151.1238151,1.559373399,1.512158613
5405.793866,144.8079011,0.305445014,0.301122108
5404.997297,100,1.757139821,1.67403469
5410,155.1811297,1.761302083,2
5401.79779,161.4169849,1.807678884,1.574534713
5400,163.2601981,0.229461418,0.242976294
5400,118.2682653,1.666933905,1.663798141
5409.501828,177.2854244,1.923289174,1.685966679
5407.94739,143.6949859,2,2
5400,167.0710071,1.930623786,1.917466626
5400,145.6592218,1.647983612,1.754362202
5410,167.4280796,0.296375082,0.132475662
5402.850451,115.6612228,1.796555767,1.92862995
5410,120.3269755,1.686967028,2
5404.687041,173.3973817,0.374979887,0
5400,160.5928787,1.759864262,1.4053872
5408.587999,251.6279716,1.501102696,1.418205566
5410,134.1618054,2,2
5400,167.8527862,1.509007023,1.75859945
5405.585807,461.9029703,1.469378653,1.129549292
5407.170842,457.9644803,0.917761549,0.871300298
5410,194.1144319,1.665154471,1.987044737
5400,158.3603149,1.916802786,1.555405634
5400,206.9748603,0.515354206,0.101901265
5399.847614,161.4864013,0.41959217,-0.066547552
5400,183.7325982,1.985821974,1.655430354
5400,144.3344034,1.748751705,1.839997642
5400,172.3694172,0.240663474,0.362964359
5402.987435,184.2442091,0.369124294,0
5404.733414,154.1768959,1.70525608,1.495827353
5403.79866,621.7439069,1.986581492,0.423243406
5407.915354,152.4173035,0.381762187,0.245391376
5408.255404,385.5337883,0.598677567,1.658534638
5409.835868,145.2697805,0.457865645,0.299379545
5400.64959,301.5179914,0.25925732,1.397246428
5400,150.6419214,0.759001663,0
5401.473226,150.7743117,1.761787655,1.541471517
5407.085043,138.0969849,1.79511312,1.925956145
5400,169.4117178,0.406872877,0.036839269
5400,135.9693804,2,2
5400,175.66571,2,1.392900748
5400,109.261178,1.874043556,2
5400,131.5403311,1.697381724,1.945147088
5400,106.1946415,1.746019634,2
5410,100,1.965343997,2
5400,111.9319184,1.688423258,1.640885067
5410,100.9956166,1.819065841,2
5410,132.504567,1.532731332,1.837205806
5410,118.6208673,1.762778194,1.771476688
5400,137.239591,2,1.761245836
5408.064318,103.2722202,1.80116188,1.85379259
5405.952071,175.0061416,0.104413911,0.062786418
5401.368346,874.9338989,0.466912036,0.974126077
5410,135.9651231,1.923044164,1.609384454
5410,105.3467645,1.807664501,1.915408598
5400,158.5050162,0.202312455,0.375409435
