Radio Frequency,Pulse Width,Azimuth,Amplitude,Angle Of Elevation,Emitter,,,,
5400.308022,469.5982605,0.35909366,14.57950965,0.739721786,-2,,,,
5410,1044.08536,0.534935072,15.1591545,0.146012882,1,,,,
5400,1039.853919,0.415314059,15.65046963,0,2,,,,
5400,1025.680109,0,13.04546352,0,1,,,,
5407.061097,672.7425037,1.187447185,28.2169676,0.603909075,-1,,,,
5410,145.7097233,1.659306642,7,1.616849419,0,,,,
5406.112153,999.3464853,0,22.05241955,0.215728757,1,,,,
5400,1009.300504,0.077919282,18.56627441,0.157158064,1,,,,
5400,144.7110442,2,10.47597491,1.736599482,0,,,,
5408.761829,786.3296375,1.732761198,24.68916681,1.993264388,-1,,,,
5400,160.3626297,1.447973306,7,2,0,,,,
5410,984.6673523,0.136146439,17.44228246,0.174557985,1,,,,
5400,147.2885215,2,18.55786961,2,0,,,,
5402.238222,1036.271255,0.207490139,14.41332977,0,2,,,,
5410,126.2475056,1.984253222,22.97017136,1.864170095,0,,,,
5400,178.3451907,1.969411984,12.50591442,1.970431181,0,,,,
5400,106.4158382,1.802316223,9.490707467,1.811438848,0,,,,
5410,162.3708282,1.701361913,12.18764424,1.631589201,0,,,,
5400,107.0461293,1.780585265,10.15198984,2,0,,,,
5400,992.3525513,0.219698275,19.34047276,0.031735222,1,,,,
5401.3234,1008.550958,0.02399537,15.27861892,0.222565553,1,,,,
5400.033763,172.9256677,1.651714484,13.95963748,1.797382038,0,,,,
5410,1009.20662,0.301845109,17.09087823,0.230842898,1,,,,
5401.065487,157.5198077,1.686874313,7,1.893213272,0,,,,
5400,170.6751954,2,7,2,0,,,,
5410,1038.013784,0.601508153,21.02575274,0.274321699,2,,,,
5400,145.4787147,1.697172229,12.37784632,2,0,,,,
5406.647152,1005.091248,1.905874857,11.88190557,0.100074082,-1,,,,
5400,1012.396474,0.353327456,14.92349925,0,1,,,,
5410,134.7430187,1.853658233,10.7117218,1.548131467,0,,,,
5400,995.8974264,0.362178334,14.6801042,0.124077542,2,,,,
5400.189293,152.6727414,1.661611694,7.022328007,1.994151616,0,,,,
5400,126.0086144,2,7.064838172,2,0,,,,
5405.632063,121.0906332,2,7,1.771052425,0,,,,
5410,123.6438241,1.82540854,7,1.863198062,0,,,,
5400,1018.360253,0.381039803,20.05658573,0,1,,,,
5410,1014.261966,0.353978348,14.44727551,0,1,,,,
5404.814623,724.6722194,0.580193748,21.97288071,1.347674216,-2,,,,
5400,126.6126752,0.906879227,11.4269898,1.703325372,0,,,,
5410,119.8465387,1.855718467,14.97718197,1.555895308,0,,,,
5410,1025.159159,0.3469986,19.65620088,0,1,,,,
5410,117.7579621,1.836743329,7.686343312,1.763650762,0,,,,
5400.707369,335.3651578,1.023677488,24.42063716,0.661951627,-2,,,,
5400,129.4608971,1.741794821,12.66473134,1.693414012,0,,,,
5410,126.3191311,1.827411123,11.59344397,2,0,,,,
5407.832124,165.0786359,1.76794594,15.81163888,1.655090135,0,,,,
5400.747074,255.4240648,1.420296069,41.27555582,1.499437336,-1,,,,
5410,141.4039558,1.905583047,24.40801164,1.974297712,0,,,,
5400,1031.014914,0.521968163,19.70000913,0,1,,,,
5407.844861,132.5399255,2,19.52054005,1.674396429,0,,,,
5404.555795,831.9844388,1.103096239,42.74707379,1.641887621,-2,,,,
5400,1070.03483,0.468031272,18.68251559,0.232034138,1,,,,
5400,1007.510959,0.243327527,12.39635703,0.164051177,1,,,,
5400,145.3001272,1.761900131,13.58975381,1.857193204,0,,,,
5400,141.5220483,1.793954368,12.71661697,1.583158226,0,,,,
5401.024837,442.1697962,1.552661303,50.74850724,0.750161434,-1,,,,
5410,100,1.819241808,12.23242573,1.99983002,0,,,,
5400,1033.882001,0.372831214,16.17267889,0,1,,,,
5403.688508,134.7605629,2,15.0205833,2,0,,,,
5410,106.0314618,1.747491158,15.71646194,1.909171988,0,,,,
5403.38369,139.8676751,1.602312118,9.634545328,1.797475064,0,,,,
5410,1025.302541,0.456764041,16.83755984,0,1,,,,
5400,1026.801608,0.80196353,7.485504134,0.078035243,1,,,,
5410,1062.939357,0,20.66006422,0.202603749,2,,,,
5404.60226,150.2118534,1.615336189,7.393489874,1.775684769,0,,,,
5410,1004.929034,0.30544335,7.006710932,0,2,,,,
5410,157.7461792,1.720192999,14.9574597,1.902573717,0,,,,
5402.170521,548.1143673,1.838860575,10.03793539,0.095603834,-1,,,,
5400,1008.022265,0,17.12053294,0,1,,,,
5402.500193,985.4483941,0.150745709,15.64451806,-0.047212646,1,,,,
5407.42022,1036.167701,0.549612109,7,0.322975101,1,,,,
5404.224223,643.8827063,1.668322879,25.56441022,0.539721635,-1,,,,
5400,1036.314615,0.222658118,21.11141444,0,2,,,,
5400,1007.568273,0.30340163,9.743327071,0,1,,,,
5400,1002.230202,0.217764868,13.29410678,0.12423828,1,,,,
5400,1001.62975,0.501091407,14.30321854,0,1,,,,
5410,166.8991933,1.619240644,20.7379777,1.621221492,0,,,,
5408.257666,157.8081601,2,7.044006777,1.669221898,0,,,,
5402.864108,1047.168135,0.311251247,20.12078817,0,1,,,,
5400,1041.749587,0.440837903,13.59248522,0,1,,,,
5400,1074.821014,0.131806348,19.5832959,0,2,,,,
5407.5226,1003.464742,0.192977302,7.898739108,0.119334367,1,,,,
5410,158.8736994,1.883029713,7.061500753,1.800552298,0,,,,
5400,1008.561448,0.051157572,18.43476217,0,2,,,,
5400,1022.646697,0.258059202,9.537260847,0.238111537,1,,,,
5400,1006.117005,0.185674632,18.50104492,0.066925428,1,,,,
5410,1023.807962,0.550753852,7.297277381,0,1,,,,
5407.415416,135.8914134,1.887591222,24.13558485,1.804110505,0,,,,
5410,126.0584217,1.85727754,11.14971646,1.932241852,0,,,,
5400,124.0694885,1.661162586,13.91197506,1.77359063,0,,,,
5405.961032,1059.141576,0.688847775,22.65657614,0.070068908,1,,,,
5400,105.1548206,1.810777721,10.15954174,1.705456147,0,,,,
5403.077485,284.2753334,1.129894654,29.266867,0.276450973,-1,,,,
5406.275681,150.2455068,1.944913917,17.87671989,1.857876762,0,,,,
5400,1029.319831,0.195787383,14.81365479,0.054189716,1,,,,
5400.629919,157.3820838,1.839941871,18.87074085,1.255769687,0,,,,
5410,1015.820807,0.730515254,20.30227614,0.088822868,1,,,,
5400.108966,1031.244634,0.134158067,9.120992933,0,1,,,,
5410,1056.464894,0.251197872,14.72025574,0.274908211,1,,,,
5400,1070.520497,0.223161825,13.1395581,0,1,,,,
5410,1060.441291,0,7.500349987,0.117665807,1,,,,
5408.331838,894.5024026,0.480000498,42.61882724,1.0169719,-1,,,,
5406.220206,121.1302764,1.754713405,15.80584211,1.912868707,0,,,,
5410,134.4016791,1.824217119,7,1.57054876,0,,,,
5404.959748,994.5060953,0.890356348,17.29508649,0,1,,,,
5409.442042,1025.895668,0.732207717,21.71737589,0.237841384,1,,,,
5400,1000.672086,0.442638346,15.71840524,0.089380704,1,,,,
5409.107986,140.6787577,1.706519924,13.34783263,1.384095028,0,,,,
5402.065054,168.7197825,1.863055856,7.104667091,2,0,,,,
5400.413491,933.9419257,1.086996753,41.00126369,1.642522682,-2,,,,
5403.646082,1052.928235,0.70757519,16.20457861,0.148705893,1,,,,
5404.288915,145.9592311,1.798684083,9.320879132,1.460538621,0,,,,
5400,1016.952196,0.362351258,17.25744258,0.401458846,2,,,,
5400,975.1556229,0.25774607,13.96575274,0,1,,,,
5400,153.0206772,1.983803104,7,1.525247662,0,,,,
5403.083225,154.8862928,2,11.38489617,1.949444473,0,,,,
5405.102802,588.7906942,0.487359973,12.17080274,1.49888529,-2,,,,
5400,135.2685412,1.765561477,11.49787278,1.781692846,0,,,,
5400,105.5390794,1.758242649,20.34539715,2,0,,,,
5400,1053.126078,0.214738087,11.09353318,0,1,,,,
5400,986.686032,0.31467332,10.96132388,0.155126973,1,,,,
5410,111.7442284,1.601817409,7.182120962,1.790525439,0,,,,
5400,1029.45873,0.181999639,14.50493763,0.065220762,1,,,,
5400.799526,1005.450721,0.478158022,20.79892688,0,1,,,,
5400,145.6661036,1.640004986,17.13012146,1.850831469,0,,,,
5400,114.8107447,1.960412542,7,1.825864042,0,,,,
5400,108.945904,1.875399205,13.05329925,1.808635356,0,,,,
5408.336397,276.3474099,0.378457051,17.34692808,0.772685634,-1,,,,
5401.446014,1003.985891,0.376458457,7,0.041733421,1,,,,
5400,127.1038213,2,15.62668507,1.605786183,0,,,,
5400,1041.755767,0.206047127,22.70306037,0.226159555,2,,,,
5400,988.0167837,0.329026496,29.60114766,0.023243844,1,,,,
5400,178.0935976,2,8.98755031,1.913533364,0,,,,
5400,162.0616656,1.428522619,12.80724822,1.447828518,0,,,,
5407.810359,1036.748841,0.162616108,17.477034,0.077426092,1,,,,
5404.020091,1066.880346,0.077378576,19.38255454,0,2,,,,
5404.322763,322.8136924,1.920953756,30.68158074,0.13707413,-1,,,,
5400,131.1554895,2,8.526937811,1.657261443,0,,,,
5406.614772,1028.450769,0.32451661,17.86557124,0.104147701,1,,,,
5400,1051.844664,0.202737601,16.42415866,0.123552298,2,,,,
5408.589869,119.1549663,1.861183884,12.93053195,1.933977245,0,,,,
5402.089667,990.9945237,0.14658929,12.99730633,0.035343611,1,,,,
5410,1048.906348,0.181940147,12.79654419,0,1,,,,
5403.553838,188.4621226,1.675241382,7,1.762631497,0,,,,
5400,1060.689566,0.330639124,17.08197129,0.277355064,1,,,,
5400,137.2024264,1.442065309,7,1.943516728,0,,,,
5404.475817,100,1.637557433,16.41861701,1.764401871,0,,,,
5410,1038.096531,0.481376647,10.78665866,0,2,,,,
5409.703194,552.5424582,0.734671569,22.81261145,0.170812618,-2,,,,
5410,1001.743449,0.592388529,19.57059283,0,1,,,,
5402.537502,860.168076,1.194082075,36.86501753,0.85517794,-2,,,,
5408.932625,110.201277,1.604555177,12.7206085,1.819293408,0,,,,
5407.141058,104.4848342,1.724403251,16.01896359,1.786431901,0,,,,
5411.200469,152.4349357,1.564572305,9.720792196,2.160017516,0,,,,
5404.099845,643.7860097,1.768248207,33.08965059,1.652347852,-2,,,,
5403.205414,123.9172462,1.543319302,7,2,0,,,,
5400,135.7188446,1.803551591,12.65347972,1.713794561,0,,,,
5400,119.9972216,2,10.3318843,1.458665807,0,,,,
5405.158266,138.5034291,1.795651184,9.811911321,2,0,,,,
5400,161.0500473,1.960565782,20.31126873,1.794496334,0,,,,
5410,152.932286,1.813353491,7,1.604638237,0,,,,
5410,1037.843158,0.661658016,19.33069759,0,1,,,,
5407.843725,1011.262241,0.370756373,14.40504292,0.02719391,1,,,,
5402.742451,374.1739515,0.741568444,39.78127261,1.646736393,-1,,,,
5410,142.1308935,1.818035699,15.47639283,1.998752829,0,,,,
5401.675282,166.2296164,1.738207706,14.47191967,1.947861544,0,,,,
5409.981035,1011.767722,0.549292033,16.27264348,0,1,,,,
5400,134.9453781,1.643264726,12.18242482,2,0,,,,
5408.230565,988.5024234,0.336139429,17.20742711,0,1,,,,
5404.417549,510.6132373,0.886014328,41.88754751,1.103608136,-1,,,,
5400,144.5275041,1.8087827,11.72408987,2,0,,,,
5403.667089,1022.004829,0.228680947,14.22485883,0.330898819,1,,,,
5400,181.6561998,2,7,1.948581748,0,,,,
5401.391394,786.8739776,0.005427099,12.77216089,1.07227103,-1,,,,
5401.080382,980.4737858,0.330002661,16.72057396,0.190862016,1,,,,
5406.784406,585.1356394,0.135805033,24.98469978,0.466917963,-1,,,,
5406.994507,127.9076056,1.872031061,17.46378763,1.729764382,0,,,,
5403.3729,1028.702294,0.296048231,7,0.254523231,1,,,,
5400,1010.218716,0.3773207,18.80233474,0,1,,,,
5400,155.8052664,1.749550513,18.155981,1.619103517,0,,,,
5400,1009.848519,0.226955575,22.61146044,0.0336624,1,,,,
5400,150.2146413,1.9750049,7,1.814744673,0,,,,
5400,1017.160457,0.464667636,14.91100054,0.112121965,2,,,,
5403.269319,103.4617939,2,11.98134065,1.796017536,0,,,,
5403.264445,961.6743265,1.963205906,8.689819604,0.244230759,-1,,,,
5400,145.0485751,1.858611766,19.79360055,1.516912023,0,,,,
5409.091128,152.372171,1.598213131,7.989369355,1.52368762,0,,,,
5403.71618,166.0574198,2.061080235,15.708085,1.963941202,0,,,,
5400,132.3608742,1.677897267,17.30991624,1.80708393,0,,,,
5405.230016,603.6751875,1.258480091,17.0451805,0.828461459,-1,,,,
5410,154.4097222,1.98902378,12.586059,1.869012546,0,,,,
5406.193465,107.7396637,1.961046255,10.12328454,1.521528927,0,,,,
5403.378295,141.7371955,2,13.7463988,1.673408179,0,,,,
5400,1013.2855,0.277006595,10.37901666,0.093126738,1,,,,
5409.836599,153.2535672,2,10.04825109,1.543107687,0,,,,
5400,134.3912344,1.624354918,11.6482929,1.687846199,0,,,,
5404.51532,590.9572332,1.303168721,45.30899025,0.935245783,-2,,,,
5403.568845,715.942692,1.994305526,17.84564022,0.174918612,-2,,,,
5410,159.9955916,1.772105437,10.86266958,1.860331001,0,,,,
5400,971.7595449,0.292670614,23.37198376,0,1,,,,
5400,1040.398995,0,13.22490005,0,1,,,,
5398.964585,1014.355204,0.382887333,8.0523346,0.217134757,1,,,,
5404.132417,142.2979443,2,18.79859871,1.944891946,0,,,,
5410,141.2430181,1.879504566,8.166425406,1.811495574,0,,,,
5400.423538,176.7956951,1.025734621,15.15147064,0.675515312,-1,,,,
5399.819535,145.5553214,1.746920631,6.538084156,2.011855494,0,,,,
5399.30511,176.6505322,2.09082776,10.87885356,1.701472367,0,,,,
5400,1049.002169,0.327667643,15.43674813,0.08695013,1,,,,
5410,1039.257632,0.22486983,13.98458283,0.036682808,1,,,,
5400,100,1.493643992,10.01335513,1.552436983,0,,,,
5400,1076.255545,0.318605039,18.34799902,0,2,,,,
5401.526139,1030.751046,0.060175734,14.79770902,0.148959958,1,,,,
5400,160.7113014,1.614380449,11.39100602,1.671717723,0,,,,
5410,115.7646359,1.961189678,11.53962287,1.546772924,0,,,,
5403.313199,995.8957817,0.191807303,28.37971638,0,1,,,,
5400,156.0524952,1.877704375,12.25360803,1.922723593,0,,,,
5400,165.8458749,1.911084571,19.80358543,1.631320478,0,,,,
5403.702937,1049.890689,0.071857151,15.36417853,0.07653197,1,,,,
5406.70613,164.819312,1.99124983,17.75571686,1.799321993,0,,,,
5400,189.6828816,1.797783895,13.62948938,1.616538429,0,,,,
5410,192.2249462,1.592062211,7,1.820124786,0,,,,
5400,116.7932629,1.779537483,7,2,0,,,,
5400,1036.289218,0.431074767,16.42106645,0.415262427,1,,,,
5400,112.0328585,1.959386513,9.033600196,1.545733026,0,,,,
5410,150.8165642,1.707423774,9.539518884,2,0,,,,
5401.444927,1004.141315,0.452619861,11.0031054,0,1,,,,
5403.254221,1022.523911,0.262454698,9.48455753,0,1,,,,
5410,1015.024246,0.211085009,11.83478301,0,2,,,,
5406.241487,614.3953747,0.018180759,46.28909333,1.018346869,-2,,,,
5400,1050.18371,0.466638649,20.31669221,0.306528216,2,,,,
5400,123.8071108,1.744911439,16.10041995,1.917435702,0,,,,
5410,972.1169278,0,14.53160987,0.287505817,1,,,,
5400,147.1877215,1.770106261,13.67136442,1.602140779,0,,,,
5400,1006.49431,0.136491465,12.68712242,0.083248266,1,,,,
5408.791791,130.9402812,1.501350843,5.421882462,1.785501317,0,,,,
5408.84725,761.8098111,0.744641986,18.42868579,1.919111895,-1,,,,
5410,124.6099489,2,11.34398223,2,0,,,,
5410,997.3480378,0.29201251,10.55981003,0.093703539,2,,,,
5400,111.9266539,1.559193726,7.892097913,1.925076891,0,,,,
5410,1059.319236,0,13.27613008,0.285611139,1,,,,
5400,100,1.968258997,13.07993752,1.637434272,0,,,,
5408.586132,155.7694907,1.658471231,6.167748941,1.630584066,0,,,,
5400,164.16872,2,12.3847849,1.333677022,0,,,,
5410,1023.685557,0.509787987,17.01792605,0,1,,,,
5402.499951,131.8441525,2,7.649448203,1.941609893,0,,,,
5405.639021,1032.725677,0.421462113,20.76209206,0,1,,,,
5400.907114,152.9760363,1.854747876,9.901521109,1.926531421,0,,,,
5410,137.8283168,1.679377189,26.35737689,1.611034785,0,,,,
5400,1052.686073,0.386585117,23.98389533,0.06174089,1,,,,
5400,140.7714648,1.913591487,12.22453521,1.956370185,0,,,,
5401.027621,1035.13835,0.420558248,7,0,2,,,,
5410,153.1914791,1.78388887,11.11410349,1.882700014,0,,,,
5400,1088.07797,0.186890962,10.57551026,0.125930874,2,,,,
5405.775888,141.2579983,1.581022882,10.54414486,2,0,,,,
5400.505363,141.0215261,1.924773357,14.44260085,2,0,,,,
5410,1034.627752,0.101449997,15.53730801,0.21822523,1,,,,
5401.577479,1010.363561,0.091670557,15.74939608,0,1,,,,
5400,991.5751056,0.160439886,18.05155392,0.098926929,1,,,,
5400,131.8629386,1.693969117,13.74850341,1.763495669,0,,,,
5406.653231,602.2485756,1.174016114,49.43994345,0.977375868,-2,,,,
5400,124.9992364,2,7,1.523279999,0,,,,
5400,1033.7566,0.353183898,11.10819739,0,2,,,,
5400,153.6945672,1.822488332,7,1.601037911,0,,,,
5400,123.3161181,1.912420568,9.845315208,1.920123066,0,,,,
5410,1021.13733,0.388671908,15.56082956,0.036754698,1,,,,
5405.212647,1076.685386,0.182982594,16.58180851,0,2,,,,
5400.441478,173.1008444,1.633968337,7,1.643530815,0,,,,
5410,1042.804512,0.092569254,23.84418071,0.068267506,2,,,,
5400,1024.15684,0.080902027,19.33321783,0.047915438,2,,,,
5410,1016.368389,0.19791327,9.320847822,0,2,,,,
5401.418959,100,1.899694882,14.49191607,1.835177089,0,,,,
5401.473987,178.9460846,1.678111874,12.78086517,1.85831716,0,,,,
5400,152.7784893,1.975177861,10.21500064,1.868583443,0,,,,
5400,1023.273878,0,14.10360236,0,1,,,,
5400,1021.727411,0,18.88015416,0.147601663,1,,,,
5401.891168,1010.164349,0.321727455,17.83647985,0.008157367,1,,,,
5406.929829,1025.253275,0.262406837,15.70308556,0.55838241,1,,,,
5410,1011.315221,0.024945645,9.562054363,0,1,,,,
5405.122459,844.3880179,1.494329771,48.33473235,0.164834491,-1,,,,
5400,1023.084937,0.308762686,23.5464116,0.384250078,1,,,,
5400.934134,1014.471936,0.40685041,14.21416473,0,1,,,,
5400,155.362339,1.419845174,12.70956204,1.998219372,0,,,,
5403.87682,110.1081,1.953320413,13.26683015,2,0,,,,
5402.008223,1054.50325,0.166712612,10.52783628,0.041869493,1,,,,
5400,1015.680317,0,15.83037629,0.072432121,2,,,,
5400.107967,135.3231357,1.8809224,17.26636691,1.744642671,0,,,,
5409.136286,1036.55914,0.401959799,16.33745107,0,1,,,,
5401.592184,140.9733609,1.877679774,13.19598349,1.746173131,0,,,,
5400,167.1947851,1.865592515,7,1.858760489,0,,,,
5406.130854,143.0173526,2,10.81807065,1.984038946,0,,,,
5405.660606,1031.049205,0.405890956,10.04610864,0,2,,,,
5400,165.7210021,1.736347967,8.762070212,1.282340249,0,,,,
5400,1009.96488,0.079202874,9.229214441,0.004469425,1,,,,
5402.360109,973.0811997,0.488080487,31.74657539,1.347414834,-1,,,,
5400,130.4190005,2,9.763680974,2,0,,,,
5400,1019.570294,0.365840174,23.53310434,0,1,,,,
5400,160.7493334,1.379459649,12.26001269,1.852849364,0,,,,
5406.834694,201.6492893,0.863083876,39.03601705,1.495894736,-1,,,,
5400,118.377813,2,12.15796443,1.627238308,0,,,,
5404.063895,131.7279857,1.94836765,12.2450652,1.530900361,0,,,,
5403.99376,1006.636255,0.345144007,19.75594896,0,1,,,,
5404.012425,123.7811839,2,10.7268296,2,0,,,,
5400.221786,172.723626,2,8.46506055,1.91484289,0,,,,
5400.637406,133.1443878,1.520351055,10.03270061,1.102464323,0,,,,
5410,112.0207713,1.613444927,13.73853079,1.789053871,0,,,,
5400,151.0329541,1.991628525,24.66265885,1.625386853,0,,,,
5409.206075,111.3811802,2,13.25639197,2,0,,,,
5400,1050.006338,0.197769521,15.49354572,0,2,,,,
5400,1081.708787,0.336086918,17.91236003,0,2,,,,
5400,1004.807509,0.296770555,22.65799523,0.35252716,1,,,,
5400,130.5637896,1.890140879,16.17850474,1.949732449,0,,,,
5410,143.1393725,1.71387428,7,1.740585883,0,,,,
5404.889553,1023.432961,0.048048254,18.82576427,0,1,,,,
5400,1028.982373,0.371564216,10.66883988,0,1,,,,
5400,1050.195509,0.438136337,13.29402614,0.248082199,2,,,,
5401.414039,1024.206629,0.452669159,7,0,1,,,,
5401.069871,1027.717228,0.111300558,14.8444124,0.149241317,1,,,,
5410,136.4594109,1.841739261,7,1.80406475,0,,,,
5400,1039.908972,0.048712147,8.337519272,0.165540724,1,,,,
5400,165.8300881,1.636133472,7,1.760862192,0,,,,
5403.695936,199.4814855,1.330601787,39.61566905,1.807188621,-1,,,,
5410,1002.131,0.132384351,19.65085465,0.041357165,2,,,,
5401.464485,1017.898479,1.248423574,40.66035067,1.15100693,-1,,,,
5404.004744,150.5466016,1.637483089,7,1.61998906,0,,,,
5403.394223,344.1008112,0.818400625,30.05421759,0.425531247,-2,,,,
5400.02654,128.6666879,1.780133111,12.07932711,2,0,,,,
5407.668468,1036.077507,0.264456031,19.15014651,0.089974896,1,,,,
5404.890769,961.9013002,0.535375627,24.53991118,0,1,,,,
5410,150.1186861,1.809651251,14.55214438,1.483043505,0,,,,
5405.989662,685.5857497,1.471292307,31.63745143,0.002584951,-1,,,,
5402.218445,161.5574615,1.455985454,14.0969557,1.68563934,0,,,,
5410,140.2013402,2,15.43805368,2,0,,,,
5403.650211,286.8718453,1.786670219,41.24803717,0.643703621,-1,,,,
5410,1011.69708,0.350423766,12.52146811,0,2,,,,
5406.074109,1050.109179,0.510046293,16.69279937,0.135217944,1,,,,
5410,147.8726975,1.589995105,13.99970433,1.363579915,0,,,,
5409.869524,1042.8606,0.052503674,18.56610058,0,2,,,,
5405.733623,1064.099252,0.69828503,15.28794372,0.121762303,2,,,,
5400,1045.206381,0.166422419,9.972067501,0.115868659,2,,,,
5405.297391,1007.918625,0,27.63474732,0.140039971,1,,,,
5400,1028.088422,0.417533494,20.93877594,0,2,,,,
5405.819678,160.159118,1.94220278,7,2,0,,,,
5409.33529,100,1.697993769,17.24516689,1.715005571,0,,,,
5400,170.3381071,2,11.92096472,1.595668167,0,,,,
5403.23788,137.6293153,1.679007649,13.86566696,1.636492909,0,,,,
5400,175.4128374,1.923211136,14.37225308,1.876537069,0,,,,
5400,137.3071182,1.63188405,8.74030287,1.81026328,0,,,,
5407.457976,148.2195233,1.817429602,10.69591668,2,0,,,,
5410,998.8569377,0,11.20595239,0,1,,,,
5409.409076,689.3490336,1.349071174,22.70882441,1.259768155,-1,,,,
5409.614482,315.5416671,1.508360331,41.13619438,0.187830938,-1,,,,
5400,1019.337816,0,16.22070175,0.138069707,1,,,,
5400,1004.755478,0.220819005,12.52204095,0.179794848,1,,,,
5406.62634,1004.329012,0.255599771,13.7433061,0.14387746,1,,,,
5401.829587,531.0579402,0.854107138,47.29219211,1.276135819,-1,,,,
5401.4589,113.8547604,1.943634543,11.26681843,1.749546215,0,,,,
5405.492709,112.3404083,1.924287846,15.92082994,1.749385868,0,,,,
5405.345401,132.6405672,1.835058715,18.60751912,1.898678265,0,,,,
5410,163.90813,1.718969625,20.8762247,1.756711221,0,,,,
5405.652297,580.9724968,0.526317881,7.691753301,0.812699089,-1,,,,
5400,1025.828654,0.458008172,12.00053339,0,1,,,,
5409.681343,1048.653209,0.380568071,13.8836716,0.104993437,1,,,,
5405.497126,122.4742193,1.634414828,11.11942203,2,0,,,,
5400,1009.577284,0.178134106,12.23550362,0,1,,,,
5404.452893,1032.692908,0.331654973,10.75320877,0,2,,,,
5400,172.7826426,1.624873768,19.95380408,1.75202346,0,,,,
5401.622397,999.0328464,0.506502354,18.33691049,0,1,,,,
5410,116.3693849,1.904363484,7,1.701188353,0,,,,
5404.113899,148.1300869,1.801136043,12.70029107,1.895215347,0,,,,
5400,159.3555772,1.923300208,7,1.873584985,0,,,,
5404.478985,1015.663383,0,17.67375525,0.322321508,2,,,,
5400,1032.980516,0.418432587,7.721608822,0,1,,,,
5410,138.0971544,1.755341928,13.95235109,1.822894236,0,,,,
5409.794702,993.5238309,0.042539836,5.892543619,0.199428757,1,,,,
5410,1062.218617,0.300335429,13.43450144,0.133250276,2,,,,
5410,141.0867132,1.753612516,7,1.991691622,0,,,,
5409.389405,129.8875883,1.653755086,13.74266043,1.82264482,0,,,,
5408.506857,952.5497958,0.385273779,34.41885096,0.380144497,-1,,,,
5400.297084,129.5469172,1.820194224,15.350449,1.709911724,0,,,,
5406.047028,1004.566629,0.11517113,16.22123268,0,1,,,,
