Radio Frequency,Pulse Width,Azimuth,Amplitude,Angle Of Elevation,Ground_Truth
5405.419895,903.1837858,1.510656449,14.62533657,0.827487115,Noise
5404.185773,1022.329122,0,36.53026105,0.39601027,Emitter_2
5410,139.7139879,1.738331485,14.5996997,1.877820545,Emitter_1
5410,116.8667593,1.618779749,17.14228792,1.906535911,Emitter_1
5400,127.0817872,1.856143045,7,1.742022053,Emitter_1
5400.622877,1008.796794,0.387363503,31.56188117,0.744222567,Emitter_2
5407.656143,210.7499447,1.333184691,46.36755874,0.004109113,Noise
5400,132.5015561,2,17.13884824,1.490149607,Emitter_1
5400,138.5256683,1.794353588,11.97273163,1.634498215,Emitter_1
5400.329572,1012.110232,0.591771193,27.31789222,0.35844085,Emitter_2
5400,985.2651929,0.41629771,30.71292656,0.265167741,Emitter_2
5400.806985,224.2928276,1.474181143,14.9900027,1.491883704,Noise
5410,102.0117675,1.613399746,14.003137,1.798100239,Emitter_1
5405.493484,1043.665659,0.267229671,37.75330154,0.667020904,Emitter_2
5408.664015,151.1494396,1.723206953,20.89590037,1.45654664,Emitter_1
5410,148.8442975,1.706474142,8.913637498,1.797766716,Emitter_1
5400,1019.106114,0.189139666,36.50788323,0.447882878,Emitter_2
5407.286805,122.0799889,2,12.80627938,1.87505271,Emitter_1
5410,1007.039324,0.414511414,28.85683943,0.769525639,Emitter_2
5408.879826,1040.562093,0,44.88217746,0.11966252,Emitter_3
5400,994.3160864,0.76726249,33.0853467,0.528074151,Emitter_2
5407.401582,1069.76256,0.183739965,42.13242714,0,Emitter_3
5406.859556,127.927139,1.370137167,13.86379293,2,Emitter_1
5403.674923,1010.003039,0.336073255,30.84216129,0.460850064,Emitter_2
5400.537937,1070.043621,1.239872859,45.73343855,0.985438214,Noise
5400,159.5286957,1.725624272,7.970279945,1.939676741,Emitter_1
5401.262286,1001.543236,1.77767098,46.99375741,0.869276445,Noise
5400.970965,1034.63055,1.040155047,40.7248432,0.185123844,Noise
5400,1041.009387,0,45.8295932,0,Emitter_3
5406.130844,180.3904909,1.946541384,7,1.881215607,Emitter_1
5401.988331,135.1632151,1.718877397,11.15447562,1.91558899,Emitter_1
5404.565319,1056.77334,0.639182351,34.22101502,0.328347941,Emitter_2
5403.28388,1013.437662,0.793386273,31.75236747,1.63457532,Noise
5406.659953,1041.328871,0,45.24661101,0,Emitter_3
5405.885659,162.7881554,2,20.57010608,1.747457391,Emitter_1
5402.981529,1006.344601,0.134506379,25.98930455,0.57732858,Emitter_2
5406.736474,129.3241508,1.618443876,9.137395443,1.623024568,Emitter_1
5410,155.603929,1.701375046,12.81154844,2,Emitter_1
5408.336629,1055.965723,0.115024538,41.37015805,0,Emitter_3
5406.261256,1086.190118,1.876001636,33.2740628,1.357502251,Noise
5405.782651,1061.84388,0.227595703,36.62419674,0.763251628,Emitter_2
5403.620726,919.081332,0.501066777,15.53671453,1.066185489,Noise
5407.800117,156.5827121,1.634858183,15.12343071,1.514238319,Emitter_1
5406.452717,585.8542992,1.791664195,8.019452798,0.998404048,Noise
5405.984229,141.7358351,1.729949724,10.18609315,1.726495262,Emitter_1
5409.852912,109.6838328,1.80058325,15.79148693,1.952346009,Emitter_1
5403.777382,152.1227551,1.523170663,8.103883226,1.748559062,Emitter_1
5404.606753,633.2505457,0.50263221,41.07691752,1.392936633,Noise
5399.632733,1027.094956,0.619155379,25.21949498,0.384467188,Emitter_2
5404.582589,272.5264246,1.382355424,47.7318126,0.920290112,Noise
5410.670637,983.5386307,0.377718989,24.16597041,0.420588367,Emitter_2
5400,998.6494948,0.137944663,36.4361275,0.78036593,Emitter_2
5400,998.5557894,0.268699781,32.80497262,0.5351552,Emitter_2
5400,136.7054622,1.688300597,10.96930786,1.815866952,Emitter_1
5410,137.1775985,1.638783073,13.76652174,1.870131463,Emitter_1
5410,979.1820882,0.621478564,33.58634258,0.341776802,Emitter_2
5403.250965,149.2106558,2,12.94222857,1.944272027,Emitter_1
5410,1030.103305,0,49.37084575,0.249650952,Emitter_3
5402.330703,991.404065,0.624102967,39.6372927,0.520292959,Emitter_2
5407.031568,1045.211471,0,44.14403545,0,Emitter_3
5401.638741,1049.553586,0.274830738,47.81240873,-0.009884551,Emitter_3
5400,132.4871531,1.637023242,13.94359018,1.673993264,Emitter_1
5400,157.3379216,1.560470973,16.59868075,2,Emitter_1
5406.010667,1003.381331,0.028178777,26.85230379,0.288339345,Emitter_2
5400.918077,139.6843358,1.60270591,20.06660905,1.361893679,Emitter_1
5404.502784,1041.621264,0.512387998,28.15302907,0.875022371,Emitter_2
5404.211263,1010.997219,0.471135942,25.15791534,0.363497549,Emitter_2
5410,1058.615768,0,42.21800521,0,Emitter_3
5400,1042.406309,0.541081901,33.23863681,0.600470801,Emitter_2
5401.262794,1068.206332,0,46.13923415,0,Emitter_3
5400,145.9187434,2,20.85724197,1.803794606,Emitter_1
5402.366079,1011.257276,0.154437679,28.11901768,0.177717086,Emitter_2
5404.757662,177.3687,1.61772543,10.73886599,1.832400411,Emitter_1
5408.867597,1056.246701,0,48.89873154,0.179158296,Emitter_3
5400.214366,1022.88078,0.17504997,27.97192048,0.615573467,Emitter_2
5400,142.7317544,1.7274029,13.73726822,1.871382058,Emitter_1
5400,1081.21036,0.231995537,48.27943269,0,Emitter_3
5400,1078.993665,0,47.98818315,0.414229939,Emitter_3
5401.063724,1032.922387,0,39.64496062,0,Emitter_3
5400,177.0876493,1.65676976,14.53212362,1.370043804,Emitter_1
5400.475702,1068.403502,0,45.17318462,0,Emitter_3
5410,1035.957249,0.134555481,29.6157057,0.251036251,Emitter_2
5411.249341,1046.552453,0.283757609,31.84643844,0.493482564,Emitter_2
5400,159.6288561,1.743335644,13.39391483,1.928884737,Emitter_1
5410,1098.397571,0,50.56241179,0,Emitter_3
5400,1037.936549,0,51,0,Emitter_3
5400.885655,122.0678756,1.959738982,18.7291556,1.923088826,Emitter_1
5409.416617,217.7544316,0.415088875,41.23941859,0.840872743,Noise
5400,154.2144019,1.735130318,18.16675113,1.798896802,Emitter_1
5409.577486,1071.562283,0,51,0.341665787,Emitter_3
5410,1066.942338,0.159659813,48.50976932,0.137306877,Emitter_3
5401.009381,128.2449899,1.731295386,7,1.417597456,Emitter_1
5400,136.0403849,1.916773341,7,1.983230526,Emitter_1
5400,149.631424,1.878098168,15.04549638,1.796733801,Emitter_1
5400,119.0132857,1.716011844,8.963556568,1.566835523,Emitter_1
5400,1029.805731,0.519026384,26.33633081,0.51499303,Emitter_2
5400,131.3043815,2,7,1.898749329,Emitter_1
5400,989.4686908,0.276491569,27.63983389,0.315615133,Emitter_2
5410,130.3046473,2,18.15471973,1.531954378,Emitter_1
5400,119.3357858,2,15.8465711,1.646121868,Emitter_1
5400,146.2345564,1.644205277,17.63554314,2,Emitter_1
5400.374627,1020.246314,0.171477843,22.97840436,0.530349362,Emitter_2
5400,1037.285019,0,46.08616163,0,Emitter_3
5403.570073,1074.076446,1.76055399,8.775547833,0.463342048,Noise
5406.218999,116.4032896,1.558085241,21.03425679,1.541932897,Emitter_1
5410,127.567457,1.570726113,10.80682728,1.679678197,Emitter_1
5400,1048.478461,0.418606552,37.24903372,0.47907068,Emitter_2
5400,1039.428805,0.086111495,46.98603416,0.125401354,Emitter_3
5400,983.6166758,0,29.99084884,0.517828536,Emitter_2
5402.349865,1036.998447,0.440046008,48.74351712,0,Emitter_3
5400.602494,803.2079779,0.259314886,16.6481252,1.904128482,Noise
5400,1011.884911,0.506871265,30.29651837,0.500764885,Emitter_2
5403.820883,142.4238619,2,20.88768104,1.849763559,Emitter_1
5400.960817,1007.678406,0.431535436,27.53362838,0.329670175,Emitter_2
5402.141363,121.4525725,1.760364117,15.89143271,1.735683211,Emitter_1
5405.584765,130.0930145,1.913485827,10.2943632,1.845398182,Emitter_1
5408.012959,1050.431755,0.072447398,34.31095128,0.714475468,Emitter_2
5400,144.5432077,1.614895505,12.63588901,1.621205555,Emitter_1
5404.587179,1058.840721,0,35.42648638,0,Emitter_3
5400,150.094896,1.929912963,16.08260284,1.435624527,Emitter_1
5399.454452,1014.56402,-0.140899471,43.47747608,0.0290935,Emitter_3
5409.429278,1019.012661,0.492212348,21.76560243,0.554831812,Emitter_2
5400,173.6387312,1.541837005,13.72233106,1.590856419,Emitter_1
5402.555105,127.5496206,2,7.51339617,2,Emitter_1
5407.430115,987.659396,0.412075745,30.30239139,0.616742033,Emitter_2
5404.348222,984.1299071,0.476075565,27.30920696,0.403832825,Emitter_2
5400.699839,946.6663374,1.493329607,11.08790613,1.338080972,Noise
5405.398209,155.918469,2,7.348672854,1.671156127,Emitter_1
5406.748971,806.107829,0.991902503,21.04149116,0.957470958,Noise
5410,1017.931354,0.373629245,25.07146266,0.635194112,Emitter_2
5400,1052.55351,0.107191642,50.65342172,0,Emitter_3
5408.477432,991.8686262,0.642126455,21.89354122,0.515335019,Emitter_2
5408.930243,902.4530338,0.35627552,29.31416052,1.11883874,Noise
5400,159.8622229,1.727990553,19.17372898,1.549890352,Emitter_1
5410,124.6499988,1.637984748,9.61245203,1.600860278,Emitter_1
5410,1052.777821,0.29117304,24.36642404,0.398529482,Emitter_2
5402.044325,139.5365079,1.440573368,8.272423693,2,Emitter_1
5402.412928,119.0318763,1.963755125,12.28288105,1.493030426,Emitter_1
5404.570525,123.8045163,2,7,1.535067969,Emitter_1
5407.854693,166.4562351,1.606657063,9.793668018,1.555670137,Emitter_1
5401.21892,1025.876338,0.201982111,26.33768836,0.800723639,Emitter_2
5400,1064.677061,0,34.73661646,0.371756792,Emitter_3
5410,1028.831505,0.118552744,24.38750299,0.581169125,Emitter_2
5407.823618,129.6581699,2,21.2500071,1.555619983,Emitter_1
5402.330659,999.1225213,0.272158394,39.33854675,0.851094161,Emitter_2
5406.525387,720.8134142,0.042830038,45.81409345,1.444589893,Noise
5401.417517,294.2962995,1.249292067,16.44123086,0.908838879,Noise
5400.514541,110.6656724,1.738200068,10.54802436,1.763790241,Emitter_1
5400,142.0299028,1.471995447,12.78184721,2,Emitter_1
5404.066729,591.2740379,1.460767681,26.4857844,0.667783854,Noise
5400,142.6825136,1.782102174,7,1.811972562,Emitter_1
5403.978595,119.1928763,1.920751818,13.92875,1.67830794,Emitter_1
5400,999.2506761,0.423789035,34.21022232,0.526545975,Emitter_2
5400,1015.489685,0.228542162,30.77081563,0.637902576,Emitter_2
5400,120.3981691,1.922878151,15.30990017,1.793690179,Emitter_1
5400,1061.300431,0,51,0,Emitter_3
5410,168.851104,1.694373682,10.29756134,1.775812403,Emitter_1
5399.080018,1002.179547,0.249706449,26.44963155,0.490739351,Emitter_2
5400,160.469903,1.947169555,10.08461067,1.931700579,Emitter_1
5404.114057,808.3728124,1.146535505,19.73944879,1.210461636,Noise
5400,1078.542001,0.384550976,44.8297086,0,Emitter_3
5400,1060.761686,0.388227285,32.27268814,0.824385787,Emitter_2
5400,1061.337992,0.215739514,40.79223309,0,Emitter_3
5400,1087.861633,0,50.14425404,0.2492651,Emitter_3
5403.11945,1068.349329,0.071801096,44.87028203,0.024319844,Emitter_3
5400,164.8322724,1.72487945,12.24685235,1.804184817,Emitter_1
5400,1021.681607,0.092654561,32.43637504,0.417605662,Emitter_2
5410.648866,1022.077871,0.389114978,33.01476081,0.549100646,Emitter_2
5405.109168,1066.021061,0.114628376,47.74760956,0.147670395,Emitter_3
5400,154.4218205,2,7.464144744,1.520300272,Emitter_1
5400,131.5131138,2,14.65866107,1.918565165,Emitter_1
5400,1010.244378,0.685746275,34.17094182,0.817258848,Emitter_2
5400,126.3530634,1.724864118,13.37038213,1.752537072,Emitter_1
5407.627464,1059.458125,0.233874866,34.45402959,0.429741732,Emitter_2
5401.739351,1007.517737,0.84690285,28.32437878,0.533011897,Emitter_2
5400,148.9730975,1.830058573,7,2,Emitter_1
5410,1100,0,45.99507897,0.083360286,Emitter_3
5400,1041.224595,0.137523423,44.31440209,0,Emitter_3
5400,1072.116162,0.149848127,50.17271755,0,Emitter_3
5400,111.5422594,1.633720519,12.70333297,1.762077889,Emitter_1
5400,1016.061684,0.624576973,41.63095907,0.382973487,Emitter_2
5400,1063.014961,0,41.01557661,0.202694922,Emitter_3
5403.446336,188.5235558,0.557888589,44.79044042,1.943560269,Noise
5410,115.2555784,1.589651225,13.04987106,1.496192574,Emitter_1
5410.855748,189.3127492,1.833326623,6.76499378,1.627792652,Emitter_1
5410,154.4811465,1.994943762,7.737146615,1.97761103,Emitter_1
5400,149.7437053,1.862639959,11.28355802,1.85759345,Emitter_1
5404.660826,138.8889297,1.601021906,22.62159209,1.841023049,Emitter_1
5404.362643,164.906829,1.420118922,7.767485123,1.577845034,Emitter_1
5410,186.8865148,2,7,1.891063126,Emitter_1
5404.377234,1034.021107,0.3336319,29.47227321,0.478622503,Emitter_2
5400,1039.176782,0,46.81034522,0,Emitter_3
5408.241625,1077.824248,0.442077399,43.81177953,1.218964092,Noise
5401.724028,1021.202668,0.618741014,22.32897122,0.071524353,Emitter_2
5399.890327,1061.135916,0.0705107,41.13263865,-0.112592639,Emitter_3
5408.969555,996.9985006,0,34.77218209,0.589406399,Emitter_2
5410,161.9205208,2,14.42518759,2,Emitter_1
5400,996.4768472,0.352779745,28.83130089,0.600856892,Emitter_2
5403.864598,553.4297431,0.642845181,10.24234037,0.553452334,Noise
5400,145.5453413,2,7,1.65210098,Emitter_1
5410,1060.50545,0,43.98726879,0,Emitter_3
5400,1040.516357,0.269804351,30.22387707,0.324802171,Emitter_2
5402.394823,122.7461505,1.975649147,11.30389296,2.018839915,Emitter_1
5410,125.728839,1.745022909,7,1.805406966,Emitter_1
5410.210525,1055.954851,0.197434741,51.92114307,0.102790646,Emitter_3
5400,119.2199716,2,7,1.618974794,Emitter_1
5400,162.9397205,1.610258123,12.346746,1.66727548,Emitter_1
5400.630739,133.9047081,2,7,1.721775735,Emitter_1
5410,139.4999552,1.756596649,12.08422191,1.922694828,Emitter_1
5400,113.9109217,1.840225624,12.51309874,1.933583379,Emitter_1
5405.584263,587.2435343,1.834962221,20.6210671,1.768451067,Noise
5409.129566,596.8392273,1.467392643,24.49744424,0.576624175,Noise
5400,156.7516122,1.55482397,13.00069583,1.434595273,Emitter_1
5409.16166,1020.42189,0.395453915,32.11224207,0.326544449,Emitter_2
5401.73161,1022.911841,0,34.20071896,0.761750431,Emitter_2
5407.2098,952.3123878,0.037917121,46.32467916,1.383647676,Noise
5403.026491,128.2037484,2,14.43314179,1.936487064,Emitter_1
5409.859864,1002.500797,0.396041107,32.09109376,0.850510942,Emitter_2
5403.462514,106.8388806,2,8.229355404,1.488983426,Emitter_1
5407.960025,1014.107657,0.123869459,33.26592724,0.50470552,Emitter_2
5406.887748,711.592281,0.230583269,19.25838207,0.018477495,Noise
5400,1052.55845,0,47.11383327,0.06703893,Emitter_3
5404.56301,126.7682041,1.99215872,8.389942728,1.88483626,Emitter_1
5400,114.352182,1.760679759,10.03706977,1.594346388,Emitter_1
5407.115582,1007.428246,0.097885677,35.21814521,0.290125522,Emitter_2
5400,982.8895219,0.498860983,30.56948345,0.642011144,Emitter_2
5410,1057.634797,0.119438328,46.19466796,0.137063216,Emitter_3
5400,1059.362339,0,51,0.512532011,Emitter_3
5400,1002.642153,0.265432498,21.41554897,0.366776346,Emitter_2
5400.048087,582.6345627,0.763735149,19.94599493,1.369829161,Noise
5400,1009.885842,0.406031649,28.00265718,0.304485326,Emitter_2
5400,142.9174107,1.630823191,13.63715118,1.836711858,Emitter_1
5402.269836,1073.510395,0,45.37610936,0.057702924,Emitter_3
5401.499103,150.3570021,1.556162885,7,1.705894537,Emitter_1
5403.128142,948.4978288,0.95878277,18.94627036,1.111066978,Noise
5400,1043.541278,0,40.85257787,0,Emitter_3
5400,116.1574061,1.961357016,11.58320181,1.573759264,Emitter_1
5401.273056,864.5366557,0.2235401,49.64208004,0.315328476,Noise
5401.198687,219.2037381,0.894157376,48.59038474,1.060887632,Noise
5400,1015.508147,0,41.18780086,0,Emitter_3
5410,995.0191034,0.195554482,20.52749218,0.876426585,Emitter_2
5401.753671,194.3573343,1.809469297,11.92173014,1.67216963,Emitter_1
5400,1045.840624,0,48.141453,0.134867923,Emitter_3
5410,1039.6404,0.254776235,26.97393386,0.110884982,Emitter_2
5399.450257,1078.176411,-0.002775639,42.8674893,-0.010451389,Emitter_3
5401.899906,158.5277764,1.875588223,8.730713122,1.92271335,Emitter_1
5400,1002.542572,0.319346284,19.63824618,0.555610641,Emitter_2
5402.009124,158.5397781,1.930820093,7,1.854617535,Emitter_1
5400.000398,752.435267,1.762910848,29.18023599,0.762393962,Noise
5400,1024.276695,0.319641907,31.820667,0.187288491,Emitter_2
5400,1048.364435,0.460351049,20.18828553,0.412404962,Emitter_2
5406.396978,728.9588742,1.78779733,47.79089264,0.818641315,Noise
5408.968226,1021.382184,0.063506605,27.23134905,0.67871328,Emitter_2
5400,141.1282294,1.892551098,13.7264389,1.66248481,Emitter_1
5400,978.0869802,0.156158413,33.62079601,0.136974221,Emitter_2
5403.294185,1055.674217,0,43.40228344,0,Emitter_3
5410,1039.588563,0.219404693,47.10650857,0,Emitter_3
5405.946897,137.4127705,1.940130927,7,1.873742246,Emitter_1
5407.129839,1032.172193,0.508942339,38.01552546,0.513325723,Emitter_2
5403.878042,293.790226,1.130770862,47.73133109,1.048133502,Noise
5402.73738,1002.342439,0.568651625,30.10751679,0.828441548,Emitter_2
5402.562795,1075.082126,0,50.30552978,0.180082251,Emitter_3
5400,1067.058972,0.266469491,43.79476092,0,Emitter_3
5403.809539,1060.48981,0.137485106,19.78963703,0.338425085,Emitter_2
5410,135.6851358,1.840525877,9.416221827,2,Emitter_1
5410,1038.466894,0.342959522,29.48286721,0.57063782,Emitter_2
5402.562972,131.2026833,1.390271952,17.34088262,1.914652054,Emitter_1
5400,1022.042289,0.459243669,36.1522726,0.734720593,Emitter_2
5400,1059.696791,0,45.10925716,0.020983527,Emitter_3
5406.443931,120.9729086,1.847706624,21.01747328,1.868865633,Emitter_1
5410,1009.853953,0.031684802,27.54099036,0.223427316,Emitter_2
5406.734805,1063.871533,0.02717858,44.7023854,0,Emitter_3
5409.321002,1029.891812,0.160093377,14.30408602,0.517691136,Noise
5400.954935,100.3015404,1.487860219,14.75915591,1.512800598,Emitter_1
5403.668219,1044.100297,0.102726385,46.87815284,0,Emitter_3
5400,123.7183944,1.705529395,16.79916786,1.921462366,Emitter_1
