Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5400.881784,1.707942146,1.677444445,Emitter_3,Emitter_3
5406.944168,1.771548954,2,Emitter_3,Emitter_3
5403.37509,0.353987304,0.777311117,Emitter_2,Noise
5400,0.27849198,0.078633729,Emitter_1,Emitter_2
5410,0.5017888,0.474976872,Emitter_2,Emitter_2
5400,0.21665978,0,Emitter_1,Emitter_2
5400,0,0,Emitter_2,Emitter_2
5410,0.63682454,0.443777042,Emitter_2,Emitter_2
5400,0.085944197,0.300236502,Emitter_2,Emitter_2
5400,1.564060803,2,Emitter_3,Emitter_3
5400,0.255420275,0,Emitter_1,Emitter_2
5408.218915,0.160383791,0.382316947,Emitter_2,Emitter_2
5410,1.671328827,2,Emitter_3,Emitter_3
5400,1.64846844,1.788584412,Emitter_3,Emitter_3
5410,0.680186005,0.208686267,Emitter_2,Emitter_2
5402.465985,2,1.746136865,Emitter_3,Emitter_3
5400.199556,0.157347876,0.617248353,Emitter_2,Emitter_2
5410,1.362238588,1.659426888,Emitter_3,Emitter_3
5400,0.147433392,0.311278503,Emitter_1,Emitter_2
5404.867283,1.997134659,1.606111428,Emitter_3,Emitter_3
5400,0.481125467,0.391869818,Emitter_2,Emitter_2
5400,0.420373034,0.856740991,Emitter_2,Emitter_2
5401.465493,0.150558324,0.169729942,Emitter_2,Emitter_2
5400,1.837666505,1.664922422,Emitter_3,Emitter_3
5410,0.383044403,0.600001852,Emitter_2,Emitter_2
5410,1.915859755,1.645628271,Emitter_3,Emitter_3
5400,2,1.680275846,Emitter_3,Emitter_3
5403.491652,1.700538237,2,Emitter_3,Emitter_3
5410,0.23587036,1.148352646,Emitter_2,Noise
5409.177725,1.217305295,1.389863312,Noise,Noise
5406.740631,1.616366035,1.659339234,Emitter_3,Emitter_3
5403.358759,0.383558486,0.555650797,Noise,Emitter_2
5410,2,1.778795176,Emitter_3,Emitter_3
5410,0.348699607,0.231137015,Emitter_2,Emitter_2
5405.419895,1.510656449,0.827487115,Noise,Noise
5404.185773,0,0.39601027,Emitter_2,Emitter_2
5410,1.738331485,1.877820545,Emitter_3,Emitter_3
5410,1.618779749,1.906535911,Emitter_3,Emitter_3
5400,1.856143045,1.742022053,Emitter_3,Emitter_3
5400.622877,0.387363503,0.744222567,Emitter_2,Emitter_2
5407.656143,1.333184691,0.004109113,Noise,Noise
5400,2,1.490149607,Emitter_3,Emitter_3
5400,1.794353588,1.634498215,Emitter_3,Emitter_3
5400.329572,0.591771193,0.35844085,Emitter_2,Emitter_2
5400,0.41629771,0.265167741,Emitter_2,Emitter_2
5400.806985,1.474181143,1.491883704,Noise,Emitter_3
5410,1.613399746,1.798100239,Emitter_3,Emitter_3
5405.493484,0.267229671,0.667020904,Emitter_2,Emitter_2
5408.664015,1.723206953,1.45654664,Emitter_3,Emitter_3
5410,1.706474142,1.797766716,Emitter_3,Emitter_3
5400,0.189139666,0.447882878,Emitter_2,Emitter_2
5407.286805,2,1.87505271,Emitter_3,Emitter_3
5410,0.414511414,0.769525639,Emitter_2,Emitter_2
5408.879826,0,0.11966252,Emitter_1,Emitter_2
5400,0.76726249,0.528074151,Emitter_2,Emitter_2
5407.401582,0.183739965,0,Emitter_1,Emitter_2
5406.859556,1.370137167,2,Emitter_3,Emitter_3
5403.674923,0.336073255,0.460850064,Emitter_2,Emitter_2
5400.537937,1.239872859,0.985438214,Noise,Noise
5400,1.725624272,1.939676741,Emitter_3,Emitter_3
5401.262286,1.77767098,0.869276445,Noise,Noise
5400.970965,1.040155047,0.185123844,Noise,Noise
5400,0,0,Emitter_1,Emitter_2
5406.130844,1.946541384,1.881215607,Emitter_3,Emitter_3
5401.988331,1.718877397,1.91558899,Emitter_3,Emitter_3
5404.565319,0.639182351,0.328347941,Emitter_2,Emitter_2
5403.28388,0.793386273,1.63457532,Noise,Noise
5406.659953,0,0,Emitter_1,Emitter_2
5405.885659,2,1.747457391,Emitter_3,Emitter_3
5402.981529,0.134506379,0.57732858,Emitter_2,Emitter_2
5406.736474,1.618443876,1.623024568,Emitter_3,Emitter_3
5410,1.701375046,2,Emitter_3,Emitter_3
5408.336629,0.115024538,0,Emitter_1,Emitter_2
5406.261256,1.876001636,1.357502251,Noise,Emitter_3
5405.782651,0.227595703,0.763251628,Emitter_2,Noise
5403.620726,0.501066777,1.066185489,Noise,Noise
5407.800117,1.634858183,1.514238319,Emitter_3,Emitter_3
5406.452717,1.791664195,0.998404048,Noise,Noise
5405.984229,1.729949724,1.726495262,Emitter_3,Emitter_3
5409.852912,1.80058325,1.952346009,Emitter_3,Emitter_3
5403.777382,1.523170663,1.748559062,Emitter_3,Emitter_3
5404.606753,0.50263221,1.392936633,Noise,Noise
5399.632733,0.619155379,0.384467188,Emitter_2,Emitter_2
5404.582589,1.382355424,0.920290112,Noise,Noise
5410.670637,0.377718989,0.420588367,Emitter_2,Noise
5400,0.137944663,0.78036593,Emitter_2,Emitter_2
5400,0.268699781,0.5351552,Emitter_2,Emitter_2
5400,1.688300597,1.815866952,Emitter_3,Emitter_3
5410,1.638783073,1.870131463,Emitter_3,Emitter_3
5410,0.621478564,0.341776802,Emitter_2,Emitter_2
5403.250965,2,1.944272027,Emitter_3,Emitter_3
5410,0,0.249650952,Emitter_1,Emitter_2
5402.330703,0.624102967,0.520292959,Emitter_2,Emitter_2
5407.031568,0,0,Emitter_1,Emitter_2
5401.638741,0.274830738,-0.009884551,Emitter_1,Emitter_2
5400,1.637023242,1.673993264,Emitter_3,Emitter_3
5400,1.560470973,2,Emitter_3,Emitter_3
5406.010667,0.028178777,0.288339345,Emitter_2,Emitter_2
5400.918077,1.60270591,1.361893679,Emitter_3,Emitter_3
5404.502784,0.512387998,0.875022371,Emitter_2,Noise
5404.211263,0.471135942,0.363497549,Emitter_2,Emitter_2
5410,0,0,Emitter_1,Emitter_2
5400,0.541081901,0.600470801,Emitter_2,Emitter_2
5401.262794,0,0,Emitter_1,Emitter_2
5400,2,1.803794606,Emitter_3,Emitter_3
5402.366079,0.154437679,0.177717086,Emitter_2,Emitter_2
5404.757662,1.61772543,1.832400411,Emitter_3,Emitter_3
5408.867597,0,0.179158296,Emitter_1,Emitter_2
5400.214366,0.17504997,0.615573467,Emitter_2,Emitter_2
5400,1.7274029,1.871382058,Emitter_3,Emitter_3
5400,0.231995537,0,Emitter_1,Emitter_2
5400,0,0.414229939,Emitter_1,Emitter_2
5401.063724,0,0,Emitter_1,Emitter_2
5400,1.65676976,1.370043804,Emitter_3,Emitter_3
5400.475702,0,0,Emitter_1,Emitter_2
5410,0.134555481,0.251036251,Emitter_2,Emitter_2
5411.249341,0.283757609,0.493482564,Emitter_2,Noise
5400,1.743335644,1.928884737,Emitter_3,Emitter_3
5410,0,0,Emitter_1,Emitter_2
5400,0,0,Emitter_1,Emitter_2
5400.885655,1.959738982,1.923088826,Emitter_3,Emitter_3
5409.416617,0.415088875,0.840872743,Noise,Emitter_2
5400,1.735130318,1.798896802,Emitter_3,Emitter_3
5409.577486,0,0.341665787,Emitter_1,Emitter_2
5410,0.159659813,0.137306877,Emitter_1,Emitter_2
5401.009381,1.731295386,1.417597456,Emitter_3,Emitter_3
5400,1.916773341,1.983230526,Emitter_3,Emitter_3
5400,1.878098168,1.796733801,Emitter_3,Emitter_3
5400,1.716011844,1.566835523,Emitter_3,Emitter_3
5400,0.519026384,0.51499303,Emitter_2,Emitter_2
5400,2,1.898749329,Emitter_3,Emitter_3
5400,0.276491569,0.315615133,Emitter_2,Emitter_2
5410,2,1.531954378,Emitter_3,Emitter_3
5400,2,1.646121868,Emitter_3,Emitter_3
5400,1.644205277,2,Emitter_3,Emitter_3
5400.374627,0.171477843,0.530349362,Emitter_2,Emitter_2
5400,0,0,Emitter_1,Emitter_2
5403.570073,1.76055399,0.463342048,Noise,Noise
5406.218999,1.558085241,1.541932897,Emitter_3,Emitter_3
5410,1.570726113,1.679678197,Emitter_3,Emitter_3
5400,0.418606552,0.47907068,Emitter_2,Emitter_2
5400,0.086111495,0.125401354,Emitter_1,Emitter_2
5400,0,0.517828536,Emitter_2,Emitter_2
5402.349865,0.440046008,0,Emitter_1,Emitter_2
5400.602494,0.259314886,1.904128482,Noise,Noise
5400,0.506871265,0.500764885,Emitter_2,Emitter_2
5403.820883,2,1.849763559,Emitter_3,Emitter_3
5400.960817,0.431535436,0.329670175,Emitter_2,Emitter_2
5402.141363,1.760364117,1.735683211,Emitter_3,Emitter_3
5405.584765,1.913485827,1.845398182,Emitter_3,Emitter_3
5408.012959,0.072447398,0.714475468,Emitter_2,Emitter_2
5400,1.614895505,1.621205555,Emitter_3,Emitter_3
5404.587179,0,0,Emitter_1,Emitter_2
5400,1.929912963,1.435624527,Emitter_3,Emitter_3
5399.454452,-0.140899471,0.0290935,Emitter_1,Noise
5409.429278,0.492212348,0.554831812,Emitter_2,Emitter_2
5400,1.541837005,1.590856419,Emitter_3,Emitter_3
5402.555105,2,2,Emitter_3,Emitter_3
5407.430115,0.412075745,0.616742033,Emitter_2,Emitter_2
5404.348222,0.476075565,0.403832825,Emitter_2,Emitter_2
5400.699839,1.493329607,1.338080972,Noise,Noise
5405.398209,2,1.671156127,Emitter_3,Emitter_3
5406.748971,0.991902503,0.957470958,Noise,Noise
5410,0.373629245,0.635194112,Emitter_2,Emitter_2
5400,0.107191642,0,Emitter_1,Emitter_2
5408.477432,0.642126455,0.515335019,Emitter_2,Emitter_2
5408.930243,0.35627552,1.11883874,Noise,Noise
5400,1.727990553,1.549890352,Emitter_3,Emitter_3
5410,1.637984748,1.600860278,Emitter_3,Emitter_3
5410,0.29117304,0.398529482,Emitter_2,Emitter_2
5402.044325,1.440573368,2,Emitter_3,Emitter_3
5402.412928,1.963755125,1.493030426,Emitter_3,Emitter_3
5404.570525,2,1.535067969,Emitter_3,Emitter_3
5407.854693,1.606657063,1.555670137,Emitter_3,Emitter_3
5401.21892,0.201982111,0.800723639,Emitter_2,Emitter_2
5400,0,0.371756792,Emitter_1,Emitter_2
5410,0.118552744,0.581169125,Emitter_2,Emitter_2
5407.823618,2,1.555619983,Emitter_3,Emitter_3
5402.330659,0.272158394,0.851094161,Emitter_2,Noise
5406.525387,0.042830038,1.444589893,Noise,Noise
5401.417517,1.249292067,0.908838879,Noise,Noise
5400.514541,1.738200068,1.763790241,Emitter_3,Emitter_3
5400,1.471995447,2,Emitter_3,Emitter_3
5404.066729,1.460767681,0.667783854,Noise,Noise
5400,1.782102174,1.811972562,Emitter_3,Emitter_3
5403.978595,1.920751818,1.67830794,Emitter_3,Emitter_3
5400,0.423789035,0.526545975,Emitter_2,Emitter_2
5400,0.228542162,0.637902576,Emitter_2,Emitter_2
5400,1.922878151,1.793690179,Emitter_3,Emitter_3
5400,0,0,Emitter_1,Emitter_2
5410,1.694373682,1.775812403,Emitter_3,Emitter_3
5399.080018,0.249706449,0.490739351,Emitter_2,Emitter_2
5400,1.947169555,1.931700579,Emitter_3,Emitter_3
5404.114057,1.146535505,1.210461636,Noise,Noise
5400,0.384550976,0,Emitter_1,Emitter_2
5400,0.388227285,0.824385787,Emitter_2,Emitter_2
5400,0.215739514,0,Emitter_1,Emitter_2
5400,0,0.2492651,Emitter_1,Emitter_2
5403.11945,0.071801096,0.024319844,Emitter_1,Emitter_2
5400,1.72487945,1.804184817,Emitter_3,Emitter_3
5400,0.092654561,0.417605662,Emitter_2,Emitter_2
5410.648866,0.389114978,0.549100646,Emitter_2,Noise
5405.109168,0.114628376,0.147670395,Emitter_1,Emitter_2
5400,2,1.520300272,Emitter_3,Emitter_3
5400,2,1.918565165,Emitter_3,Emitter_3
5400,0.685746275,0.817258848,Emitter_2,Emitter_2
5400,1.724864118,1.752537072,Emitter_3,Emitter_3
5407.627464,0.233874866,0.429741732,Emitter_2,Emitter_2
5401.739351,0.84690285,0.533011897,Emitter_2,Noise
5400,1.830058573,2,Emitter_3,Emitter_3
5410,0,0.083360286,Emitter_1,Emitter_2
5400,0.137523423,0,Emitter_1,Emitter_2
5400,0.149848127,0,Emitter_1,Emitter_2
5400,1.633720519,1.762077889,Emitter_3,Emitter_3
5400,0.624576973,0.382973487,Emitter_2,Emitter_2
5400,0,0.202694922,Emitter_1,Emitter_2
5403.446336,0.557888589,1.943560269,Noise,Noise
5410,1.589651225,1.496192574,Emitter_3,Emitter_3
5410.855748,1.833326623,1.627792652,Emitter_3,Noise
5410,1.994943762,1.97761103,Emitter_3,Emitter_3
5400,1.862639959,1.85759345,Emitter_3,Emitter_3
5404.660826,1.601021906,1.841023049,Emitter_3,Emitter_3
5404.362643,1.420118922,1.577845034,Emitter_3,Emitter_3
5410,2,1.891063126,Emitter_3,Emitter_3
5404.377234,0.3336319,0.478622503,Emitter_2,Emitter_2
5400,0,0,Emitter_1,Emitter_2
5408.241625,0.442077399,1.218964092,Noise,Noise
5401.724028,0.618741014,0.071524353,Emitter_2,Noise
5399.890327,0.0705107,-0.112592639,Emitter_1,Noise
5408.969555,0,0.589406399,Emitter_2,Emitter_2
5410,2,2,Emitter_3,Emitter_3
5400,0.352779745,0.600856892,Emitter_2,Emitter_2
5403.864598,0.642845181,0.553452334,Noise,Noise
5400,2,1.65210098,Emitter_3,Emitter_3
5410,0,0,Emitter_1,Emitter_2
5400,0.269804351,0.324802171,Emitter_2,Emitter_2
5402.394823,1.975649147,2.018839915,Emitter_3,Emitter_3
5410,1.745022909,1.805406966,Emitter_3,Emitter_3
5410.210525,0.197434741,0.102790646,Emitter_1,Emitter_2
5400,2,1.618974794,Emitter_3,Emitter_3
5400,1.610258123,1.66727548,Emitter_3,Emitter_3
5400.630739,2,1.721775735,Emitter_3,Emitter_3
5410,1.756596649,1.922694828,Emitter_3,Emitter_3
5400,1.840225624,1.933583379,Emitter_3,Emitter_3
5405.584263,1.834962221,1.768451067,Noise,Emitter_3
5409.129566,1.467392643,0.576624175,Noise,Noise
5400,1.55482397,1.434595273,Emitter_3,Emitter_3
5409.16166,0.395453915,0.326544449,Emitter_2,Emitter_2
5401.73161,0,0.761750431,Emitter_2,Emitter_2
5407.2098,0.037917121,1.383647676,Noise,Noise
5403.026491,2,1.936487064,Emitter_3,Emitter_3
5409.859864,0.396041107,0.850510942,Emitter_2,Emitter_2
5403.462514,2,1.488983426,Emitter_3,Emitter_3
5407.960025,0.123869459,0.50470552,Emitter_2,Emitter_2
5406.887748,0.230583269,0.018477495,Noise,Emitter_2
5400,0,0.06703893,Emitter_1,Emitter_2
5404.56301,1.99215872,1.88483626,Emitter_3,Emitter_3
5400,1.760679759,1.594346388,Emitter_3,Emitter_3
5407.115582,0.097885677,0.290125522,Emitter_2,Emitter_2
5400,0.498860983,0.642011144,Emitter_2,Emitter_2
5410,0.119438328,0.137063216,Emitter_1,Emitter_2
5400,0,0.512532011,Emitter_1,Emitter_2
5400,0.265432498,0.366776346,Emitter_2,Emitter_2
5400.048087,0.763735149,1.369829161,Noise,Noise
5400,0.406031649,0.304485326,Emitter_2,Emitter_2
5400,1.630823191,1.836711858,Emitter_3,Emitter_3
5402.269836,0,0.057702924,Emitter_1,Emitter_2
5401.499103,1.556162885,1.705894537,Emitter_3,Emitter_3
5403.128142,0.95878277,1.111066978,Noise,Noise
5400,0,0,Emitter_1,Emitter_2
5400,1.961357016,1.573759264,Emitter_3,Emitter_3
5401.273056,0.2235401,0.315328476,Noise,Emitter_2
5401.198687,0.894157376,1.060887632,Noise,Noise
5400,0,0,Emitter_1,Emitter_2
5410,0.195554482,0.876426585,Emitter_2,Emitter_2
5401.753671,1.809469297,1.67216963,Emitter_3,Emitter_3
5400,0,0.134867923,Emitter_1,Emitter_2
5410,0.254776235,0.110884982,Emitter_2,Emitter_2
5399.450257,-0.002775639,-0.010451389,Emitter_1,Emitter_2
5401.899906,1.875588223,1.92271335,Emitter_3,Emitter_3
5400,0.319346284,0.555610641,Emitter_2,Emitter_2
5402.009124,1.930820093,1.854617535,Emitter_3,Emitter_3
5400.000398,1.762910848,0.762393962,Noise,Noise
5400,0.319641907,0.187288491,Emitter_2,Emitter_2
5400,0.460351049,0.412404962,Emitter_2,Emitter_2
5406.396978,1.78779733,0.818641315,Noise,Noise
5408.968226,0.063506605,0.67871328,Emitter_2,Emitter_2
5400,1.892551098,1.66248481,Emitter_3,Emitter_3
5400,0.156158413,0.136974221,Emitter_2,Emitter_2
5403.294185,0,0,Emitter_1,Emitter_2
5410,0.219404693,0,Emitter_1,Emitter_2
5405.946897,1.940130927,1.873742246,Emitter_3,Emitter_3
5407.129839,0.508942339,0.513325723,Emitter_2,Emitter_2
5403.878042,1.130770862,1.048133502,Noise,Noise
5402.73738,0.568651625,0.828441548,Emitter_2,Noise
5402.562795,0,0.180082251,Emitter_1,Emitter_2
5400,0.266469491,0,Emitter_1,Emitter_2
5403.809539,0.137485106,0.338425085,Emitter_2,Emitter_2
5410,1.840525877,2,Emitter_3,Emitter_3
5410,0.342959522,0.57063782,Emitter_2,Emitter_2
5402.562972,1.390271952,1.914652054,Emitter_3,Emitter_3
5400,0.459243669,0.734720593,Emitter_2,Emitter_2
5400,0,0.020983527,Emitter_1,Emitter_2
5406.443931,1.847706624,1.868865633,Emitter_3,Emitter_3
5410,0.031684802,0.223427316,Emitter_2,Emitter_2
5406.734805,0.02717858,0,Emitter_1,Emitter_2
5409.321002,0.160093377,0.517691136,Noise,Emitter_2
5400.954935,1.487860219,1.512800598,Emitter_3,Emitter_3
5403.668219,0.102726385,0,Emitter_1,Emitter_2
5400,1.705529395,1.921462366,Emitter_3,Emitter_3
5410,1.843483625,1.992622685,Emitter_3,Emitter_3
5406.136337,1.808077979,2,Emitter_3,Emitter_3
5400,0.043077361,0.922910811,Emitter_2,Emitter_2
5403.974626,0.31077085,0.461745501,Emitter_2,Emitter_2
5399.678266,2.025969989,1.484010678,Emitter_3,Emitter_3
5400,0,0,Emitter_1,Emitter_2
5400,1.701900864,1.729499385,Emitter_3,Emitter_3
5406.73739,0.253263812,0.93171479,Noise,Noise
5400,0.458893191,0.684903907,Emitter_2,Emitter_2
5400,1.948053434,1.766994647,Emitter_3,Emitter_3
5403.099874,0,0,Emitter_1,Emitter_2
5402.911208,0,0,Emitter_1,Emitter_2
5400.311434,1.333929557,0.824275973,Noise,Noise
5400,1.800805574,1.667838316,Emitter_3,Emitter_3
5410,1.707098366,1.762760273,Emitter_3,Emitter_3
5402.575441,1.637566775,1.718515454,Emitter_3,Emitter_3
5407.450932,1.63795397,1.638029207,Emitter_3,Emitter_3
5401.137637,0.110579277,0.179448736,Emitter_2,Emitter_2
5404.397691,1.733365164,1.790006723,Emitter_3,Emitter_3
5400,0.493432929,1.095161778,Emitter_2,Noise
5400,1.945673677,1.725538061,Emitter_3,Emitter_3
5400,0,0,Emitter_1,Emitter_2
5400,1.948351711,1.89627172,Emitter_3,Emitter_3
5403.024114,1.487266481,0.625263767,Noise,Noise
5400,1.842353848,1.481285091,Emitter_3,Emitter_3
5405.248915,1.199202161,0.541206417,Noise,Noise
5406.142808,0.38100827,1.786017248,Noise,Noise
5404.865333,0.646369754,1.010790145,Noise,Noise
5404.391112,1.791581014,2,Emitter_3,Emitter_3
5410,0.244596372,0.641651565,Emitter_2,Emitter_2
5405.189641,1.903381278,1.851324331,Emitter_3,Emitter_3
5400,0.186635773,0,Emitter_1,Emitter_2
5400,1.610966459,1.532536003,Emitter_3,Emitter_3
5408.781152,1.572090645,1.726137942,Emitter_3,Emitter_3
5410,0,0.636520899,Emitter_2,Emitter_2
5400,0.407844564,0.661020867,Emitter_2,Emitter_2
5404.244121,0.355880388,0.010832917,Emitter_1,Emitter_2
5405.235737,0,0,Emitter_1,Emitter_2
5400,0.354700294,0.600007205,Emitter_2,Emitter_2
5400,1.934559143,1.74120603,Emitter_3,Emitter_3
5400,1.638890397,1.92645411,Emitter_3,Emitter_3
5410,0.001389972,0.429313881,Emitter_1,Emitter_2
5400,0.436192954,0.63532296,Emitter_2,Emitter_2
5403.618914,0,0.260453435,Emitter_1,Emitter_2
5403.410662,0.69707033,1.242519918,Noise,Noise
5410,0,0.422533236,Emitter_2,Emitter_2
5409.40373,0.161682164,0.72108431,Emitter_2,Emitter_2
5400,1.797357342,1.978652932,Emitter_3,Emitter_3
5410,1.903592591,1.662031068,Emitter_3,Emitter_3
5400,1.261365629,1.734701424,Emitter_3,Emitter_3
5400,0.587736592,0.408471809,Emitter_2,Emitter_2
5409.378755,0.840728573,0.457278401,Noise,Emitter_2
5409.635398,1.394667254,1.735082979,Emitter_3,Emitter_3
5400,0.099970753,0.536119364,Emitter_2,Emitter_2
5401.028303,0.123284725,0.512904129,Emitter_2,Emitter_2
5407.779762,2,1.801480504,Emitter_3,Emitter_3
5400,0.180469221,0.945835531,Emitter_2,Emitter_2
5400,0.493536146,0.394315601,Emitter_2,Emitter_2
5410,2,2,Emitter_3,Emitter_3
5403.323436,0.033683835,1.166372778,Noise,Noise
5404.896642,1.662064951,2,Emitter_3,Emitter_3
5407.544712,1.971203886,1.708153314,Emitter_3,Emitter_3
5408.702988,0.280924751,0.617322275,Emitter_2,Emitter_2
5400,0.260419144,0.295946363,Emitter_1,Emitter_2
5403.078278,2,1.924185315,Emitter_3,Emitter_3
5402.232952,1.644915599,1.666867664,Emitter_3,Emitter_3
5409.448738,0.32768658,0.946351227,Noise,Emitter_2
5400,0.388445852,0.237053234,Emitter_2,Emitter_2
5404.742854,1.952466183,1.993119199,Emitter_3,Emitter_3
5400.887626,1.590985402,0.680054593,Noise,Noise
5401.970343,0.621627619,1.209469793,Noise,Noise
5400,1.620076081,1.625405322,Emitter_3,Emitter_3
5410,1.627078288,1.73193863,Emitter_3,Emitter_3
